Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,DELTA G gas,DELTA G solv,DELTA TOTAL
10,2.3092638912203256e-14,-8.526512829121202e-14,4.263256414560601e-14,0.0,0.0,0.0,-30.389500000000037,-39.205300000000676,-3.552713678800501e-15,-5.684341886080802e-14,64.73869999999984,-36.80069999999993,49.10830000000003,-69.59480000000119,77.04629999999995,7.451499999998305
11,-2.842170943040401e-14,-0.0001000000000139778,5.684341886080802e-14,0.0,0.0,0.0,-27.766800000000032,-44.43489999999974,-1.0658141036401503e-14,-9.999999946330718e-05,72.91970000000006,-34.12649999999996,48.55059999999996,-72.20189999999974,87.34380000000029,15.141900000000533
12,5.329070518200751e-15,-2.1316282072803006e-14,9.999999998555609e-05,0.0,0.0,0.0,-26.968899999999973,-44.979200000000276,-3.197442310920451e-14,-5.684341886080802e-14,68.59040000000013,-34.71709999999996,47.81669999999995,-71.94800000000126,81.69000000000013,9.74199999999908
13,1.687538997430238e-14,0.00010000000011345378,7.815970093361102e-14,0.0,0.0,0.0,-31.076599999999956,-36.50780000000107,-2.1316282072803006e-14,1.1368683772161603e-13,57.22849999999983,-30.629999999999946,46.36249999999995,-67.58430000000044,72.96099999999984,5.376699999999403
14,-3.730349362740526e-14,-1.2434497875801753e-13,0.00010000000006371579,0.0,0.0,0.0,-29.123599999999975,-41.9514000000011,-7.105427357601002e-15,7.389644451905042e-13,61.64220000000017,-32.17980000000001,46.205599999999905,-71.07489999999964,75.66800000000006,4.593099999999993
15,9.999999999088516e-05,4.263256414560601e-14,4.973799150320701e-14,0.0,0.0,0.0,-31.816299999999966,-44.64270000000076,1.4210854715202004e-14,5.684341886080802e-14,71.51569999999998,-33.157800000000044,46.295899999999975,-76.45890000000225,84.65379999999992,8.194899999997688
16,-1.1546319456101628e-14,9.999999995713438e-05,-2.842170943040401e-14,0.0,0.0,0.0,-24.592999999999968,-40.345799999999656,0.00010000000003351772,-1.7053025658242404e-13,68.00659999999993,-32.62399999999996,48.26850000000003,-64.93859999999944,83.6510999999999,18.71250000000066
17,8.881784197001252e-15,3.552713678800501e-15,0.00010000000002818865,0.0,0.0,0.0,-29.451100000000075,-36.57930000000027,0.00010000000000687237,-1.7053025658242404e-13,60.434400000000146,-33.21929999999991,48.110700000000094,-66.03020000000058,75.32580000000033,9.295599999999752
18,0.00010000000000243148,-7.815970093361102e-14,0.0,0.0,0.0,0.0,-28.208700000000018,-39.16370000000114,-4.263256414560601e-14,-1.1368683772161603e-13,67.1125999999999,-35.288800000000016,49.59049999999995,-67.37230000000216,81.41429999999971,14.04199999999804
19,1.5987211554602254e-14,9.999999999976694e-05,0.00010000000000331966,0.0,0.0,0.0,-26.525599999999926,-36.81970000000004,-1.7763568394002505e-15,-1.7053025658242404e-13,61.40230000000007,-33.87599999999996,49.0837,-63.345099999999945,76.6100000000001,13.264900000000836
20,1.7763568394002505e-14,-2.842170943040401e-14,1.7763568394002505e-14,0.0,0.0,0.0,-30.928300000000053,-38.73209999999979,-9.999999999976694e-05,0.0,66.24439999999998,-34.183099999999946,47.90990000000008,-69.66050000000001,79.97119999999988,10.310699999999429
21,-3.730349362740526e-14,-9.999999990029096e-05,5.684341886080802e-14,0.0,0.0,0.0,-34.88969999999994,-40.181600000000984,3.375077994860476e-14,9.999999997489795e-05,62.0253000000001,-36.69689999999987,49.49599999999996,-75.07130000000149,74.82440000000031,-0.24690000000117607
22,-6.217248937900877e-15,0.00010000000005661036,-3.552713678800501e-14,0.0,0.0,0.0,-24.920099999999955,-42.819900000001425,1.7763568394002505e-15,0.00010000000054333213,57.23260000000016,-32.75620000000006,47.33560000000008,-67.73980000000054,71.81200000000007,4.072199999999526
23,-9.999999999621423e-05,-1.3500311979441904e-13,9.99999999642398e-05,0.0,0.0,0.0,-31.718399999999985,-42.733100000000036,-9.999999996956888e-05,7.389644451905042e-13,55.51230000000002,-32.74679999999988,46.33640000000004,-74.45160000000072,69.10190000000028,-5.349700000001349
