,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,DELTA G gas,DELTA G solv,DELTA TOTAL
0,-2.131628207280301e-14,-1.4210854715202004e-14,-2.8421709430404014e-14,0.0,0.0,0.0,-41.55239999999999,-13.253999999999328,9.99999999891088e-05,-2.415845301584341e-13,28.762199999999986,-32.61440000000005,47.81250000000003,-54.80629999999922,43.96029999999973,-10.845999999999037
1,-1.0658141036401504e-14,-4.618527782440651e-14,-0.0001000000001170065,0.0,0.0,0.0,-46.1782,-15.723000000001225,-3.0198066269804264e-14,7.567280135845067e-13,28.29720000000007,-32.449100000000115,50.16570000000011,-61.90129999999978,46.013799999999954,-15.88750000000006
2,4.085620730620577e-14,-9.947598300641404e-14,7.105427357601002e-15,0.0,0.0,0.0,-39.185699999999954,-12.56960000000032,-1.7763568394002505e-15,5.32907051820075e-13,26.89529999999995,-30.818999999999924,49.91379999999997,-51.75529999999981,45.990099999999984,-5.765199999999823
3,-9.999999999621424e-05,7.105427357601002e-15,-1.0658141036401503e-13,0.0,0.0,0.0,-40.07880000000004,-6.872700000000196,-4.796163466380676e-14,9.999999997400977e-05,23.7407999999999,-32.08059999999986,50.89939999999997,-46.95150000000062,42.5595999999999,-4.391900000000945
4,1.4210854715202004e-14,2.8421709430404014e-14,2.0605739337042905e-13,0.0,0.0,0.0,-38.2688,-10.021000000000717,-4.085620730620577e-14,-5.062616992290714e-13,22.052600000000066,-32.014400000000066,48.29299999999997,-48.28980000000124,38.33119999999997,-9.958600000001496
5,4.440892098500626e-14,1.4210854715202004e-14,-0.0001000000001454282,0.0,0.0,0.0,-38.45030000000001,-16.066100000000826,-9.999999999266153e-05,6.794564910705958e-13,31.048400000000036,-30.974899999999977,50.812900000000006,-54.51660000000074,50.88639999999995,-3.6302000000005488
6,0.0001000000000264123,1.2434497875801753e-13,1.2789769243681806e-13,0.0,0.0,0.0,-44.3061,-14.370300000000816,-5.3290705182007506e-15,-1.9362289549462728e-13,29.220999999999968,-31.74979999999985,51.172299999999964,-58.67630000000169,48.643500000000074,-10.032800000002077
7,1.77635683940025e-14,1.4921397450962106e-13,-7.105427357601002e-15,0.0,0.0,0.0,-46.573699999999974,-15.241400000000338,0.00010000000001042508,9.999999979459771e-05,33.399000000000036,-32.87439999999998,50.88130000000003,-61.814900000000804,51.40590000000021,-10.409000000000596
8,0.0,8.526512829121202e-14,-4.263256414560601e-14,0.0,0.0,0.0,-38.64440000000003,-19.06239999999965,-7.105427357601002e-15,5.417888360170764e-14,27.0817,-33.11529999999994,49.34250000000004,-57.70679999999959,43.30889999999998,-14.397900000000071
9,8.88178419700125e-15,2.131628207280301e-14,-9.237055564881302e-14,0.0,0.0,0.0,-44.26159999999997,-16.930599999998652,1.2434497875801752e-14,2.0694557179012923e-13,29.020599999999813,-31.816000000000006,51.73660000000002,-61.192199999998856,48.94119999999983,-12.25099999999926
10,1.7763568394002505e-15,9.999999993226538e-05,-9.999999988608009e-05,0.0,0.0,0.0,-46.265900000000094,-13.596000000000403,-1.77635683940025e-14,-4.53859172466764e-13,27.755999999999997,-32.680599999999885,51.65469999999996,-59.86190000000018,46.73009999999995,-13.131799999999778
11,3.7303493627405266e-14,9.999999997845066e-05,0.0,0.0,0.0,0.0,-40.764500000000076,-17.345700000000512,3.552713678800501e-15,0.00010000000032039937,32.692799999999856,-32.071100000000094,50.294100000000036,-58.10999999999997,50.915799999999685,-7.194199999999832
12,-0.000100000000005096,-9.999999994647625e-05,9.947598300641404e-14,0.0,0.0,0.0,-45.05269999999998,-14.866399999999926,2.8421709430404014e-14,0.00010000000079912752,30.89770000000013,-31.61279999999989,50.49950000000001,-59.91919999999818,49.78440000000002,-10.134799999998158
13,-7.105427357601002e-15,-2.8421709430404014e-14,-2.8421709430404014e-14,0.0,0.0,0.0,-35.81120000000001,-20.77789999999945,3.552713678800501e-15,-6.217248937900878e-14,33.770200000000074,-32.95000000000005,49.506000000000036,-56.58909999999855,50.326200000000064,-6.2628999999984885
14,9.99999999891088e-05,2.131628207280301e-14,-1.882938249764265e-13,0.0,0.0,0.0,-35.78010000000001,-19.14759999999989,4.085620730620577e-14,5.5067062021407764e-14,31.14539999999995,-32.85540000000009,48.54050000000004,-54.927600000001114,46.830499999999894,-8.097100000001461
15,-8.88178419700125e-15,-9.237055564881302e-14,7.105427357601002e-15,0.0,0.0,0.0,-46.16539999999997,-18.544799999999167,-8.88178419700125e-15,4.3520742565306136e-13,31.98010000000001,-32.66180000000009,51.68339999999997,-64.71019999999915,51.00169999999989,-13.708499999999027
16,-0.00010000000003529408,-0.00010000000009924292,-1.4210854715202004e-14,0.0,0.0,0.0,-46.029300000000035,-19.288900000000645,1.9539925233402755e-14,3.2152058793144533e-13,33.69720000000001,-33.431800000000074,49.306000000000104,-65.31840000000054,49.57140000000004,-15.747000000000718
17,0.0001000000000139778,9.237055564881302e-14,1.2789769243681806e-13,0.0,0.0,0.0,-42.5587,-21.583899999999147,0.00010000000003529408,-3.765876499528531e-13,28.72390000000014,-33.318400000000075,48.4942000000001,-64.14239999999867,43.899700000000145,-20.242699999998532
