POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,412.3794,1067.8233,830.1367,0.0,0.0,0.0,-927.0002,-9528.1683,483.3986,5050.8034,-1812.9412,1122.2042,-649.321,-2610.627099999999,-1340.058,-3950.685099999999
1,400.3427,1034.9179,793.2003,0.0,0.0,0.0,-967.0723,-9498.0325,489.0407,5088.5339,-1799.0717,1120.3237,-643.6834,-2659.069299999999,-1322.4314,-3981.5006999999996
2,388.2961,1043.3621,823.3524,0.0,0.0,0.0,-953.6014,-9593.3541,479.3058,5082.7576,-1757.5135,1117.6399,-645.355,-2729.8815000000004,-1285.2286000000001,-4015.1101000000003
3,389.328,1013.7201,802.0776,0.0,0.0,0.0,-931.425,-9507.6224,481.2149,5062.9627,-1814.1431,1133.9884,-659.5847,-2689.744100000001,-1339.7394,-4029.4835000000007
4,409.4785,1038.9055,799.3663,0.0,0.0,0.0,-969.2033,-9482.4056,467.7985,5060.8043,-1790.7926,1120.4465,-645.038,-2675.2558,-1315.3841,-3990.6398999999997
5,369.5741,1056.716,783.1769,0.0,0.0,0.0,-951.0319,-9576.0286,489.5174,5067.5166,-1723.1241,1124.3966,-642.5793,-2760.5594999999994,-1241.3067999999998,-4001.8662999999992
6,405.1104,1081.9085,778.8933,0.0,0.0,0.0,-971.241,-9399.178,498.3021,5074.3531,-1888.0608,1127.9167,-653.8649,-2531.8516,-1414.009,-3945.8606000000004
7,427.0899,1076.835,786.2769,0.0,0.0,0.0,-979.4582,-9345.4006,487.2016,5071.3305,-1906.7596,1120.0449,-650.1193,-2476.1249000000007,-1436.8339999999998,-3912.958900000001
8,403.2876,1111.2472,822.1078,0.0,0.0,0.0,-952.7304,-9460.5327,498.6519,5044.794,-1833.4856,1116.0239,-643.4824,-2533.1745999999994,-1360.9441000000002,-3894.118699999999
9,411.6652,1081.6382,792.4181,0.0,0.0,0.0,-956.3875,-9553.1116,486.7321,5079.3382,-1792.1216,1123.1539,-647.9409,-2657.707299999999,-1316.9086,-3974.6158999999984
10,387.3256,1091.6603,782.5811,0.0,0.0,0.0,-944.9541,-9514.4145,467.5377,5070.1959,-1842.1783,1118.0179,-642.9857,-2660.068000000001,-1367.1461,-4027.214100000001
11,397.9016,1045.4535,781.4556,0.0,0.0,0.0,-983.5739,-9349.2998,473.2817,5039.5825,-1913.6699,1117.5406,-645.4911,-2595.1988,-1441.6204,-4036.8192
12,373.219,1043.5715,810.1176,0.0,0.0,0.0,-952.5355,-9446.5908,491.6131,5076.3078,-1869.022,1119.7141,-652.1952,-2604.2973,-1401.5031,-4005.8004
13,425.8884,1079.3484,794.782,0.0,0.0,0.0,-938.867,-9434.3434,478.8334,5066.3563,-1883.8324,1137.499,-657.6819,-2528.0018999999984,-1404.0153,-3932.017199999999
14,402.9064,1069.4097,807.8482,0.0,0.0,0.0,-953.9238,-9301.3471,474.5613,5012.7515,-1935.487,1135.2877,-661.3637,-2487.7938000000004,-1461.563,-3949.3568000000005
15,391.0117,1040.0431,817.095,0.0,0.0,0.0,-942.8299,-9433.6867,482.1402,5032.0898,-1869.4181,1122.5161,-653.735,-2614.1368,-1400.6370000000002,-4014.7738000000004
16,403.6122,1001.5658,806.3355,0.0,0.0,0.0,-978.8204,-9401.6524,479.3498,5102.4868,-1882.6358,1119.596,-644.5351,-2587.122700000001,-1407.5749,-3994.697600000001
17,391.2063,1026.2229,774.7623,0.0,0.0,0.0,-980.0524,-9367.9996,467.8921,5086.7053,-1905.0747,1118.5518,-640.1301,-2601.263099999999,-1426.6529999999998,-4027.916099999999
18,401.3295,1045.2912,773.1468,0.0,0.0,0.0,-971.572,-9367.5717,479.2965,5069.7325,-1904.6522,1130.0572,-652.3074,-2570.3472,-1426.9024,-3997.2496000000006
19,399.1957,1059.6608,801.8269,0.0,0.0,0.0,-951.2394,-9393.838,469.9245,5049.5949,-1913.4542,1129.2775,-660.9709,-2564.8746,-1445.1476,-4010.0222000000003
20,401.1712,1072.5616,795.8152,0.0,0.0,0.0,-958.0831,-9260.4561,484.8775,5009.5581,-1966.7962,1140.4522,-660.1825,-2454.5555999999997,-1486.5265,-3941.0820999999996
21,387.1728,1071.4561,819.153,0.0,0.0,0.0,-960.0223,-9600.2845,478.6632,5074.154,-1710.3331,1119.1991,-644.6687,-2729.7077,-1235.8027,-3965.5104
22,381.0126,1059.2918,793.4996,0.0,0.0,0.0,-938.963,-9309.7326,481.5977,5069.3787,-1948.6067,1139.0205,-664.9993,-2463.9151999999985,-1474.5855,-3938.5006999999987
23,429.7128,1076.5174,795.3533,0.0,0.0,0.0,-943.7758,-9360.5968,466.1209,5054.0321,-1919.2414,1136.3792,-660.4889,-2482.6360999999997,-1443.3510999999999,-3925.987199999999
24,401.8632,1052.0919,811.2698,0.0,0.0,0.0,-966.2697,-9297.694,487.3301,5107.2791,-1978.9158,1133.6434,-662.4598,-2404.1295999999993,-1507.7322,-3911.861799999999
25,403.9215,1026.4496,777.7185,0.0,0.0,0.0,-953.2952,-9213.2913,480.0565,5017.6003,-1964.1726,1130.936,-649.6443,-2460.8401000000013,-1482.8809,-3943.7210000000014
26,398.701,1074.4273,818.5115,0.0,0.0,0.0,-962.6335,-9290.3279,468.666,5055.4944,-2000.2616,1128.4459,-657.8338,-2437.1612000000005,-1529.6495,-3966.8107000000005
27,400.5415,1086.9133,775.5609,0.0,0.0,0.0,-930.7099,-9435.6751,486.8731,5077.3928,-1874.4156,1121.5522,-646.6708,-2539.103400000001,-1399.5342,-3938.637600000001
28,383.6564,1046.7089,838.2978,0.0,0.0,0.0,-962.0635,-9348.9339,474.6948,5050.3958,-1932.7559,1126.8347,-649.0321,-2517.243699999999,-1454.9533000000001,-3972.1969999999988
29,396.9926,1039.8479,804.4814,0.0,0.0,0.0,-952.6972,-9456.9495,493.8216,5067.4477,-1842.0821,1119.1613,-646.9269,-2607.0555000000004,-1369.8477000000003,-3976.9032
30,391.0398,1065.3479,791.1405,0.0,0.0,0.0,-959.0363,-9433.662,475.5163,5097.3128,-1886.7728,1129.2114,-649.8097,-2572.3410000000003,-1407.3711,-3979.7120999999997
31,405.6967,1058.3356,810.6204,0.0,0.0,0.0,-979.6146,-9320.5498,477.7012,5035.7108,-1930.8823,1123.0878,-649.7923,-2512.0997000000016,-1457.5868,-3969.6865000000016
32,404.6848,1035.6612,777.8037,0.0,0.0,0.0,-940.5901,-9335.9656,465.9911,5066.7685,-1942.3621,1135.335,-661.9201,-2525.6463999999987,-1468.9472,-3994.5935999999992
33,392.4491,1052.5606,795.0134,0.0,0.0,0.0,-966.1093,-9406.7717,502.4226,5069.7728,-1878.3599,1121.6278,-651.3421,-2560.6624999999995,-1408.0742,-3968.7366999999995
