Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,DELTA G gas,DELTA G solv,DELTA TOTAL
0,2.1316282072803006e-14,2.842170943040401e-14,6.750155989720952e-14,0.0,0.0,0.0,-47.773200000000074,-4.162599999998939,-0.00010000000002818865,-6.821210263296962e-13,21.75890000000007,-6.375227759999997,-51.935899999998924,15.38367224000023,-36.552227759999376
1,-1.2434497875801753e-14,-7.815970093361102e-14,1.4210854715202004e-14,0.0,0.0,0.0,-47.04869999999999,-3.6913000000007408,-0.00010000000000687237,1.5631940186722204e-13,22.81249999999999,-6.329734559999999,-50.74010000000003,16.48276544000002,-34.25733456000023
2,9.999999999799059e-05,7.105427357601002e-14,6.039613253960852e-14,0.0,0.0,0.0,-39.632800000000024,-12.14140000000005,0.0,-7.958078640513122e-13,29.84160000000016,-6.298676640000004,-51.77410000000137,23.542923360000106,-28.23117664000081
3,2.1316282072803006e-14,-1.7763568394002505e-13,-1.4210854715202004e-14,0.0,0.0,0.0,-44.31039999999999,-11.917900000000799,-0.00010000000003707044,-4.689582056016661e-13,33.26789999999984,-6.627700080000005,-56.22840000000191,26.640199919999862,-29.58820008000228
4,3.375077994860476e-14,0.00010000000001753051,-4.973799150320701e-14,0.0,0.0,0.0,-41.228999999999964,-6.891500000001461,-3.375077994860476e-14,-3.126388037344441e-13,28.61890000000013,-6.16947624,-48.12040000000147,22.449423760000123,-25.670976240001345
5,-3.552713678800501e-15,-2.842170943040401e-14,2.1316282072803006e-14,0.0,0.0,0.0,-47.92379999999999,-14.039899999998578,1.7763568394002505e-14,5.542233338928781e-13,39.089000000000006,-6.8472511199999975,-61.96369999999892,32.24174888000002,-29.72195111999868
6,1.7763568394002505e-14,1.2079226507921703e-13,9.999999979726226e-05,0.0,0.0,0.0,-42.37440000000007,-9.263300000000864,1.7763568394002505e-14,-0.00010000000052912128,35.234500000000025,-6.58914048,-51.637700000001516,28.64535951999997,-22.992340480001772
7,3.552713678800501e-15,8.526512829121202e-14,-2.4868995751603507e-14,0.0,0.0,0.0,-40.16420000000005,-10.925299999999389,-9.999999998733244e-05,-3.552713678800501e-13,34.77370000000008,-6.100107840000002,-51.08959999999951,28.673592160000105,-22.416007839999175
8,3.907985046680551e-14,-1.4210854715202004e-14,-0.00010000000007792664,0.0,0.0,0.0,-43.08569999999995,-16.60620000000119,-7.105427357601002e-15,2.1316282072803006e-13,37.8748,-6.534364320000003,-59.69200000000008,31.340435680000056,-28.35156432000025
9,-2.4868995751603507e-14,-1.2079226507921703e-13,-9.999999996068709e-05,0.0,0.0,0.0,-36.68669999999994,-7.918799999999667,1.4210854715202004e-14,4.405364961712621e-13,33.89859999999986,-6.089423759999997,-44.60559999999846,27.809176239999957,-16.796423759998724
10,0.0001000000000423995,1.4210854715202004e-13,0.0001000000001170065,0.0,0.0,0.0,-44.87600000000002,-16.653600000000797,-1.4210854715202004e-14,-1.9895196601282805e-13,36.53330000000004,-6.508983599999998,-61.52940000000157,30.024316399999954,-31.50508360000139
11,1.2434497875801753e-14,-7.105427357601002e-14,-1.0658141036401503e-13,0.0,0.0,0.0,-38.24350000000001,-5.271700000000621,-9.99999999891088e-05,-1.1368683772161603e-13,27.400099999999895,-6.233186160000001,-43.51530000000045,21.16691383999972,-22.348386160000054
12,2.3092638912203256e-14,6.394884621840902e-14,-0.00010000000014898092,0.0,0.0,0.0,-42.04179999999995,-17.398300000000333,-9.999999999266151e-05,-9.947598300641403e-14,36.02080000000015,-6.244899840000001,-59.44030000000022,29.7759001600001,-29.664399839999895
13,2.3092638912203256e-14,8.526512829121202e-14,-0.00010000000001753051,0.0,0.0,0.0,-41.403799999999904,-17.83380000000004,-1.5987211554602254e-14,-0.00010000000051491043,42.90239999999994,-6.387535439999994,-59.23780000000022,36.51486455999989,-22.722935440000555
14,-3.730349362740526e-14,5.684341886080802e-14,-4.973799150320701e-14,0.0,0.0,0.0,-42.79990000000001,-15.88610000000062,1.5987211554602254e-14,-2.4158453015843406e-13,36.848399999999856,-6.592436639999997,-58.68600000000072,30.255963359999946,-28.430036640000772
15,2.1316282072803006e-14,0.00010000000006016307,9.592326932761353e-14,0.0,0.0,0.0,-39.09260000000002,-17.3585000000001,2.842170943040401e-14,-2.5579538487363607e-13,36.15350000000008,-6.413909759999998,-56.45100000000102,29.739590240000112,-26.711409760000898
16,3.552713678800501e-15,0.00010000000001753051,5.3290705182007514e-14,0.0,0.0,0.0,-40.953800000000044,-12.786900000000067,-1.9539925233402755e-14,-9.999999976173513e-05,30.00230000000003,-6.080112000000001,-53.74069999999969,23.922188000000016,-29.818511999999906
17,2.1316282072803006e-14,0.00010000000015963906,9.999999986121111e-05,0.0,0.0,0.0,-42.435499999999955,-5.85660000000065,4.085620730620576e-14,-2.4158453015843406e-13,25.702000000000083,-6.081395759999993,-48.29190000000055,19.620604240000077,-28.671295760000703
18,3.019806626980426e-14,1.2079226507921703e-13,-6.039613253960852e-14,0.0,0.0,0.0,-42.13300000000001,-12.03129999999998,2.4868995751603507e-14,2.7000623958883807e-13,28.413499999999907,-6.051186720000006,-54.16429999999973,22.36231327999975,-31.801986719999746
19,8.881784197001252e-15,-9.999999985410568e-05,1.0658141036401503e-14,0.0,0.0,0.0,-43.490100000000055,-6.211399999999294,-8.881784197001252e-15,1.2789769243681803e-13,29.288500000000106,-6.516025199999993,-49.70159999999885,22.772474800000168,-26.92912519999868
20,9.999999998733244e-05,6.394884621840902e-14,7.105427357601002e-15,0.0,0.0,0.0,-44.12650000000001,-13.45170000000078,2.3092638912203256e-14,1.5631940186722204e-13,33.912000000000006,-6.286446719999995,-57.57810000000089,27.62555327999989,-29.952546720000313
21,-9.999999996246345e-05,-1.7763568394002505e-13,-0.00010000000007437393,0.0,0.0,0.0,-45.64410000000008,-12.650400000001095,-7.105427357601002e-15,-4.405364961712621e-13,33.00739999999993,-6.566097599999998,-58.29470000000093,26.441302399999746,-31.853397600001415
22,-0.00010000000000687237,-1.2789769243681803e-13,7.105427357601002e-15,0.0,0.0,0.0,-41.78609999999996,-15.81260000000075,1.0658141036401503e-14,-2.7000623958883807e-13,34.1433000000002,-6.520716719999991,-57.59880000000166,27.622583280000196,-29.976216720001688
23,-8.881784197001252e-15,-2.1316282072803006e-14,-4.263256414560601e-14,0.0,0.0,0.0,-37.65670000000002,-14.200199999998905,4.973799150320701e-14,1.1368683772161603e-13,34.33229999999996,-6.463505520000002,-51.856899999999854,27.868794479999977,-23.988105519999422
24,-0.00010000000002818865,-9.947598300641403e-14,0.00010000000004595222,0.0,0.0,0.0,-45.711499999999965,-4.7146999999997945,-3.730349362740526e-14,-1.4210854715202004e-14,25.515400000000163,-6.093592559999998,-50.42620000000052,19.4218074400002,-31.004392560000547
25,3.552713678800501e-15,-8.526512829121202e-14,3.552713678800501e-15,0.0,0.0,0.0,-37.35069999999991,-13.757900000000618,3.197442310920451e-14,4.831690603168681e-13,33.86330000000008,-6.067337040000002,-51.10860000000028,27.795962959999933,-23.31263704000012
26,3.552713678800501e-15,-0.00010000000001042508,9.592326932761353e-14,0.0,0.0,0.0,-42.66749999999993,-15.000099999999716,2.3092638912203256e-14,-0.00010000000001753051,36.62240000000001,-6.4822608,-57.66779999999933,30.140139200000025,-27.52766079999953
27,-2.1316282072803006e-14,9.999999995358166e-05,0.00010000000005305765,0.0,0.0,0.0,-42.49840000000006,-11.011299999998457,-0.00010000000000687237,2.8421709430404007e-13,33.288799999999924,-6.6807151200000074,-53.5095999999982,26.608084879999844,-26.90151511999813
28,-8.881784197001252e-15,7.105427357601002e-14,1.7763568394002505e-14,0.0,0.0,0.0,-39.32679999999995,-12.385599999999123,1.2434497875801753e-14,5.542233338928781e-13,33.237500000000004,-6.568381440000004,-51.712399999998524,26.669118560000015,-25.04328143999828
29,-5.329070518200751e-15,8.526512829121202e-14,0.00010000000014187549,0.0,0.0,0.0,-37.91400000000007,-18.26490000000068,9.999999997134523e-05,1.7053025658242404e-13,33.71509999999991,-6.333035040000005,-56.178700000000845,27.382064959999816,-28.796635040000574
30,1.7763568394002505e-15,-9.999999984700025e-05,8.881784197001252e-14,0.0,0.0,0.0,-43.18499999999997,-6.479799999999496,-5.329070518200751e-15,-8.242295734817162e-13,30.288300000000152,-6.629636879999995,-49.66490000000027,23.658663120000107,-26.00623687999994
31,2.6645352591003757e-14,-1.4210854715202004e-14,-9.999999991805453e-05,0.0,0.0,0.0,-42.76859999999996,-11.08809999999908,-1.7763568394002505e-14,0.0,30.61110000000002,-6.2394804,-53.856799999999936,24.37161960000002,-29.485180400000594
32,-1.9539925233402755e-14,1.4210854715202004e-14,1.6342482922482304e-13,0.0,0.0,0.0,-41.06470000000004,-13.103699999999247,-2.4868995751603507e-14,9.999999997489795e-05,35.514100000000056,-6.212473920000007,-54.168299999999164,29.301626080000162,-24.866673919999002
33,3.197442310920451e-14,1.1368683772161603e-13,-7.105427357601002e-15,0.0,0.0,0.0,-43.83009999999994,-18.43469999999953,9.999999997845066e-05,7.531752999057062e-13,42.22960000000007,-6.681265200000007,-62.26469999999894,35.54833480000008,-26.716365199998407
34,-7.105427357601002e-15,0.00010000000004595222,0.00010000000001753051,0.0,0.0,0.0,-40.65850000000006,-20.102400000000415,3.730349362740526e-14,-3.836930773104541e-13,44.82880000000005,-6.746498639999999,-60.760700000000924,38.082301359999995,-22.67839864000093
35,1.0658141036401503e-14,-1.1368683772161603e-13,-9.999999990384367e-05,0.0,0.0,0.0,-45.90009999999999,-14.375100000000081,2.4868995751603507e-14,-9.999999997489795e-05,35.31510000000013,-6.517360080000005,-60.27540000000013,28.797739920000154,-31.477660079999744
36,1.4210854715202004e-14,-7.105427357601002e-14,-1.9184653865522705e-13,0.0,0.0,0.0,-43.84069999999999,-10.73810000000108,-3.552713678800501e-15,-2.1316282072803006e-13,33.95309999999999,-6.736528800000001,-54.57880000000172,27.2165712,-27.36222880000149
37,-1.5987211554602254e-14,-4.973799150320701e-14,9.947598300641403e-14,0.0,0.0,0.0,-43.271499999999996,-10.842900000000384,-9.99999999766743e-05,4.405364961712621e-13,28.416400000000074,-6.214316399999997,-54.11450000000097,22.20208360000012,-31.9124164000004
38,2.842170943040401e-14,0.0,-8.881784197001252e-14,0.0,0.0,0.0,-38.12750000000001,-11.821799999999595,2.1316282072803006e-14,2.8421709430404007e-13,32.86520000000001,-6.098649840000002,-49.94929999999982,26.766550159999866,-23.18274983999973
39,-1.0658141036401503e-14,1.4210854715202004e-14,0.00010000000008147936,0.0,0.0,0.0,-39.90520000000001,-7.940100000000051,2.842170943040401e-14,0.00010000000038701273,28.839899999999957,-6.1752686399999925,-47.84510000000064,22.664631359999973,-25.180468640000896
40,-5.329070518200751e-15,9.999999995358166e-05,-3.907985046680551e-14,0.0,0.0,0.0,-40.03650000000002,-9.484900000001048,-2.842170943040401e-14,0.00010000000010279564,22.555999999999965,-5.539292640000001,-49.5212000000012,17.01670736000011,-32.50449264000154
41,5.329070518200751e-15,-9.999999996068709e-05,-8.171241461241152e-14,0.0,0.0,0.0,-44.35010000000003,-13.740499999999699,1.4210854715202004e-14,-5.826450433232822e-13,41.881600000000105,-6.566658480000003,-58.090700000000226,35.314941520000204,-22.77575848000025
42,0.00010000000002285958,6.394884621840902e-14,-1.4210854715202004e-13,0.0,0.0,0.0,-38.86950000000002,-11.531200000000865,-8.881784197001252e-15,-3.552713678800501e-13,35.289699999999854,-5.889123359999999,-50.40060000000153,29.40057663999979,-21.00002336000197
43,1.865174681370263e-14,0.00010000000013121735,0.00010000000008503207,0.0,0.0,0.0,-42.16059999999995,-8.799499999999316,0.00010000000004772858,3.126388037344441e-13,35.96070000000006,-6.695183520000005,-50.95979999999906,29.26551647999997,-21.69428351999864
44,0.0001000000000015433,-9.99999999891088e-05,-7.105427357601002e-15,0.0,0.0,0.0,-38.88409999999999,-14.269399999999862,0.0001000000000139778,6.821210263296962e-13,36.78289999999997,-5.986047600000003,-53.15340000000057,30.79685239999995,-22.356547600000624
45,-3.375077994860476e-14,2.1316282072803006e-14,9.999999998200337e-05,0.0,0.0,0.0,-43.403899999999965,-8.813499999999873,-3.907985046680551e-14,1.4210854715202004e-14,36.56349999999996,-6.356389679999996,-52.2172999999995,30.207110319999938,-22.0101896799991
46,0.0,7.105427357601002e-15,4.973799150320701e-14,0.0,0.0,0.0,-40.28850000000002,-3.3441999999993186,-1.2434497875801753e-14,9.999999990384367e-05,29.82699999999985,-6.017143680000002,-43.63259999999836,23.809856319999863,-19.822743679998503
47,-0.00010000000001930687,0.00010000000002463594,-0.00010000000018450805,0.0,0.0,0.0,-36.97099999999995,-4.9738000000000255,-1.4210854715202004e-14,2.5579538487363607e-13,32.11730000000013,-6.397084799999999,-41.94490000000002,25.72021520000016,-16.224684799999864
48,0.00010000000001042508,-8.526512829121202e-14,-3.552713678800501e-14,0.0,0.0,0.0,-41.767499999999984,-15.383400000001252,1.2434497875801753e-14,0.0001000000002733259,39.177199999999985,-6.178634640000006,-57.15070000000071,32.99856535999996,-24.152134640000526
49,1.4210854715202004e-14,9.999999993937081e-05,0.00010000000009569021,0.0,0.0,0.0,-43.18669999999993,-17.962399999998894,-0.00010000000002108322,-7.389644451905042e-13,42.485500000000116,-6.345830159999995,-61.14900000000095,36.13966984,-25.009330160000268
50,-9.999999999443787e-05,6.394884621840902e-14,0.00010000000005661036,0.0,0.0,0.0,-39.856000000000016,-9.624100000000798,-2.6645352591003757e-14,-7.673861546209082e-13,35.75569999999995,-6.196374719999999,-49.4801000000013,29.55932527999996,-19.920774720001113
51,-1.4210854715202004e-14,1.4210854715202004e-14,4.973799150320701e-14,0.0,0.0,0.0,-35.81059999999997,-18.74920000000145,-1.2434497875801753e-14,-9.999999932119863e-05,38.99279999999982,-5.845294799999998,-54.559900000000695,33.147505199999685,-21.41239480000101
52,-8.881784197001252e-15,-0.00010000000003174137,8.171241461241152e-14,0.0,0.0,0.0,-39.522000000000006,-15.095600000000239,-0.00010000000000331966,9.999999946330718e-05,37.98219999999986,-6.193555919999997,-54.61770000000149,31.788644080000008,-22.829055920001938
53,2.4868995751603507e-14,-1.2434497875801753e-13,7.105427357601002e-14,0.0,0.0,0.0,-38.27639999999999,-6.778699999999546,-8.881784197001252e-15,4.973799150320701e-13,29.130600000000058,-5.739436080000004,-45.05509999999879,23.391163919999926,-21.663936079998635
54,-1.2434497875801753e-14,-4.263256414560601e-14,4.973799150320701e-14,0.0,0.0,0.0,-40.25359999999997,-7.918500000000595,-2.4868995751603507e-14,-3.410605131648481e-13,31.039800000000024,-5.929144559999998,-48.17210000000111,25.11065543999992,-23.06144456000142
55,9.999999999088516e-05,9.237055564881302e-14,6.039613253960852e-14,0.0,0.0,0.0,-40.29509999999996,3.1592000000003146,9.999999998733244e-05,2.8421709430404007e-13,29.696899999999875,-6.284686319999999,-37.135699999999005,23.412213679999855,-13.723486319999608
56,-1.0658141036401503e-14,-2.4868995751603507e-14,-2.1316282072803006e-14,0.0,0.0,0.0,-35.28359999999991,-18.18369999999999,3.730349362740526e-14,1.1368683772161603e-13,35.920300000000026,-6.026128560000004,-53.46729999999934,29.89417144000012,-23.573128559999674
57,-9.999999999621423e-05,-1.4210854715202004e-14,-0.00010000000013477006,0.0,0.0,0.0,-32.684400000000046,-8.581299999999857,-2.842170943040401e-14,-1.2789769243681803e-13,27.503499999999836,-5.914861199999995,-41.26589999999986,21.58863879999977,-19.67726120000009
58,3.019806626980426e-14,-4.973799150320701e-14,9.99999999891088e-05,0.0,0.0,0.0,-40.061200000000014,-2.574500000000434,3.019806626980426e-14,0.0,22.265499999999985,-6.041678400000005,-42.63560000000123,16.223821599999873,-26.411778400001133
59,-0.00010000000000687237,8.526512829121202e-14,-8.881784197001252e-14,0.0,0.0,0.0,-40.36260000000006,-9.391800000000021,-1.5987211554602254e-14,4.405364961712621e-13,25.186199999999957,-5.904023040000001,-49.75449999999948,19.282176960000125,-30.472323039999807
