Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,DELTA G gas,DELTA G solv,DELTA TOTAL
0,-5.329070518200751e-15,-7.105427357601002e-14,-0.0001000000001454282,0.0,0.0,0.0,-37.72630000000004,-20.074199999998942,1.7763568394002505e-15,-9.999999964804829e-05,35.55310000000013,-5.984020079999999,-57.80069999999789,29.569079920000313,-28.231620079997576
1,-1.7763568394002505e-15,-3.552713678800501e-14,-9.999999996068709e-05,0.0,0.0,0.0,-36.10270000000005,-31.572500000000158,-0.0001000000000015433,-0.00010000000033016931,38.17200000000018,-5.873993279999998,-67.67550000000126,32.29800672000026,-35.37749328000123
2,-0.00010000000002108322,2.842170943040401e-14,0.0,0.0,0.0,0.0,-36.17820000000006,-21.57809999999987,1.4210854715202004e-14,2.842170943040401e-14,34.52589999999992,-5.7658211999999995,-57.75640000000092,28.760078800000045,-28.996321200000878
3,-4.618527782440651e-14,-8.526512829121202e-14,-0.00010000000013832278,0.0,0.0,0.0,-40.79219999999995,-27.524999999999466,4.440892098500626e-14,0.00010000000060017555,38.58689999999984,-6.032036880000005,-68.31719999999794,32.55486312000003,-35.762336879997676
4,-7.105427357601002e-15,2.1316282072803006e-14,-1.4921397450962104e-13,0.0,0.0,0.0,-42.12919999999993,-23.973600000000587,5.329070518200751e-15,4.121147867408581e-13,39.16140000000004,-6.181627680000007,-66.10280000000101,32.97977231999991,-33.123027680001556
5,0.00010000000003707044,7.815970093361102e-14,5.684341886080802e-14,0.0,0.0,0.0,-37.72059999999999,-24.278199999999536,-4.440892098500626e-14,9.999999971910256e-05,38.760799999999975,-6.112223999999999,-61.99859999999923,32.648576000000084,-29.35002399999914
6,0.0,-4.973799150320701e-14,0.00010000000001753051,0.0,0.0,0.0,-36.8035000000001,-31.677800000001177,3.375077994860476e-14,2.842170943040401e-14,42.727099999999965,-5.946588720000002,-68.48120000000154,36.7805112800001,-31.70068872000189
7,9.999999995180531e-05,-1.2789769243681803e-13,-1.0658141036401503e-13,0.0,0.0,0.0,-34.24799999999997,-16.208400000000733,3.552713678800501e-14,7.105427357601002e-14,32.478100000000005,-5.602321439999997,-50.45630000000152,26.87577856000003,-23.580521440001263
8,9.999999996068709e-05,-1.4210854715202004e-13,-9.999999996779252e-05,0.0,0.0,0.0,-35.54590000000004,-36.62469999999985,-9.999999999976694e-05,-9.947598300641403e-14,48.13340000000015,-6.177962160000005,-72.17070000000116,41.955437840000194,-30.215262160001423
9,9.999999999799059e-05,-8.526512829121202e-14,-7.815970093361102e-14,0.0,0.0,0.0,-35.984899999999946,-23.372999999999955,9.999999996246345e-05,-4.973799150320701e-13,39.90429999999992,-5.8435675200000015,-59.35770000000085,34.06073247999984,-25.296967520001232
10,3.019806626980426e-14,0.00010000000007437393,2.842170943040401e-14,0.0,0.0,0.0,-38.82599999999997,-22.87239999999852,3.019806626980426e-14,3.126388037344441e-13,36.24700000000003,-6.03234576,-61.69829999999709,30.21465424000005,-31.48364575999704
11,4.263256414560601e-14,-1.1368683772161603e-13,-1.9895196601282805e-13,0.0,0.0,0.0,-33.88099999999999,-26.051500000000757,1.2434497875801753e-14,-1.1368683772161603e-13,42.37039999999986,-6.079096800000004,-59.9325000000008,36.291303199999845,-23.6411968000005
12,0.00010000000002818865,-9.947598300641403e-14,-9.999999981147312e-05,0.0,0.0,0.0,-35.32759999999992,-26.805999999999763,-0.00010000000002996501,-0.00010000000023069333,42.72800000000001,-5.892516719999996,-62.133799999999724,36.8354832799999,-25.298316719999825
