Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,DELTA G gas,DELTA G solv,DELTA TOTAL
0,-2.842170943040401e-14,-9.237055564881302e-14,1.4210854715202004e-14,0.0,0.0,0.0,-41.83839999999992,-15.737800000000297,-3.197442310920451e-14,-9.999999979637408e-05,34.6915,-5.452873199999999,-57.57629999999969,29.23862679999992,-28.337673199999315
1,9.999999999621423e-05,-8.526512829121202e-14,1.4210854715202004e-14,0.0,0.0,0.0,-40.5356000000001,-17.542399999999084,-9.999999998555609e-05,-2.531308496145357e-13,41.19320000000004,-5.783902559999998,-58.077999999998724,35.40929743999988,-22.668702559999062
2,-8.881784197001252e-15,-8.526512829121202e-14,-0.00010000000002463594,0.0,0.0,0.0,-42.95459999999998,-11.19030000000178,0.00010000000001930687,-3.8813396940895473e-13,31.824700000000128,-5.708588399999991,-54.14490000000191,26.116111600000135,-28.028788400002
3,-4.618527782440651e-14,3.552713678800501e-14,-5.684341886080802e-14,0.0,0.0,0.0,-36.59550000000003,-15.719499999999577,-7.105427357601002e-15,-9.999999963028472e-05,36.012799999999935,-5.63446872,-52.31509999999898,30.378331279999887,-21.936768719999094
4,3.019806626980426e-14,-3.552713678800501e-14,7.105427357601002e-15,0.0,0.0,0.0,-40.987300000000005,-13.246199999999813,1.2434497875801753e-14,6.767919558114954e-13,29.231599999999915,-5.437054799999993,-54.23349999999742,23.794545199999966,-30.43895479999768
5,2.6645352591003757e-15,-2.4868995751603507e-14,-2.4868995751603507e-14,0.0,0.0,0.0,-38.55579999999996,-18.283400000001038,9.999999997134523e-05,-4.192202140984591e-13,36.775699999999915,-5.682708000000002,-56.83910000000075,31.092991999999906,-25.746108000001072
6,2.1316282072803006e-14,-0.00010000000003884679,-8.881784197001252e-14,0.0,0.0,0.0,-41.73769999999993,-19.30219999999938,1.0658141036401503e-14,-0.0001000000000672685,34.83050000000016,-5.749682400000005,-61.040099999999256,29.080817600000174,-31.959282399998628
7,-9.999999999266151e-05,-8.526512829121202e-14,3.552713678800501e-14,0.0,0.0,0.0,-38.947199999999974,-19.431700000001207,-7.105427357601002e-15,-2.930988785010413e-14,37.62260000000008,-5.86656432,-58.37900000000033,31.756035680000135,-26.622964320000193
8,-8.881784197001252e-15,-2.842170943040401e-14,1.4210854715202004e-14,0.0,0.0,0.0,-42.72559999999992,-15.173599999999718,-2.842170943040401e-14,6.24389429049188e-13,35.85370000000012,-5.7912357599999975,-57.89920000000028,30.062464239999933,-27.83673576000011
9,4.263256414560601e-14,0.0,-1.7763568394002505e-14,0.0,0.0,0.0,-44.789800000000064,-15.859000000000567,-9.99999999891088e-05,-0.0001000000002733259,37.3915999999999,-5.7946032000000045,-60.649000000001266,31.59699679999992,-29.052003200001792
