Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,396.5864,1040.6535,787.3272,0.0,0.0,0.0,-993.4457,-8974.4498,466.8418,5332.6012,-1789.0857,1055.5912,-655.5617,-1943.8854000000001,-1389.0562,-3332.9416
1,348.9293,1104.0166,798.8034,0.0,0.0,0.0,-939.9846,-9003.7917,473.1659,5384.0004,-1834.5543,1053.7957,-657.1547,-1834.8607000000002,-1437.9133000000002,-3272.7740000000003
2,417.9057,1027.2456,774.2572,0.0,0.0,0.0,-964.8719,-8999.3994,468.5541,5388.8354,-1836.2682,1060.0563,-651.5067,-1887.4733000000006,-1427.7186000000002,-3315.1919000000007
3,386.2921,1056.7522,793.8209,0.0,0.0,0.0,-952.3135,-8981.1469,478.5578,5401.2849,-1840.0896,1064.4505,-666.8184,-1816.7525000000005,-1442.4575,-3259.210000000001
4,398.5303,993.779,772.3527,0.0,0.0,0.0,-962.1697,-8958.991,470.8536,5383.2591,-1833.4564,1064.2521,-665.2657,-1902.3859999999995,-1434.4700000000003,-3336.8559999999998
5,385.0105,1048.8707,786.0401,0.0,0.0,0.0,-954.2283,-9076.5351,469.0029,5388.4458,-1759.0378,1062.9338,-663.3192,-1953.393399999998,-1359.4232000000002,-3312.8165999999983
6,388.0391,1031.8436,785.7369,0.0,0.0,0.0,-938.5316,-9041.1531,467.5733,5399.193,-1768.5365,1071.7176,-672.0138,-1907.2987999999996,-1368.8327,-3276.1314999999995
7,381.0755,1006.0193,764.6219,0.0,0.0,0.0,-992.0862,-8999.485,472.9234,5367.2469,-1764.5933,1060.7556,-660.5554,-1999.6842000000006,-1364.3931,-3364.077300000001
8,365.9746,1066.1869,779.0223,0.0,0.0,0.0,-950.0486,-9034.3035,454.8588,5388.2814,-1789.1074,1063.8363,-662.1896,-1930.0281000000004,-1387.4607,-3317.4888000000005
9,369.9351,1031.8007,774.3793,0.0,0.0,0.0,-981.1979,-9016.2975,471.5947,5450.0914,-1827.5851,1053.2003,-651.2902,-1899.6942000000008,-1425.6750000000002,-3325.369200000001
10,375.5987,1006.987,767.3202,0.0,0.0,0.0,-964.5529,-9001.3166,482.265,5429.0292,-1830.2476,1053.6634,-647.7772,-1904.6693999999998,-1424.3614,-3329.0307999999995
11,391.9541,1004.9535,772.4165,0.0,0.0,0.0,-970.7685,-9006.3447,463.8229,5380.8247,-1802.3059,1056.007,-657.7007,-1963.1414999999997,-1403.9996,-3367.1411
12,359.3359,984.9917,795.0793,0.0,0.0,0.0,-961.7974,-8953.7967,456.8876,5430.5158,-1869.0984,1056.985,-653.8183,-1888.7838000000002,-1465.9317,-3354.7155000000002
13,380.1505,1038.3686,776.7132,0.0,0.0,0.0,-977.4717,-8969.6485,454.1978,5343.6742,-1798.5122,1058.9695,-659.9825,-1954.0158999999994,-1399.5252,-3353.5410999999995
14,382.2531,1061.1859,798.0567,0.0,0.0,0.0,-965.6407,-9101.5355,468.4372,5366.684,-1734.9475,1056.0448,-658.6695,-1990.5593,-1337.5722,-3328.1315000000004
15,401.927,1033.47,777.7729,0.0,0.0,0.0,-961.4872,-9044.145,464.0125,5370.792,-1761.7491,1057.9584,-657.258,-1957.6578000000009,-1361.0487,-3318.706500000001
16,410.1644,1025.2002,781.369,0.0,0.0,0.0,-981.1004,-9054.5036,459.4177,5375.6631,-1724.331,1060.439,-657.7399,-1983.7896,-1321.6318999999999,-3305.4215
17,362.5404,1039.3384,785.5338,0.0,0.0,0.0,-966.7061,-8965.3577,482.7791,5317.462,-1797.684,1061.9699,-659.1119,-1944.4101,-1394.826,-3339.2361
18,374.5137,1011.6266,762.7822,0.0,0.0,0.0,-987.7978,-8943.9731,472.8298,5377.4862,-1810.9935,1056.9945,-647.9278,-1932.5323999999991,-1401.9268000000002,-3334.459199999999
19,374.3821,1019.3253,785.8092,0.0,0.0,0.0,-964.9461,-9014.9081,465.6331,5381.1975,-1796.2659,1058.2466,-652.4101,-1953.5070000000005,-1390.4294000000002,-3343.936400000001
20,358.7049,1065.8788,778.4623,0.0,0.0,0.0,-969.3456,-8987.0948,478.2746,5383.7937,-1795.1271,1053.4649,-650.8057,-1891.3261000000011,-1392.4679,-3283.794000000001
21,370.5338,1025.4417,790.8806,0.0,0.0,0.0,-974.9458,-8919.3168,465.1533,5368.6431,-1845.5633,1064.03,-658.198,-1873.6101000000008,-1439.7313,-3313.3414000000007
22,359.567,1052.1854,778.5758,0.0,0.0,0.0,-966.433,-9114.3418,471.3087,5402.2209,-1733.5176,1056.3944,-651.6064,-2016.9170000000004,-1328.7296000000001,-3345.6466000000005
23,380.1402,1036.7284,802.9992,0.0,0.0,0.0,-977.6718,-9082.9476,462.2323,5385.2277,-1722.9605,1057.2733,-658.4449,-1993.2915999999996,-1324.1320999999998,-3317.4237
24,391.0397,1030.1742,776.3822,0.0,0.0,0.0,-978.4292,-9154.0889,464.6416,5369.3336,-1638.0682,1055.7423,-650.8784,-2100.9468000000006,-1233.2043,-3334.1511000000005
25,366.2911,1026.7696,784.3934,0.0,0.0,0.0,-965.4265,-9133.721,461.2776,5368.8281,-1693.7384,1060.0138,-657.0659,-2091.5877,-1290.7905,-3382.3782000000006
26,407.9613,1029.3427,786.6939,0.0,0.0,0.0,-992.4683,-9137.9264,474.3645,5396.0399,-1666.3373,1049.6802,-652.1123,-2035.992400000001,-1268.7694,-3304.761800000001
27,364.5004,1027.9619,790.3273,0.0,0.0,0.0,-963.6423,-9196.466,469.8798,5402.1093,-1653.4843,1051.8868,-646.9017,-2105.3296,-1248.4992000000002,-3353.8288
28,392.0267,1007.47,794.5605,0.0,0.0,0.0,-960.4537,-9107.4848,464.1321,5359.5932,-1702.6414,1057.3772,-652.3679,-2050.156,-1297.6321,-3347.7880999999998
29,398.5224,1020.599,801.5749,0.0,0.0,0.0,-976.3783,-8982.0501,466.8874,5374.1741,-1802.1879,1055.6101,-649.1263,-1896.6706000000004,-1395.7041,-3292.3747000000003
