,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,DELTA G gas,DELTA G solv,DELTA TOTAL
0,-2.131628207280301e-14,-1.4210854715202004e-14,-2.8421709430404014e-14,0.0,0.0,0.0,-30.560399999999923,-2.4575000000007687,9.99999999891088e-05,-2.415845301584341e-13,12.724999999999987,-3.5431761599999945,-33.017800000001394,9.18182383999998,-23.83597616000164
1,-1.0658141036401504e-14,-4.618527782440651e-14,-0.0001000000001170065,0.0,0.0,0.0,-38.073300000000074,-7.426399999999738,-3.0198066269804264e-14,7.567280135845067e-13,14.765499999999905,-4.299450479999997,-45.499799999999844,10.466049519999906,-35.033750479999696
2,4.085620730620577e-14,-9.947598300641404e-14,7.105427357601002e-15,0.0,0.0,0.0,-33.21619999999991,-9.28260000000006,-1.7763568394002505e-15,5.32907051820075e-13,16.040799999999972,-4.1396659200000085,-42.49879999999848,11.90113407999998,-30.597665919998953
3,-9.999999999621424e-05,7.105427357601002e-15,-1.0658141036401503e-13,0.0,0.0,0.0,-31.27849999999993,-5.110899999999977,-4.796163466380676e-14,9.999999997400977e-05,12.028900000000005,-4.3246627200000045,-36.38940000000053,7.704237279999994,-28.6851627200003
4,1.4210854715202004e-14,2.8421709430404014e-14,2.0605739337042905e-13,0.0,0.0,0.0,-30.91130000000004,-11.232800000001669,-4.085620730620577e-14,-5.062616992290714e-13,16.89130000000018,-4.220897039999996,-42.144100000002105,12.67040296000006,-29.47369704000205
5,-9.999999998733243e-05,1.4210854715202004e-14,-0.0001000000001454282,0.0,0.0,0.0,-29.757599999999947,-9.606399999999574,-9.999999999266153e-05,6.794564910705958e-13,14.701399999999955,-3.709494720000007,-39.36430000000009,10.991905279999841,-28.37239471999979
6,5.1514348342607263e-14,1.2434497875801753e-13,1.2789769243681806e-13,0.0,0.0,0.0,-37.234800000000035,-10.250699999999004,-5.3290705182007506e-15,-1.9362289549462728e-13,18.29079999999995,-4.202027279999999,-47.48550000000047,14.08877271999988,-33.396727280000356
7,1.77635683940025e-14,1.4921397450962106e-13,-7.105427357601002e-15,0.0,0.0,0.0,-39.117599999999975,-12.577999999999065,0.00010000000001042508,9.999999979459771e-05,22.353200000000076,-4.4137015199999965,-51.695399999999196,17.93949847999991,-33.755901519999064
8,0.0,8.526512829121202e-14,-4.263256414560601e-14,0.0,0.0,0.0,-33.764000000000024,-13.74449999999964,-7.105427357601002e-15,5.417888360170764e-14,19.897100000000137,-4.552138800000004,-47.50849999999957,15.344961200000027,-32.163538799999536
9,8.88178419700125e-15,2.131628207280301e-14,-9.237055564881302e-14,0.0,0.0,0.0,-35.6818,-17.469200000000328,1.2434497875801752e-14,2.0694557179012923e-13,23.38960000000013,-4.248995039999997,-53.1510000000001,19.14060496000007,-34.01039504000027
10,1.7763568394002505e-15,9.999999993226538e-05,-9.999999988608009e-05,0.0,0.0,0.0,-39.7214,-11.844600000001206,-1.77635683940025e-14,-4.53859172466764e-13,19.20709999999995,-4.56446448,-51.56600000000101,14.642635519999995,-36.923364480000785
11,3.7303493627405266e-14,9.999999997845066e-05,0.0,0.0,0.0,0.0,-33.697500000000076,-11.575600000000785,3.552713678800501e-15,0.00010000000032039937,18.383799999999926,-4.526138880000005,-45.272900000001144,13.857661119999733,-31.415238880000963
12,-0.000100000000005096,-9.999999994647625e-05,9.947598300641404e-14,0.0,0.0,0.0,-36.748400000000075,-11.734199999999912,2.8421709430404014e-14,0.00010000000079912752,18.616100000000014,-4.1554987200000015,-48.4826999999993,14.460601279999961,-34.02209871999933
13,-9.999999998200336e-05,-2.8421709430404014e-14,-2.8421709430404014e-14,0.0,0.0,0.0,-30.470900000000054,-10.371700000000004,3.552713678800501e-15,-6.217248937900878e-14,19.55240000000016,-4.02159312,-40.84269999999947,15.530806880000279,-25.311893119999407
14,9.99999999891088e-05,2.131628207280301e-14,-1.882938249764265e-13,0.0,0.0,0.0,-32.018399999999986,-13.039800000000124,4.085620730620577e-14,5.5067062021407764e-14,20.416200000000146,-4.339978560000001,-45.058100000001325,16.076221440000182,-28.981878560001608
15,-8.88178419700125e-15,-9.237055564881302e-14,7.105427357601002e-15,0.0,0.0,0.0,-37.552000000000014,-10.242200000000091,-8.88178419700125e-15,4.3520742565306136e-13,18.761599999999973,-4.135590720000005,-47.7941999999999,14.626009279999991,-33.168190720000126
16,-3.552713678800501e-15,-0.00010000000009924292,-1.4210854715202004e-14,0.0,0.0,0.0,-38.469499999999925,-12.623399999999672,1.9539925233402755e-14,3.2152058793144533e-13,21.766600000000164,-4.507937279999998,-51.09300000000027,17.25866272000016,-33.834337280000106
17,0.0001000000000139778,9.237055564881302e-14,1.2789769243681806e-13,0.0,0.0,0.0,-35.85440000000001,-8.367499999999803,0.00010000000003529408,-3.765876499528531e-13,15.083099999999929,-4.211074799999997,-44.221699999999906,10.872025199999838,-33.349674800000074
18,3.552713678800501e-15,-4.973799150320702e-14,7.105427357601003e-14,0.0,0.0,0.0,-39.23609999999994,-7.826800000000308,-2.131628207280301e-14,2.7533531010703882e-14,15.433300000000026,-4.400759519999991,-47.062900000000326,11.032540480000193,-36.03035952000013
19,1.7763568394002505e-15,-0.00010000000010279564,6.750155989720953e-14,0.0,0.0,0.0,-36.70819999999994,-13.01300000000007,-3.552713678800501e-15,-6.270539643082884e-13,19.701199999999933,-4.408968959999998,-49.72130000000021,15.292231040000024,-34.429068960000194
20,-1.9539925233402755e-14,9.999999999266153e-05,1.4566126083082056e-13,0.0,0.0,0.0,-37.821200000000026,-12.169000000000525,-1.9539925233402755e-14,-5.977440764581843e-13,22.424300000000038,-4.515608160000001,-49.990100000001384,17.90869183999994,-32.08140816000121
21,-9.99999999891088e-05,1.4210854715202006e-13,2.486899575160351e-14,0.0,0.0,0.0,-34.31349999999994,-10.082600000000003,-3.0198066269804264e-14,0.00010000000012055921,15.965899999999909,-4.184341200000007,-44.396100000001155,11.781558800000017,-32.61454120000113
22,3.552713678800501e-15,-1.1368683772161605e-13,3.1974423109204515e-14,0.0,0.0,0.0,-29.63370000000005,-8.740000000000068,-2.486899575160351e-14,-0.00010000000034793288,15.734200000000133,-3.813177599999993,-38.37380000000154,11.921022400000082,-26.452777600002147
23,2.6645352591003757e-14,7.815970093361102e-14,-1.5631940186722204e-13,0.0,0.0,0.0,-40.188499999999976,-10.362700000000327,1.4210854715202004e-14,9.999999999266153e-05,19.737399999999994,-4.339007279999999,-50.551100000000474,15.398392720000027,-35.152707280000456
24,1.4210854715202004e-14,1.4566126083082056e-13,1.5631940186722204e-13,0.0,0.0,0.0,-31.107600000000033,-9.378800000000172,-1.0658141036401504e-14,-1.1368683772161605e-13,14.032000000000211,-3.942696960000003,-40.48640000000076,10.08930304000033,-30.397096960000425
25,3.0198066269804264e-14,0.00010000000012766463,-1.172395514004165e-13,0.0,0.0,0.0,-34.904699999999984,-12.289600000001233,9.999999997845066e-05,-0.00010000000005661036,20.49259999999999,-4.194097200000002,-47.19420000000053,16.298502800000037,-30.89569720000071
26,-3.1974423109204515e-14,0.00010000000010279564,1.5631940186722204e-13,0.0,0.0,0.0,-32.08919999999996,-10.953600000000025,-0.00010000000001042508,-7.283063041541028e-14,18.241700000000016,-3.921982559999992,-43.04280000000036,14.319717440000005,-28.72308255999967
27,-0.00010000000003174135,9.999999987542196e-05,0.0,0.0,0.0,0.0,-37.12639999999999,-11.762499999999484,1.4210854715202004e-14,-3.1885605267234496e-13,19.32259999999987,-4.756346640000006,-48.8888999999996,14.566253359999749,-34.32264663999985
28,2.664535259100376e-15,7.105427357601003e-14,-4.973799150320702e-14,0.0,0.0,0.0,-36.70779999999993,-12.1649999999996,5.3290705182007506e-15,1.7763568394002505e-13,18.420200000000058,-4.700901599999998,-48.87279999999896,13.719298400000126,-35.153501599998144
29,-1.7763568394002505e-15,-9.999999999621424e-05,-9.592326932761353e-14,0.0,0.0,0.0,-39.1804000000001,-11.735999999999423,9.99999999979906e-05,7.593925488436071e-13,20.89569999999994,-4.581584639999991,-50.91639999999754,16.31411536,-34.60228463999822
30,3.5527136788005016e-14,3.907985046680551e-14,4.263256414560601e-14,0.0,0.0,0.0,-35.875199999999914,-12.520800000001257,0.00010000000003707044,-5.702105454474803e-13,20.650599999999834,-4.141545839999996,-48.39590000000114,16.50905415999965,-31.88684584000194
31,-3.907985046680551e-14,-9.999999995358166e-05,-1.4210854715202004e-14,0.0,0.0,0.0,-36.84239999999994,-9.528000000000796,0.0,9.85878045867139e-14,16.534199999999885,-4.195352159999999,-46.37050000000036,12.338847839999756,-34.03165216000083
32,2.7533531010703882e-14,3.552713678800501e-15,1.0658141036401503e-13,0.0,0.0,0.0,-34.788799999999995,-13.26919999999933,2.486899575160351e-14,1.2789769243681806e-13,19.144299999999884,-3.9371400000000025,-48.05799999999931,15.207159999999785,-32.85083999999929
33,3.0198066269804264e-14,-3.1974423109204515e-14,-4.263256414560601e-14,0.0,0.0,0.0,-36.33779999999992,-9.952900000000364,1.7763568394002505e-15,-9.999999946774808e-05,20.37320000000016,-4.2954408000000015,-46.29079999999898,16.07775920000018,-30.213040799999032
34,3.0198066269804264e-14,2.486899575160351e-14,-9.99999999358181e-05,0.0,0.0,0.0,-33.290699999999966,-11.207299999999721,-2.486899575160351e-14,5.062616992290713e-14,19.56380000000001,-4.173693119999995,-44.49809999999891,15.390106879999935,-29.107993119998756
35,1.77635683940025e-14,-7.815970093361102e-14,-1.0302869668521453e-13,0.0,0.0,0.0,-30.514199999999924,-14.41170000000007,-9.999999995358166e-05,5.861977570020827e-13,19.330400000000182,-4.014820799999999,-44.92600000000015,15.315579200000341,-29.6104207999998
36,-0.00010000000004417585,-4.973799150320702e-14,7.105427357601003e-14,0.0,0.0,0.0,-35.24180000000001,-11.970199999999114,0.0,9.999999996956889e-05,18.888000000000105,-4.1596682400000065,-47.21199999999998,14.7283317600002,-32.48366824000045
37,1.0658141036401504e-14,2.131628207280301e-14,1.4210854715202004e-14,0.0,0.0,0.0,-33.122900000000016,-14.288899999999176,-5.5067062021407764e-14,0.00010000000013654642,19.39270000000007,-4.295787119999998,-47.41169999999856,15.096912880000055,-32.314787119998286
38,-9.999999999443789e-05,-1.7053025658242404e-13,0.00010000000006016309,0.0,0.0,0.0,-34.2616,-13.669600000000086,-1.0658141036401504e-14,9.99999998487766e-05,20.06059999999985,-4.110910559999998,-47.9311000000002,15.94968943999966,-31.98141056000054
39,0.00010000000000864871,-3.5527136788005016e-14,8.881784197001252e-14,0.0,0.0,0.0,-38.38690000000003,-14.307700000000185,8.88178419700125e-15,0.00010000000050602864,21.400200000000048,-4.490509680000003,-52.69439999999901,16.909690320000113,-35.78470967999958
