Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,376.3622,1006.6392,775.9195,0.0,0.0,0.0,-970.6926,-9011.4073,476.5502,5377.0373,-1765.9647,1058.3317,-650.0855,-1969.5915000000005,-1357.7185,-3327.3100000000004
1,354.3765,1054.0789,793.8414,0.0,0.0,0.0,-992.57,-9094.0885,466.777,5386.9649,-1710.488,1062.244,-657.9421,-2030.6197999999995,-1306.1861000000001,-3336.8059000000003
2,364.8013,998.4103,774.4101,0.0,0.0,0.0,-987.3847,-9001.9544,464.4185,5421.5501,-1817.2904,1058.4025,-654.2645,-1965.7488000000003,-1413.1524000000002,-3378.9012000000002
3,381.3383,1014.2564,780.2018,0.0,0.0,0.0,-976.1111,-9052.2439,478.3732,5398.8838,-1769.592,1066.0807,-663.2431,-1975.3014999999996,-1366.7544000000003,-3342.0559
4,384.509,1039.399,788.4018,0.0,0.0,0.0,-972.4313,-8940.8195,467.9842,5398.0763,-1860.1589,1078.6492,-675.0269,-1834.8805000000002,-1456.5366,-3291.4170999999997
5,377.5849,988.6357,781.48,0.0,0.0,0.0,-975.9284,-8890.7448,465.9274,5388.0444,-1854.9404,1073.1398,-670.1641,-1865.0008000000007,-1451.9647,-3316.9655000000007
6,388.2091,1018.2937,763.8226,0.0,0.0,0.0,-975.0788,-8933.7652,470.6515,5365.2116,-1839.3039,1071.453,-669.0638,-1902.6555000000008,-1436.9147000000003,-3339.5702000000006
7,391.1277,1008.0465,801.7819,0.0,0.0,0.0,-960.1335,-9007.2748,460.8392,5372.6429,-1738.3935,1073.7919,-668.123,-1932.9700999999995,-1332.7246,-3265.6946999999996
8,392.1103,990.4958,770.1647,0.0,0.0,0.0,-950.2155,-9082.695,455.2857,5367.7445,-1687.4668,1073.6407,-668.508,-2057.1094999999996,-1282.3341,-3339.4435999999996
9,402.3918,1042.7287,782.1186,0.0,0.0,0.0,-988.0079,-8909.0657,474.8139,5369.4433,-1830.8908,1073.7068,-668.1486,-1825.577299999999,-1425.3326,-3250.909899999999
10,386.4402,1036.2493,796.1971,0.0,0.0,0.0,-962.7854,-8926.1685,468.3822,5367.4473,-1832.669,1079.7879,-670.5319,-1834.2377999999999,-1423.413,-3257.6507999999994
11,402.26,1033.7248,782.2428,0.0,0.0,0.0,-975.1949,-8915.7411,465.9328,5421.6706,-1877.3658,1076.0126,-668.0794,-1785.1049999999996,-1469.4326,-3254.5375999999997
12,356.9426,1067.1869,760.9531,0.0,0.0,0.0,-982.3748,-8959.8942,480.6536,5375.5809,-1781.761,1071.4435,-666.8876,-1900.951900000001,-1377.2051,-3278.157000000001
13,371.4713,1030.6804,796.4982,0.0,0.0,0.0,-974.7769,-8833.0075,469.1937,5373.6088,-1920.1368,1079.6461,-675.2302,-1766.3320000000003,-1515.7209,-3282.0529000000006
14,409.0146,1010.1751,785.4607,0.0,0.0,0.0,-945.603,-8889.0603,458.0063,5398.5329,-1901.6184,1088.7087,-689.0166,-1773.4736999999996,-1501.9263,-3275.3999999999996
15,393.8173,1063.0897,765.4024,0.0,0.0,0.0,-961.5077,-8905.0191,468.8804,5428.0265,-1911.3528,1077.6002,-671.2812,-1747.3104999999996,-1505.0337999999997,-3252.3442999999993
16,407.1892,1013.4299,772.5406,0.0,0.0,0.0,-979.1483,-8950.0418,459.5159,5414.7476,-1833.3174,1081.6684,-674.5858,-1861.7669000000005,-1426.2347999999997,-3288.0017000000003
17,376.7927,1074.5846,788.4979,0.0,0.0,0.0,-968.7426,-8969.1791,472.8577,5402.0743,-1823.887,1077.7514,-669.6867,-1823.1144999999997,-1415.8222999999998,-3238.9367999999995
18,391.1956,1054.7472,774.0004,0.0,0.0,0.0,-971.5342,-9050.089,463.7315,5462.4632,-1786.1832,1077.3167,-670.2561,-1875.4853000000003,-1379.1225999999997,-3254.6079000000004
19,377.9226,1065.5506,773.554,0.0,0.0,0.0,-962.7724,-8981.1176,471.7883,5400.9039,-1834.1209,1073.102,-676.3114,-1854.1705999999986,-1437.3302999999999,-3291.5008999999986
20,401.3461,1033.6205,787.4815,0.0,0.0,0.0,-981.4316,-9047.3907,463.0761,5346.7559,-1705.6335,1066.6996,-658.5451,-1996.5421999999999,-1297.479,-3294.0212
21,416.18,1043.6236,794.1351,0.0,0.0,0.0,-961.2288,-8944.2975,473.7863,5375.5765,-1841.0859,1082.5284,-676.2297,-1802.2248000000009,-1434.7872000000002,-3237.0120000000006
22,409.5931,999.9844,748.5862,0.0,0.0,0.0,-954.6289,-8947.2172,459.4853,5388.9732,-1829.832,1085.8831,-682.4933,-1895.223899999999,-1426.4422,-3321.6660999999995
23,346.0135,1020.7571,797.621,0.0,0.0,0.0,-959.4097,-8960.0145,465.3573,5437.6402,-1843.7554,1074.6093,-664.2908,-1852.0351,-1433.4369,-3285.4719999999998
24,396.3909,1027.6757,774.1249,0.0,0.0,0.0,-976.3314,-8872.9015,479.791,5426.6392,-1924.1436,1087.9527,-681.7852,-1744.6112000000003,-1517.9761,-3262.587300000001
25,402.6866,1011.8332,796.1088,0.0,0.0,0.0,-969.5559,-8856.1607,479.0961,5418.6574,-1962.7066,1081.555,-675.3146,-1717.3345,-1556.4661999999998,-3273.8007000000002
26,381.686,1026.2298,754.2974,0.0,0.0,0.0,-938.0738,-8874.8501,465.4333,5416.2125,-1926.7799,1082.6938,-676.6423,-1769.0649000000003,-1520.7284,-3289.7933000000003
27,363.9961,1026.2236,770.139,0.0,0.0,0.0,-970.9224,-8921.6613,457.3559,5376.5778,-1857.4986,1069.8985,-669.7503,-1898.2912999999999,-1457.3503999999998,-3355.6416999999997
28,373.1171,1027.627,808.5028,0.0,0.0,0.0,-967.6303,-8945.2679,463.3711,5368.9849,-1838.4974,1072.1098,-672.7012,-1871.2952999999998,-1439.0888,-3310.3840999999998
29,382.9638,1051.5097,773.4788,0.0,0.0,0.0,-961.2158,-8937.3957,473.4285,5413.846,-1874.7876,1072.0247,-669.7951,-1803.3846999999996,-1472.5580000000002,-3275.9426999999996
30,376.5833,981.5635,792.8846,0.0,0.0,0.0,-956.3985,-8946.2177,475.6415,5402.6276,-1875.8558,1071.8735,-672.8133,-1873.3157,-1476.7956000000001,-3350.1113000000005
31,373.3311,958.5403,762.6929,0.0,0.0,0.0,-975.7488,-8951.2377,452.9377,5434.2041,-1863.7693,1073.8911,-661.8317,-1945.2803999999987,-1451.7098999999998,-3396.9902999999986
32,364.3017,1011.3858,769.8255,0.0,0.0,0.0,-979.9253,-9008.3289,472.2985,5401.0213,-1778.0877,1062.8299,-658.2884,-1969.4214000000002,-1373.5462000000002,-3342.9676000000004
33,373.0105,1017.6844,777.5205,0.0,0.0,0.0,-978.6176,-8967.0671,463.7326,5412.365,-1836.3714,1079.4808,-675.432,-1901.3717000000006,-1432.3226,-3333.6943
