,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,DELTA G gas,DELTA G solv,DELTA TOTAL
0,-9.99999999722334e-05,1.0302869668521453e-13,0.00010000000017207356,0.0,0.0,0.0,-41.982599999999906,-18.900200000000886,3.5527136788005016e-14,-1.9895196601282808e-13,60.95550000000009,-6.147622080000002,-60.882800000002305,54.80787792000001,-6.07492208000275
1,1.4210854715202004e-14,-2.8421709430404014e-14,-3.552713678800501e-15,0.0,0.0,0.0,-39.997800000000055,-19.101300000001,4.085620730620577e-14,-5.684341886080803e-14,64.96039999999999,-6.0691816800000025,-59.099100000000355,58.891218319999865,-0.20788168000001409
2,2.0428103653102883e-14,-1.172395514004165e-13,9.999999979726226e-05,0.0,0.0,0.0,-34.1932999999999,-15.856800000000836,-1.5987211554602254e-14,2.557953848736361e-13,57.3113000000001,-5.961437279999987,-50.05000000000041,51.34986272000011,1.2998627199985793
3,-9.999999999976694e-05,1.2789769243681806e-13,1.2434497875801752e-14,0.0,0.0,0.0,-39.41069999999998,-15.97589999999956,-0.00010000000001575417,-0.00010000000008858478,55.02090000000004,-5.945106239999994,-55.3868999999994,49.075793759999925,-6.311106239999247
4,8.88178419700125e-15,-7.815970093361102e-14,9.999999990562004e-05,0.0,0.0,0.0,-40.4153,-21.002399999998623,4.085620730620577e-14,-1.3500311979441906e-13,67.56579999999985,-5.903351279999996,-61.41759999999701,61.66244871999994,0.2448487200029348
5,3.0198066269804264e-14,-7.105427357601002e-15,-9.99999999073964e-05,0.0,0.0,0.0,-34.62200000000007,-16.64830000000014,1.7763568394002505e-15,4.618527782440651e-13,63.6837999999999,-5.997524399999998,-51.27039999999925,57.68627560000003,6.415875599999878
6,9.99999999722334e-05,1.4210854715202004e-14,1.1013412404281553e-13,0.0,0.0,0.0,-37.08850000000011,-19.12499999999934,-1.77635683940025e-14,-2.0605739337042905e-13,66.50160000000005,-6.254272799999999,-56.21339999999991,60.24732720000011,4.033927200000869
7,-2.131628207280301e-14,2.131628207280301e-14,7.815970093361102e-14,0.0,0.0,0.0,-36.09510000000001,-27.24500000000147,3.5527136788005016e-14,-0.00010000000032306387,80.0646999999998,-6.027099119999996,-63.3402000000014,74.03760087999984,10.69740087999957
8,-2.3092638912203256e-14,2.8421709430404014e-14,1.403321903126198e-13,0.0,0.0,0.0,-32.91659999999999,-24.472400000001517,2.486899575160351e-14,0.00010000000064280812,75.98959999999997,-6.1075036799999936,-57.388900000001144,69.88209632000004,12.493196319998448
9,-1.7763568394002505e-15,8.881784197001252e-14,-1.5099033134902131e-13,0.0,0.0,0.0,-36.42149999999994,-24.009799999999395,-1.0658141036401504e-14,-0.00010000000012411192,84.86210000000001,-6.386902559999988,-60.431399999999364,78.47519744000014,18.04379743999943
10,-0.00010000000003174135,-7.105427357601003e-14,9.999999991983088e-05,0.0,0.0,0.0,-39.25229999999994,-14.093000000000535,-3.7303493627405266e-14,1.5631940186722204e-13,64.96419999999989,-5.986123919999996,-53.34530000000083,58.9780760799999,5.632776079998614
11,-6.2172489379008774e-15,-4.973799150320702e-14,1.2434497875801753e-13,0.0,0.0,0.0,-35.742,-28.454299999999467,-0.0001000000000139778,-3.197442310920451e-13,80.94920000000022,-6.0331507199999885,-64.19640000000109,74.9160492800003,10.71964927999921
12,-2.6645352591003757e-14,6.039613253960853e-14,1.2434497875801753e-13,0.0,0.0,0.0,-34.63449999999997,-23.82870000000165,-1.7763568394002505e-15,-2.0605739337042905e-13,73.56060000000015,-6.091033680000009,-58.46320000000287,67.46956632000015,9.006366319996836
13,-1.7763568394002505e-15,1.77635683940025e-14,-1.7763568394002505e-15,0.0,0.0,0.0,-35.280300000000096,-21.673200000001188,-3.552713678800501e-15,2.415845301584341e-13,66.34770000000016,-6.138533519999997,-56.95349999999938,60.20916648000028,3.2556664800011177
14,-3.3750779948604765e-14,-2.8421709430404014e-14,9.99999998825274e-05,0.0,0.0,0.0,-34.628099999999954,-26.595999999999112,2.486899575160351e-14,9.999999990384367e-05,70.94019999999985,-5.983282080000004,-61.223899999998466,64.95691791999988,3.733017920002332
15,1.2434497875801752e-14,-4.973799150320702e-14,3.3750779948604765e-14,0.0,0.0,0.0,-32.16039999999999,-31.43039999999988,-0.00010000000001042508,4.334310688136611e-13,86.52420000000009,-6.315924240000001,-63.590899999999955,80.20827576,16.61737576000006
16,1.2434497875801752e-14,-7.815970093361102e-14,9.999999998377973e-05,0.0,0.0,0.0,-34.54940000000001,-19.236099999999034,2.3092638912203256e-14,9.947598300641404e-14,73.63300000000014,-6.0456002399999935,-53.785399999998376,67.58739976000011,13.80199976000128
17,1.0658141036401504e-14,-1.172395514004165e-13,2.6645352591003757e-14,0.0,0.0,0.0,-33.20929999999996,-26.30330000000025,1.7763568394002505e-15,9.999999964804827e-05,83.35899999999988,-6.009931440000003,-59.51250000000059,77.34906855999985,17.836568559999034
18,-0.00010000000000687237,-1.4210854715202006e-13,8.526512829121202e-14,0.0,0.0,0.0,-36.04709999999992,-21.75620000000115,7.105427357601002e-15,-0.00010000000030174759,82.5786,-6.065080559999994,-57.803500000002785,76.51351944,18.71001943999789
19,-4.796163466380676e-14,-1.0658141036401504e-14,0.00010000000012055921,0.0,0.0,0.0,-35.137600000000035,-25.09509999999937,-3.3750779948604765e-14,-9.947598300641404e-14,78.98959999999997,-6.516264239999997,-60.232600000000275,72.47333576000003,12.240735760000419
20,1.7763568394002505e-15,-8.881784197001252e-14,0.00010000000005483399,0.0,0.0,0.0,-36.66759999999999,-24.50130000000042,2.486899575160351e-14,1.3500311979441906e-13,71.04740000000002,-6.105317760000003,-61.16879999999993,64.94208223999999,3.7732822399993746
21,0.00010000000004062316,1.6342482922482307e-13,9.999999999266153e-05,0.0,0.0,0.0,-30.646000000000033,-23.6262000000002,-1.4210854715202004e-14,-2.9132252166164113e-13,78.07590000000008,-5.841497519999986,-54.27200000000072,72.23440248000007,17.9624024799998
22,-2.8421709430404014e-14,-9.999999996423979e-05,-1.7763568394002505e-13,0.0,0.0,0.0,-34.6232,-29.936099999999897,-8.88178419700125e-15,9.999999991805451e-05,83.98200000000017,-6.138223199999995,-64.55929999999998,77.8437768000001,13.284476800000364
23,-5.3290705182007506e-15,1.0658141036401504e-14,0.00010000000000864871,0.0,0.0,0.0,-34.412099999999946,-25.772600000000356,0.0001000000000139778,3.9790393202565615e-13,80.50010000000012,-6.2127964799999935,-60.18449999999989,74.2873035200002,14.102803520001686
24,9.999999997489796e-05,4.618527782440651e-14,-9.999999995713438e-05,0.0,0.0,0.0,-36.411600000000064,-28.570299999998614,-1.0658141036401504e-14,-2.0605739337042905e-13,80.79010000000007,-6.187163759999996,-64.98189999999713,74.60293624000019,9.62103624000283
25,7.105427357601002e-15,9.999999999266153e-05,1.5987211554602254e-14,0.0,0.0,0.0,-35.38380000000007,-27.497099999998746,-1.7763568394002505e-15,-3.907985046680551e-13,79.53510000000017,-6.247128239999998,-62.880800000000455,73.28797176000045,10.407171759999073
26,0.000100000000005096,9.237055564881302e-14,1.172395514004165e-13,0.0,0.0,0.0,-33.45159999999999,-26.999200000000886,9.999999996779252e-05,2.8421709430404014e-14,81.84090000000012,-6.143542559999995,-60.450600000000655,75.69735743999993,15.246757439999952
27,3.552713678800501e-15,6.394884621840903e-14,4.085620730620577e-14,0.0,0.0,0.0,-39.7054,-23.106600000000572,-1.5987211554602254e-14,0.00010000000036569644,64.31120000000018,-5.811371999999998,-62.8119000000004,58.49982800000009,-4.312071999999851
28,-9.999999998733243e-05,-9.99999999891088e-05,3.3750779948604765e-14,0.0,0.0,0.0,-40.08590000000007,-24.67339999999947,1.0658141036401504e-14,-7.318590178329032e-13,65.0718,-6.153866640000005,-64.75949999999916,58.917933359999964,-5.841566639999662
