Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,DELTA G gas,DELTA G solv,DELTA TOTAL
0,3.552713678800501e-15,1.0658141036401503e-14,-6.039613253960852e-14,0.0,0.0,0.0,-24.75609999999994,-24.28229999999968,9.999999997845066e-05,1.7053025658242404e-13,31.341500000000075,-4.296669119999998,-49.038300000000305,27.04483088000022,-21.99346912000007
1,9.999999998733244e-05,-1.1723955140041653e-13,0.00010000000008147936,0.0,0.0,0.0,-32.3597999999999,-22.85590000000164,-1.4210854715202004e-14,9.999999969068085e-05,33.46379999999999,-4.975223760000002,-55.21540000000175,28.488576240000057,-26.726823760002148
2,1.509903313490213e-14,4.973799150320701e-14,-0.00010000000000687237,0.0,0.0,0.0,-28.50670000000005,-29.568599999999165,9.999999995180531e-05,-1.1368683772161603e-13,36.168999999999784,-4.466661839999996,-58.07529999999869,31.70233815999987,-26.372961839998595
3,1.7763568394002505e-15,-5.684341886080802e-14,2.1316282072803006e-14,0.0,0.0,0.0,-29.925099999999993,-27.983699999999587,-7.105427357601002e-15,0.0,39.15510000000006,-4.569245279999993,-57.908800000000355,34.585854720000135,-23.32294528000091
4,-1.865174681370263e-14,8.881784197001252e-14,-0.00010000000002818865,0.0,0.0,0.0,-21.91640000000002,-33.137200000000135,-4.796163466380676e-14,2.8421709430404007e-13,37.38680000000017,-4.607440560000001,-55.053699999999935,32.77935944000007,-22.274340559999644
5,-9.999999996246345e-05,0.00010000000011345378,5.684341886080802e-14,0.0,0.0,0.0,-27.08930000000003,-24.22060000000012,3.907985046680551e-14,1.7053025658242404e-13,33.353999999999814,-3.945204719999997,-51.30989999999923,29.40879527999999,-21.901104719999466
6,8.881784197001252e-15,-2.842170943040401e-14,9.999999996779252e-05,0.0,0.0,0.0,-28.248799999999967,-22.251900000000347,-2.1316282072803006e-14,-1.1368683772161603e-13,37.75039999999995,-4.883642639999999,-50.5006000000005,32.86675735999987,-17.633842640000623
7,2.4868995751603507e-14,1.8118839761882555e-13,-0.00010000000004595222,0.0,0.0,0.0,-32.29329999999991,-22.776499999999587,-2.3092638912203256e-14,2.8421709430404007e-13,34.367999999999924,-4.740832080000006,-55.06989999999874,29.627167919999888,-25.442732079999104
8,-4.085620730620576e-14,9.99999999891088e-05,2.1316282072803006e-14,0.0,0.0,0.0,-33.35020000000003,-15.1850000000006,-2.4868995751603507e-14,5.115907697472721e-13,28.99789999999987,-5.013563760000006,-48.53510000000034,23.984336239999863,-24.550763760000706
9,1.2434497875801753e-14,-6.394884621840902e-14,6.394884621840902e-14,0.0,0.0,0.0,-32.507499999999986,-24.918399999999153,1.9539925233402755e-14,-1.7053025658242404e-13,36.03379999999994,-4.943041919999999,-57.42589999999882,31.090758079999915,-26.335141919998676
10,2.6645352591003757e-14,3.552713678800501e-14,0.00010000000003529408,0.0,0.0,0.0,-26.275099999999924,-33.899799999999985,9.999999998200337e-05,9.999999940646376e-05,38.304600000000036,-4.608696959999995,-60.17460000000008,33.695903040000005,-26.478696959999866
11,-5.329070518200751e-15,-0.0001000000000921375,9.592326932761353e-14,0.0,0.0,0.0,-26.391300000000076,-28.405399999999872,4.263256414560601e-14,-9.999999991805453e-05,39.29509999999988,-5.109384960000005,-54.79690000000022,34.1857150399999,-20.611184960000088
12,1.5987211554602254e-14,-9.592326932761353e-14,-7.815970093361102e-14,0.0,0.0,0.0,-29.22330000000004,-27.971000000001183,-1.2434497875801753e-14,-9.999999991805453e-05,41.93579999999993,-4.690872000000005,-57.194400000002446,37.24492800000007,-19.9494720000026
13,-0.00010000000001930687,-7.105427357601002e-15,-9.999999989318553e-05,0.0,0.0,0.0,-28.58149999999996,-31.227099999999467,-0.00010000000000509601,1.1368683772161603e-13,40.36260000000006,-4.731319439999998,-59.80889999999968,35.631280560000235,-24.177619439999205
