,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,392.3148,1045.0357,800.0061,0.0,0.0,0.0,-966.5067,87116.0036,468.5742,5287.0569,-107117.6869,56.45134944,94142.4846,-107061.23555056,-12918.750950560005
1,383.1021,1058.1618,790.3889,0.0,0.0,0.0,-950.2308,84142.6714,468.2577,5285.5571,-103945.1577,56.06654184,91177.90820000002,-103889.09115816,-12711.182958159976
2,380.151,1021.8089,801.8868,0.0,0.0,0.0,-969.8795,84641.9576,480.1354,5301.0248,-104481.6566,55.589274,91657.085,-104426.067326,-12768.98232600001
3,393.4046,1035.2773,775.086,0.0,0.0,0.0,-993.1225,82955.7661,478.20099999999996,5291.7089,-103006.6632,54.06971976,89936.32139999999,-102952.59348024,-13016.272080240007
4,412.2769,1028.0902,801.9583,0.0,0.0,0.0,-982.7235,85089.5485,477.784,5239.8679,-104913.2527,53.39906568,92066.8023,-104859.85363432,-12793.051334320002
5,373.4563,971.3897,792.9464,0.0,0.0,0.0,-980.5642,82933.1251,472.9399,5299.3541,-102952.2323,54.94741056,89862.6473,-102897.28488944,-13034.637589440004
6,385.2183,1000.1999,792.2794,0.0,0.0,0.0,-968.3809,84803.6951,469.2133,5284.4392,-104824.536,55.26795672,91766.6643,-104769.26804328,-13002.603743280004
7,412.5928,1041.5511,792.4076,0.0,0.0,0.0,-961.0625,86641.0372,461.6833,5277.1772,-106496.4067,54.76532544,93665.38670000002,-106441.64137456,-12776.25467455999
8,403.8877,1049.4001,778.2159,0.0,0.0,0.0,-953.4165,83282.6888,482.5188,5304.4075,-103379.4792,56.26557936,90347.7023,-103323.21362064,-12975.511320639995
9,390.4211,1038.3664,797.0677,0.0,0.0,0.0,-979.0678,79253.7884,468.4583,5299.3575,-99591.2749,55.77460920000001,86268.3916,-99535.5002908,-13267.108690800002
10,411.366,1018.3994,811.2137,0.0,0.0,0.0,-956.2944,81483.7064,451.9305,5297.0239,-101562.6899,55.57138632,88517.3455,-101507.11851368,-12989.773013680002
11,360.1012,1112.8848,792.1388,0.0,0.0,0.0,-880.9888,84519.28,480.8404,5319.8515,-104329.3358,56.24424504,91704.1079,-104273.09155496,-12568.98365496
12,389.9018,1031.6752,791.5272,0.0,0.0,0.0,-946.0085,80895.0593,485.6664,5307.9242,-100755.4417,54.50734368,87955.7456,-100700.93435632,-12745.188756320002
13,390.29900000000004,1006.7316,806.0126,0.0,0.0,0.0,-960.242,75489.8557,482.6629,5323.0462,-95665.4911,56.90208888,82538.366,-95608.58901112,-13070.223011120004
14,395.9561,1032.0828,788.0245,0.0,0.0,0.0,-954.3172,79477.543,471.5543,5285.4865,-99711.0928,57.15445032,86496.33,-99653.93834968,-13157.608349679995
15,371.64599999999996,1008.3949,803.3207,0.0,0.0,0.0,-965.5703,79327.4733,477.7219,5349.0401,-99422.38900000001,55.60884216,86372.0266,-99366.78015784,-12994.753557839998
16,401.4507,1041.5359,800.2357,0.0,0.0,0.0,-976.3045,78513.7043,482.6112,5344.7561,-98612.5352,55.68216768,85607.98939999999,-98556.85303232,-12948.863632320008
17,400.9245,1019.8854,800.5188,0.0,0.0,0.0,-963.175,81391.2789,469.6657,5304.254,-101499.8097,56.59745184,88423.3523,-101443.21224816,-13019.85994816
