FRAMES,1,2,3,4,5,6,7,8,9,10
0,50,50,50,50,50,50,50,50,50,50
1,50,50,50,50,50,50,50,50,50,50
2,50,50,50,50,50,50,50,50,50,50
3,50,50,50,50,50,50,50,50,50,50
4,50,50,50,50,50,50,50,50,50,50
5,50,50,50,50,50,50,50,50,50,50
6,50,50,50,50,50,50,50,50,50,50
7,50,50,50,50,50,50,50,50,50,50
8,50,50,50,50,50,50,50,50,50,50
9,50,50,50,50,50,50,50,50,50,50
10,50,50,50,50,50,50,50,50,50,50
11,50,50,50,50,50,50,50,50,50,50
12,50,50,50,50,50,50,50,50,50,50
13,50,50,50,50,50,50,50,50,50,50
14,50,50,50,50,50,50,50,50,50,50
15,50,50,50,50,50,50,50,50,50,50
16,50,50,50,50,50,50,50,50,50,50
17,50,50,50,50,50,50,50,50,50,50
18,50,50,50,50,50,50,50,50,50,50
19,50,50,50,50,50,50,50,50,50,50
20,50,50,50,50,50,50,50,50,50,50
21,50,50,50,50,50,50,50,50,50,50
22,50,50,50,50,50,50,50,50,50,50
23,50,50,50,50,50,50,50,50,50,50
24,50,50,50,50,50,50,50,50,50,50
25,50,50,50,50,50,50,50,50,50,50
26,50,50,50,50,50,50,50,50,50,50
27,50,50,50,50,50,50,50,50,50,50
28,50,50,50,50,50,50,50,50,50,50
29,50,50,50,50,50,50,50,50,50,50
30,50,50,50,50,50,50,50,50,50,50
31,50,50,50,50,50,50,50,50,50,50
32,50,50,50,50,50,50,50,50,50,50
33,50,50,50,50,50,50,50,50,50,50
34,50,50,50,50,50,50,50,50,50,50
35,50,50,50,50,50,50,50,50,50,50
36,50,50,50,50,50,50,50,50,50,50
37,50,50,50,50,50,50,50,50,50,50
38,50,50,50,50,50,50,50,50,50,50
39,50,50,50,50,50,50,50,50,50,50
40,50,50,50,50,50,50,50,50,50,50
41,50,50,50,50,50,50,50,50,50,50
42,50,50,50,50,50,50,50,50,50,50
43,50,50,50,50,50,50,50,50,50,50
44,50,50,50,50,50,50,50,50,50,50
45,50,50,50,50,50,50,50,50,50,50
46,50,50,50,50,50,50,50,50,50,50
47,50,50,50,50,50,50,50,50,50,50
48,50,50,50,50,50,50,50,50,50,50
49,50,50,50,50,50,50,50,50,50,50
50,50,50,50,50,50,50,50,50,50,50
51,50,50,50,50,50,50,50,50,50,50
52,50,50,50,50,50,50,50,50,50,50
53,50,50,50,50,50,50,50,50,50,50
54,50,50,50,50,50,50,50,50,50,50
55,50,50,50,50,50,50,50,50,50,50
56,50,50,50,50,50,50,50,50,50,50
57,50,50,50,50,50,50,50,50,50,50
58,50,50,50,50,50,50,50,50,50,50
59,50,50,50,50,50,50,50,50,50,50
60,50,50,50,50,50,50,50,50,50,50
61,50,50,50,50,50,50,50,50,50,50
62,50,50,50,50,50,50,50,50,50,50
63,50,50,50,50,50,50,50,50,50,50
64,50,50,50,50,50,50,50,50,50,50
65,50,50,50,50,50,50,50,50,50,50
66,50,50,50,50,50,50,50,50,50,50
67,50,50,50,50,50,50,50,50,50,50
68,50,50,50,50,50,50,50,50,50,50
69,50,50,50,50,50,50,50,50,50,50
70,50,50,50,50,50,50,50,50,50,50
71,50,50,50,50,50,50,50,50,50,50
72,50,50,50,50,50,50,50,50,50,50
73,50,50,50,50,50,50,50,50,50,50
74,50,50,50,50,50,50,50,50,50,50
75,50,50,50,50,50,50,50,50,50,50
76,50,50,50,50,50,50,50,50,50,50
77,50,50,50,50,50,50,50,50,50,50
78,50,50,50,50,50,50,50,50,50,50
79,50,50,50,50,50,50,50,50,50,50
80,50,50,50,50,50,50,50,50,50,50
81,50,50,50,50,50,50,50,50,50,50
82,50,50,50,50,50,50,50,50,50,50
83,50,50,50,50,50,50,50,50,50,50
84,50,50,50,50,50,50,50,50,50,50
85,50,50,50,50,50,50,50,50,50,50
86,50,50,50,50,50,50,50,50,50,50
87,50,50,50,50,50,50,50,50,50,50
88,50,50,50,50,50,50,50,50,50,50
89,50,50,50,50,50,50,50,50,50,50
90,50,50,50,50,50,50,50,50,50,50
91,50,50,50,50,50,50,50,50,50,50
92,50,50,50,50,50,50,50,50,50,50
93,50,50,50,50,50,50,50,50,50,50
94,50,50,50,50,50,50,50,50,50,50
95,50,50,50,50,50,50,50,50,50,50
96,50,50,50,50,50,50,50,50,50,50
97,50,50,50,50,50,50,50,50,50,50
98,50,50,50,50,50,50,50,50,50,50
99,50,50,50,50,50,50,50,50,50,50
100,50,50,50,50,50,50,50,50,50,50
101,50,50,50,50,50,50,50,50,50,50
102,50,50,50,50,50,50,50,50,50,50
103,50,50,50,50,50,50,50,50,50,50
104,50,50,50,50,50,50,50,50,50,50
105,50,50,50,50,50,50,50,50,50,50
106,50,50,50,50,50,50,50,50,50,50
107,50,50,50,50,50,50,50,50,50,50
108,50,50,50,50,50,50,50,50,50,50
109,50,50,50,50,50,50,50,50,50,50
110,50,50,50,50,50,50,50,50,50,50
111,50,50,50,50,50,50,50,50,50,50
112,50,50,50,50,50,50,50,50,50,50
113,50,50,50,50,50,50,50,50,50,50
114,50,50,50,50,50,50,50,50,50,50
115,50,50,50,50,50,50,50,50,50,50
116,50,50,50,50,50,50,50,50,50,50
117,50,50,50,50,50,50,50,50,50,50
118,50,50,50,50,50,50,50,50,50,50
119,50,50,50,50,50,50,50,50,50,50
120,50,50,50,50,50,50,50,50,50,50
121,50,50,50,50,50,50,50,50,50,50
122,50,50,50,50,50,50,50,50,50,50
123,50,50,50,50,50,50,50,50,50,50
124,50,50,50,50,50,50,50,50,50,50
125,50,50,50,50,50,50,50,50,50,50
126,50,50,50,50,50,50,50,50,50,50
127,50,50,50,50,50,50,50,50,50,50
128,50,50,50,50,50,50,50,50,50,50
129,50,50,50,50,50,50,50,50,50,50
130,50,50,50,50,50,50,50,50,50,50
131,50,50,50,50,50,50,50,50,50,50
132,50,50,50,50,50,50,50,50,50,50
133,50,50,50,50,50,50,50,50,50,50
134,50,50,50,50,50,50,50,50,50,50
135,50,50,50,50,50,50,50,50,50,50
136,50,50,50,50,50,50,50,50,50,50
137,50,50,50,50,50,50,50,50,50,50
138,50,50,50,50,50,50,50,50,50,50
139,50,50,50,50,50,50,50,50,50,50
140,50,50,50,50,50,50,50,50,50,50
141,50,50,50,50,50,50,50,50,50,50
142,50,50,50,50,50,50,50,50,50,50
143,50,50,50,50,50,50,50,50,50,50
144,50,50,50,50,50,50,50,50,50,50
145,50,50,50,50,50,50,50,50,50,50
146,50,50,50,50,50,50,50,50,50,50
147,50,50,50,50,50,50,50,50,50,50
148,50,50,50,50,50,50,50,50,50,50
149,50,50,50,50,50,50,50,50,50,50
150,50,50,50,50,50,50,50,50,50,50
151,50,50,50,50,50,50,50,50,50,50
152,50,50,50,50,50,50,50,50,50,50
153,50,50,50,50,50,50,50,50,50,50
154,50,50,50,50,50,50,50,50,50,50
155,50,50,50,50,50,50,50,50,50,50
156,50,50,50,50,50,50,50,50,50,50
157,50,50,50,50,50,50,50,50,50,50
158,50,50,50,50,50,50,50,50,50,50
159,50,50,50,50,50,50,50,50,50,50
160,50,50,50,50,50,50,50,50,50,50
161,50,50,50,50,50,50,50,50,50,50
162,50,50,50,50,50,50,50,50,50,50
163,50,50,50,50,50,50,50,50,50,50
164,50,50,50,50,50,50,50,50,50,50
165,50,50,50,50,50,50,50,50,50,50
166,50,50,50,50,50,50,50,50,50,50
167,50,50,50,50,50,50,50,50,50,50
168,50,50,50,50,50,50,50,50,50,50
169,50,50,50,50,50,50,50,50,50,50
170,50,50,50,50,50,50,50,50,50,50
171,50,50,50,50,50,50,50,50,50,50
172,50,50,50,50,50,50,50,50,50,50
173,50,50,50,50,50,50,50,50,50,50
174,50,50,50,50,50,50,50,50,50,50
175,50,50,50,50,50,50,50,50,50,50
176,50,50,50,50,50,50,50,50,50,50
177,50,50,50,50,50,50,50,50,50,50
178,50,50,50,50,50,50,50,50,50,50
179,50,50,50,50,50,50,50,50,50,50
180,50,50,50,50,50,50,50,50,50,50
181,50,50,50,50,50,50,50,50,50,50
182,50,50,50,50,50,50,50,50,50,50
183,50,50,50,50,50,50,50,50,50,50
184,50,50,50,50,50,50,50,50,50,50
185,50,50,50,50,50,50,50,50,50,50
186,50,50,50,50,50,50,50,50,50,50
187,50,50,50,50,50,50,50,50,50,50
188,50,50,50,50,50,50,50,50,50,50
