Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
29,366.9656,1002.7407,760.1351,0.0,0.0,0.0,-929.4006,-9346.1644,462.4959,5413.3743,-1922.4933,61.34404176,-2269.853399999999,-1861.14925824,-4131.002658239999
30,429.3852,1065.3391,769.3297,0.0,0.0,0.0,-943.4115,-9298.2985,454.5399,5371.717,-1923.847,61.5020184,-2151.3991000000015,-1862.3449816,-4013.744081600001
31,392.5476,1051.9381,766.1729,0.0,0.0,0.0,-922.2407,-9298.4973,468.3268,5385.3862,-1929.1593,61.49224296,-2156.366400000001,-1867.6670570400001,-4024.033457040001
32,416.8342,1043.1862,767.8426,0.0,0.0,0.0,-913.0879,-9423.5118,471.3921,5376.0836,-1831.3011,60.887578319999996,-2261.2609999999995,-1770.4135216799998,-4031.674521679999
33,358.4128,1021.409,775.0731,0.0,0.0,0.0,-917.9417,-9455.1526,466.3953,5418.606,-1798.2507,61.35261768,-2333.1980999999996,-1736.89808232,-4070.09618232
34,381.755,998.4433,764.3381,0.0,0.0,0.0,-921.673,-9420.3537,469.8942,5341.3343,-1776.0154,60.34368744,-2386.2617999999993,-1715.67171256,-4101.933512559999
35,410.2942,1040.8931,760.5237,0.0,0.0,0.0,-960.4084,-9368.0308,450.4666,5304.7293,-1809.8277,62.92224648,-2361.5323000000008,-1746.90545352,-4108.437753520001
36,385.7793,1018.6078,762.1059,0.0,0.0,0.0,-970.9721,-9374.2106,478.2053,5376.614,-1843.5653,59.92425144,-2323.8704000000016,-1783.64104856,-4107.511448560002
37,387.6705,1010.6832,773.8401,0.0,0.0,0.0,-922.2666,-9354.3667,459.4795,5401.0034,-1936.4639,63.39692016,-2243.9566000000004,-1873.06697984,-4117.02357984
38,388.5431,1088.8899,759.0826,0.0,0.0,0.0,-913.9338,-9200.5611,459.3422,5362.3056,-1995.9938,65.63396519999999,-2056.331500000001,-1930.3598348,-3986.691334800001
39,388.694,1036.1841,771.2272,0.0,0.0,0.0,-964.5297,-9225.7271,455.1641,5325.3717,-1953.7399,62.15968296,-2213.6157000000003,-1891.58021704,-4105.1959170400005
40,396.1303,985.4647,774.5292,0.0,0.0,0.0,-932.915,-9356.0828,454.6619,5294.8403,-1817.9981,63.9732924,-2383.3714,-1754.0248076,-4137.3962076
41,381.0453,1018.8473,785.1174,0.0,0.0,0.0,-912.891,-9330.8489,467.8039,5344.0008,-1910.9276,64.34460864,-2246.9252000000006,-1846.58299136,-4093.5081913600006
42,387.7608,1028.9846,766.8367,0.0,0.0,0.0,-937.1793,-9398.218,472.1934,5321.561,-1794.2331,63.47952,-2358.060800000001,-1730.7535799999998,-4088.8143800000007
43,403.8225,1001.1933,754.5282,0.0,0.0,0.0,-915.1411,-9379.2504,471.9396,5353.9798,-1849.0728,63.45018648,-2308.928100000001,-1785.62261352,-4094.550713520001
44,384.9883,1015.2758,763.6508,0.0,0.0,0.0,-887.289,-9462.1304,472.0843,5326.8019,-1792.2136,62.43173712,-2386.6183,-1729.78186288,-4116.40016288
45,404.8093,1022.6562,780.8234,0.0,0.0,0.0,-896.4859,-9403.9265,462.8122,5368.6556,-1841.416,60.30518975999999,-2260.6556999999993,-1781.1108102399999,-4041.7665102399997
46,387.5431,1013.8047,785.2991,0.0,0.0,0.0,-933.8938,-9370.2068,475.7502,5387.4959,-1907.2852,64.08003959999999,-2254.2075999999997,-1843.2051604,-4097.4127604
47,411.3154,1008.6843,788.6734,0.0,0.0,0.0,-901.4093,-9387.781,458.7222,5341.9153,-1832.1893,61.92139248,-2279.8797000000013,-1770.26790752,-4050.147607520001
48,363.0406,1045.5996,760.505,0.0,0.0,0.0,-905.9465,-9254.6891,481.555,5344.6379,-1962.6861,62.96423399999999,-2165.2974999999997,-1899.7218659999999,-4065.0193659999995
49,393.3659,1045.7591,783.5686,0.0,0.0,0.0,-952.2842,-9414.9765,464.9347,5358.0042,-1802.8862,61.76982096,-2321.6282,-1741.1163790399999,-4062.74457904
50,374.9243,1055.5248,777.0128,0.0,0.0,0.0,-937.2712,-9439.3216,466.0492,5352.2373,-1786.4017,60.09018767999999,-2350.8444,-1726.3115123199998,-4077.1559123200004
51,389.4902,1028.1547,749.4241,0.0,0.0,0.0,-901.9869,-9487.2075,448.4807,5345.7386,-1783.3583,62.46955728,-2427.906100000001,-1720.8887427200002,-4148.794842720001
52,372.851,969.0678,751.3514,0.0,0.0,0.0,-924.8349,-9392.1663,471.1225,5347.8889,-1823.869,62.68244472,-2404.7195999999994,-1761.18655528,-4165.906155279999
53,399.1187,977.1127,797.041,0.0,0.0,0.0,-884.4971,-9329.5393,486.1936,5399.7367,-1955.6732,67.39186536,-2154.8337,-1888.2813346399998,-4043.1150346400004
54,371.7753,1064.4388,785.3946,0.0,0.0,0.0,-923.0494,-9278.0548,461.4227,5372.1393,-1962.9639,64.69662672,-2145.9335,-1898.26727328,-4044.20077328
55,414.0788,992.2274,763.3175,0.0,0.0,0.0,-890.4659,-9332.0816,467.9763,5385.5645,-1931.4078,65.16612504000001,-2199.382999999999,-1866.24167496,-4065.6246749599986
56,382.2504,1038.1344,770.6435,0.0,0.0,0.0,-929.6735,-9248.6953,456.9192,5379.1865,-2012.3085,66.11480712,-2151.2347999999993,-1946.19369288,-4097.42849288
57,407.5201,995.4126,767.7436,0.0,0.0,0.0,-936.6034,-9195.9207,460.6624,5398.4095,-2044.522,64.570878,-2102.7759000000005,-1979.951122,-4082.7270220000005
58,371.7676,1042.4625,783.3885,0.0,0.0,0.0,-935.5226,-9213.4425,463.6927,5338.4513,-2001.0424,63.980424719999995,-2149.2024999999994,-1937.06197528,-4086.2644752799997
59,399.8683,1051.7877,754.3286,0.0,0.0,0.0,-911.5032,-9168.6078,464.6398,5354.2472,-2064.4957,66.71062008,-2055.2394000000004,-1997.78507992,-4053.02447992
60,371.3528,1054.7828,773.5389,0.0,0.0,0.0,-915.8455,-9254.3488,477.2473,5363.4777,-1962.193,64.15164719999999,-2129.7947999999997,-1898.0413528,-4027.8361528
61,397.0004,1044.6276,777.611,0.0,0.0,0.0,-916.2408,-9255.6052,466.9241,5317.0674,-1962.889,64.2654036,-2168.6155,-1898.6235964,-4067.2390964
62,388.5028,1061.7442,770.5219,0.0,0.0,0.0,-866.4127,-9314.1323,477.41,5362.5513,-1939.429,60.821258400000005,-2119.814799999999,-1878.6077416,-3998.4225415999995
63,416.1891,1004.4406,750.3976,0.0,0.0,0.0,-912.532,-9299.162,465.5391,5371.3021,-1921.8,63.236357999999996,-2203.825500000001,-1858.563642,-4062.389142000001
64,384.1572,1006.5818,752.8479,0.0,0.0,0.0,-927.3606,-9260.7862,460.5075,5347.2468,-1922.0672,63.22175136,-2236.8056000000006,-1858.8454486399999,-4095.651048640001
65,353.3327,1025.1956,776.3112,0.0,0.0,0.0,-931.7888,-9280.5591,473.8148,5353.1176,-1932.5775,63.9667836,-2230.576000000001,-1868.6107164,-4099.186716400001
66,372.6258,1033.8386,769.8233,0.0,0.0,0.0,-925.2563,-9321.7961,458.3845,5336.8125,-1890.2599,62.839587599999994,-2275.5676999999996,-1827.4203124,-4102.988012399999
67,394.4667,995.4,738.5771,0.0,0.0,0.0,-917.2299,-9394.9451,457.0072,5320.3979,-1777.7828,61.8875928,-2406.326100000001,-1715.8952072,-4122.221307200001
68,392.327,1003.8125,754.1118,0.0,0.0,0.0,-920.0836,-9452.7316,465.6194,5343.4869,-1734.6997,60.394958640000006,-2413.4575999999997,-1674.30474136,-4087.76234136
69,383.2584,1003.0155,755.8765,0.0,0.0,0.0,-908.9982,-9467.3723,461.4907,5341.2077,-1782.3154,63.08918927999999,-2431.5217000000002,-1719.22621072,-4150.747910720001
70,383.6748,1017.3322,764.4724,0.0,0.0,0.0,-940.5707,-9373.399,469.7841,5368.9373,-1804.9725,61.394200559999994,-2309.7689,-1743.5782994400001,-4053.3471994399997
71,387.5066,1068.2812,775.4087,0.0,0.0,0.0,-918.4649,-9469.4107,474.2514,5367.2225,-1768.9023,60.80494392,-2315.2052000000003,-1708.09735608,-4023.30255608
72,394.4503,970.565,761.9411,0.0,0.0,0.0,-962.9095,-9472.0512,454.1325,5389.3831,-1758.6018,61.6957308,-2464.488700000001,-1696.9060691999998,-4161.3947692
73,402.631,1014.8436,762.0896,0.0,0.0,0.0,-903.4995,-9461.2887,473.0442,5369.9718,-1807.3928,62.93061792,-2342.2079999999987,-1744.46218208,-4086.6701820799985
74,374.0741,1044.039,770.6654,0.0,0.0,0.0,-942.8665,-9506.009,486.2614,5402.4909,-1767.424,61.34045831999999,-2371.3446999999996,-1706.08354168,-4077.4282416799997
75,371.2538,1027.6402,769.2991,0.0,0.0,0.0,-944.7269,-9417.5053,517.1173,5365.6542,-1813.6872,62.858806560000005,-2311.267600000002,-1750.8283934400001,-4062.095993440002
