Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,408.9022,981.0064,786.19,0.0,0.0,0.0,-811.6642,-10272.9607,461.9725,5378.4856,-1931.5144,1177.4158,-663.1586,-3068.0681999999997,-1417.2572,-4485.3254
1,382.942,986.5786,771.0234,0.0,0.0,0.0,-867.1,-10214.5301,477.7583,5414.0981,-1927.4168,1179.7736,-668.792,-3049.229700000001,-1416.4352,-4465.664900000001
2,388.4992,1014.8112,797.2482,0.0,0.0,0.0,-828.2468,-10322.3508,462.3274,5420.7218,-1915.4131,1181.2525,-674.2861,-3066.9898000000003,-1408.4467,-4475.4365
3,364.8897,1033.2383,792.8564,0.0,0.0,0.0,-814.7307,-10284.7477,478.0828,5347.3656,-1928.0629,1175.7101,-663.6368,-3083.0456000000004,-1415.9895999999999,-4499.0352
4,405.9054,1028.2859,773.463,0.0,0.0,0.0,-793.3345,-10364.7323,470.7339,5388.0892,-1864.4281,1161.5068,-655.9656,-3091.589399999999,-1358.8869,-4450.476299999998
5,395.3517,1050.2797,768.9365,0.0,0.0,0.0,-828.1597,-10191.3282,478.3366,5371.8838,-1980.4531,1175.9227,-664.5017,-2954.6996,-1469.0321,-4423.731699999999
6,364.8751,1029.205,754.5115,0.0,0.0,0.0,-792.3387,-10071.1997,460.0651,5382.6436,-2103.4051,1179.0649,-668.7735,-2872.2380999999996,-1593.1136999999999,-4465.3517999999995
7,365.0948,1014.0454,780.0444,0.0,0.0,0.0,-785.8135,-10334.2298,476.0356,5423.6462,-1919.9151,1160.2357,-649.9692,-3061.1768999999995,-1409.6486,-4470.825499999999
8,393.0655,1075.9092,782.1231,0.0,0.0,0.0,-802.1288,-10212.7456,469.7062,5364.2293,-1942.9271,1164.1386,-658.9365,-2929.8411000000006,-1437.7250000000001,-4367.5661
9,405.5984,1035.1597,780.027,0.0,0.0,0.0,-857.8271,-10112.0577,460.5291,5381.4785,-1984.309,1178.4223,-659.6077,-2907.092099999999,-1465.4944,-4372.586499999999
