POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,397.6919,1058.8494,1694.997,0.0,0.0,0.0,-1020.5087,-8965.8165,497.7512,5405.3986,-1840.1901,1083.7474,-671.513,-931.6371000000008,-1427.9557,-2359.592800000001
1,388.1995,1054.683,1718.4571,0.0,0.0,0.0,-1019.9136,-8973.1419,501.1169,5423.7136,-1859.5587,1081.7582,-662.5314,-906.8854000000001,-1440.3319000000001,-2347.2173000000003
2,402.613,1066.2079,1729.0545,0.0,0.0,0.0,-1043.4212,-8914.8814,473.5832,5460.9426,-1904.7321,1082.93,-662.9942,-825.9013999999997,-1484.7963,-2310.6976999999997
3,401.8708,1038.1825,1710.7123,0.0,0.0,0.0,-1008.5563,-8915.4031,483.316,5428.2108,-1922.8751,1085.061,-669.0784,-861.6670000000004,-1506.8925,-2368.5595000000008
4,415.8852,1057.762,1730.234,0.0,0.0,0.0,-1018.7664,-8924.1463,483.4551,5404.5858,-1888.6023,1080.9361,-667.8751,-850.990600000001,-1475.5413,-2326.531900000001
5,398.5525,1095.8788,1719.7258,0.0,0.0,0.0,-1001.8335,-8912.5334,486.6691,5395.4462,-1888.3068,1081.5692,-660.9201,-818.0945000000002,-1467.6577000000002,-2285.752200000001
6,411.9653,1047.2093,1700.6483,0.0,0.0,0.0,-1027.8344,-8940.2535,483.4326,5410.6005,-1856.9155,1067.2005,-647.3773,-914.2319000000007,-1437.0923000000003,-2351.324200000001
7,399.4082,1096.5844,1721.0658,0.0,0.0,0.0,-1026.9745,-8930.2585,489.802,5383.4159,-1852.1036,1076.745,-656.7165,-866.9567000000006,-1432.0751,-2299.0318000000007
8,369.2657,1099.248,1732.5963,0.0,0.0,0.0,-994.8637,-8991.5521,480.2139,5407.0502,-1828.311,1080.5722,-664.3061,-898.0417000000016,-1412.0448999999999,-2310.0866000000015
9,398.1155,1085.9752,1714.8626,0.0,0.0,0.0,-1007.0478,-8928.9991,491.6973,5396.6702,-1886.5942,1093.7219,-679.58,-848.7261000000017,-1472.4523,-2321.1784000000016
10,377.543,1083.8004,1700.6712,0.0,0.0,0.0,-1016.5193,-8894.8916,476.2874,5425.1707,-1907.6814,1082.5662,-664.5706,-847.9382000000005,-1489.6858,-2337.6240000000007
11,385.1719,1071.7844,1721.2109,0.0,0.0,0.0,-996.4445,-8980.6598,492.8479,5465.0231,-1877.8037,1087.2912,-665.4992,-841.0660999999991,-1456.0117,-2297.077799999999
12,377.3581,1037.8023,1696.6357,0.0,0.0,0.0,-983.4877,-8892.3712,489.2606,5423.277,-1910.7784,1093.4337,-675.7265,-851.5252,-1493.0711999999999,-2344.5964000000004
13,382.8933,1122.3742,1715.1274,0.0,0.0,0.0,-982.4058,-8843.4777,488.7808,5409.3254,-1950.1543,1100.6818,-681.3875,-707.3823999999986,-1530.86,-2238.2423999999987
14,394.3487,1097.2216,1733.6689,0.0,0.0,0.0,-985.7973,-8902.9921,496.1617,5392.7841,-1905.2653,1097.4641,-679.2975,-774.6044000000002,-1487.0987,-2261.7031
15,428.7487,1136.0551,1713.9022,0.0,0.0,0.0,-1001.4704,-8952.9669,495.1576,5384.2625,-1858.1197,1089.3466,-681.572,-796.3111999999992,-1450.3451,-2246.656299999999
16,398.0239,1091.5715,1734.3505,0.0,0.0,0.0,-993.533,-8997.175,476.9577,5444.0038,-1862.8762,1087.8062,-673.7574,-845.8005999999987,-1448.8274,-2294.6279999999983
17,427.027,1087.4875,1711.5258,0.0,0.0,0.0,-992.0756,-9046.1304,495.7273,5405.6103,-1748.7296,1093.1833,-685.5865,-910.8281000000006,-1341.1327999999999,-2251.9609000000005
18,412.681,1047.0415,1734.0753,0.0,0.0,0.0,-989.0626,-8988.0656,488.3423,5421.5789,-1853.0826,1098.8202,-684.4509,-873.4091999999991,-1438.7133,-2312.1224999999986
19,401.3733,1049.6715,1702.0298,0.0,0.0,0.0,-986.3731,-9007.7046,499.8175,5411.4061,-1835.3366,1097.0861,-681.1401,-929.7794999999987,-1419.3906000000002,-2349.170099999999
20,382.6803,1065.245,1700.2951,0.0,0.0,0.0,-995.1131,-9018.4394,486.6941,5351.7134,-1791.45,1085.5382,-673.0488,-1026.9246000000003,-1378.9606,-2405.8852
21,390.5911,1036.0021,1716.2769,0.0,0.0,0.0,-1004.7933,-9040.178,490.468,5376.8457,-1744.8158,1081.659,-662.8694,-1034.7875000000004,-1326.0262,-2360.8137000000006
22,409.604,1099.8419,1718.9729,0.0,0.0,0.0,-1000.3787,-8996.5005,483.0063,5354.3163,-1802.6886,1085.7367,-669.311,-931.1377999999995,-1386.2629000000002,-2317.4006999999997
23,398.3138,1075.8825,1709.8348,0.0,0.0,0.0,-1027.0824,-8978.6335,488.9178,5405.788,-1842.8008,1085.4248,-668.3771,-926.9790000000003,-1425.7531,-2352.7321
24,429.8918,1080.5608,1737.6953,0.0,0.0,0.0,-1019.9381,-8822.811,479.5253,5362.5836,-1949.4208,1089.4411,-679.1476,-752.492299999999,-1539.1273,-2291.619599999999
25,393.6705,1071.9495,1730.9541,0.0,0.0,0.0,-982.7363,-8940.3386,497.0652,5423.9331,-1869.4447,1084.1821,-670.1654,-805.5024999999996,-1455.4279999999999,-2260.9304999999995
26,384.9884,989.9414,1712.5129,0.0,0.0,0.0,-985.9975,-8845.7326,483.1865,5364.1086,-1927.3343,1094.1472,-679.0342,-896.9922999999999,-1512.2213,-2409.2136
27,387.4962,1117.0659,1703.6319,0.0,0.0,0.0,-990.6425,-8972.576,478.2067,5419.5034,-1831.2486,1091.813,-674.8308,-857.3143999999993,-1414.2663999999997,-2271.580799999999
28,378.2394,1039.663,1695.8622,0.0,0.0,0.0,-991.3611,-8914.1942,492.2521,5411.6727,-1895.1634,1101.0787,-681.2966,-887.8658999999998,-1475.3813,-2363.2472
29,403.9081,1102.9395,1738.1918,0.0,0.0,0.0,-987.696,-8914.8981,477.5478,5377.5176,-1873.0794,1097.4216,-679.1301,-802.4893000000002,-1454.7879000000003,-2257.2772000000004
30,403.0007,1101.1847,1733.435,0.0,0.0,0.0,-1012.0183,-8858.0852,483.3954,5414.2009,-1961.666,1085.9776,-674.8505,-734.8867999999993,-1550.5389,-2285.4257
31,372.2685,1059.2042,1731.5833,0.0,0.0,0.0,-999.4758,-8916.3328,482.7255,5433.0376,-1940.497,1094.8795,-680.6588,-836.9895000000015,-1526.2763,-2363.265800000002
32,391.0514,1046.2511,1709.8359,0.0,0.0,0.0,-1014.011,-9009.2474,467.9727,5403.621,-1786.9039,1077.3829,-665.9986,-1004.5263000000004,-1375.5196,-2380.0459000000005
33,398.0062,1066.0392,1697.7696,0.0,0.0,0.0,-1018.1155,-9057.0571,483.747,5395.4112,-1742.3797,1072.4736,-664.0322,-1034.1993999999995,-1333.9382999999998,-2368.1376999999993
34,393.925,1043.4581,1668.3957,0.0,0.0,0.0,-1019.6665,-9031.3708,489.568,5438.6686,-1775.0372,1085.2594,-667.9241,-1017.0219000000006,-1357.7019,-2374.7238000000007
35,390.3057,1074.0699,1721.1976,0.0,0.0,0.0,-1015.926,-9021.944,501.0681,5434.8646,-1784.1757,1080.9502,-665.6927,-916.3640999999998,-1368.9182,-2285.2822999999994
36,410.0897,1057.1097,1715.7469,0.0,0.0,0.0,-1021.0687,-9040.864,492.8103,5427.5509,-1774.45,1075.8472,-662.3542,-958.6251999999995,-1360.957,-2319.5821999999994
37,431.5054,1056.5522,1741.6014,0.0,0.0,0.0,-1004.5475,-9033.7988,488.5334,5428.4231,-1777.8837,1082.5851,-668.6861,-891.7308000000003,-1363.9847,-2255.7155000000007
38,382.8554,1062.6993,1730.9915,0.0,0.0,0.0,-1009.7979,-9134.9488,501.661,5470.68,-1736.2538,1081.8149,-669.3962,-995.8595000000005,-1323.8350999999998,-2319.6946000000003
39,395.4764,1102.565,1734.3281,0.0,0.0,0.0,-1007.4529,-8982.2179,481.4862,5399.8235,-1812.5112,1089.4741,-671.3451,-875.9915999999994,-1394.3822,-2270.3737999999994
40,412.7561,1106.816,1691.9521,0.0,0.0,0.0,-1017.558,-9025.167,500.6666,5382.5348,-1759.523,1081.2668,-665.6014,-947.9993999999997,-1343.8575999999998,-2291.857
41,397.2326,1068.6672,1717.4462,0.0,0.0,0.0,-1018.558,-8962.3976,497.1125,5409.8517,-1810.6931,1086.5872,-677.0835,-890.6453999999994,-1401.1894,-2291.8347999999996
42,370.8271,1076.1884,1715.5518,0.0,0.0,0.0,-1004.6076,-8987.065,493.9596,5388.8369,-1805.7849,1090.7357,-679.4993,-946.3088000000007,-1394.5485,-2340.8573000000006
43,419.6508,1082.9322,1695.6315,0.0,0.0,0.0,-1007.5548,-8975.3588,498.8951,5363.8189,-1816.4473,1085.3823,-669.1609,-921.9850999999999,-1400.2259,-2322.211
44,393.2684,1074.4443,1710.2039,0.0,0.0,0.0,-995.8888,-9022.804,500.8036,5418.2571,-1798.2268,1082.8402,-670.7741,-921.7155000000002,-1386.1607,-2307.8762
45,393.5922,1098.4945,1675.8427,0.0,0.0,0.0,-1010.2447,-9092.148,481.5866,5423.8116,-1731.807,1078.7673,-662.1517,-1029.0650999999998,-1315.1914000000002,-2344.2564999999995
46,399.215,1072.1917,1700.0217,0.0,0.0,0.0,-1016.9966,-8908.3094,485.1747,5370.2694,-1821.8423,1086.384,-666.7992,-898.4335000000001,-1402.2575000000002,-2300.6910000000003
47,387.0147,1075.9064,1719.8537,0.0,0.0,0.0,-998.2228,-9060.146,494.6546,5448.2608,-1789.5067,1093.1077,-672.845,-932.6786000000011,-1369.244,-2301.922600000001
48,430.3577,1069.769,1737.516,0.0,0.0,0.0,-992.4882,-9015.836,475.8959,5408.7045,-1842.43,1090.6223,-678.366,-886.0810999999994,-1430.1737,-2316.2547999999997
49,408.241,1070.4049,1721.8609,0.0,0.0,0.0,-1011.7317,-9027.4608,496.0709,5434.5153,-1799.3339,1082.2969,-663.7044,-908.0995000000012,-1380.7413999999999,-2288.840900000001
50,401.1143,1056.5779,1722.9233,0.0,0.0,0.0,-1003.5914,-9110.3073,491.9391,5436.8717,-1764.584,1078.7909,-661.8234,-1004.4724000000015,-1347.6165,-2352.0889000000016
51,395.6914,1087.7599,1734.3924,0.0,0.0,0.0,-1024.8483,-9107.7605,498.3733,5445.2962,-1762.8459,1066.4067,-655.2196,-971.0956000000006,-1351.6588000000002,-2322.7544000000007
