,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,DELTA G gas,DELTA G solv,DELTA TOTAL
10,1.2434497875801752e-14,0.00010000000009924292,0.00010000000000331967,0.0,0.0,0.0,-29.004900000000013,-56.71419999999915,-1.9539925233402755e-14,9.99999995201506e-05,81.88439999999993,-7.2501933600000035,-85.71879999999865,74.63420664000049,-11.084593359999078
11,1.4210854715202004e-14,-0.0001000000000423995,-1.77635683940025e-14,0.0,0.0,0.0,-32.97669999999991,-36.2354999999996,-2.8421709430404014e-14,-3.410605131648481e-13,62.465899999999436,-6.505716960000003,-69.21230000000074,55.96018303999976,-13.2521169600019
12,9.999999998733243e-05,2.131628207280301e-14,6.039613253960853e-14,0.0,0.0,0.0,-39.7025,-17.03370000000099,7.105427357601002e-15,-1.1368683772161605e-13,50.717999999999854,-6.6187303199999965,-56.73610000000173,44.099269680000255,-12.636830320001453
13,3.641531520770514e-14,-9.999999995358166e-05,-1.7408297026122455e-13,0.0,0.0,0.0,-38.86060000000001,-37.325699999998974,7.105427357601002e-15,2.842170943040401e-13,58.50029999999954,-7.149887999999998,-76.18639999999925,51.35041199999904,-24.835987999998395
14,1.0658141036401504e-14,9.999999992515995e-05,7.460698725481053e-14,0.0,0.0,0.0,-36.48810000000006,-36.078399999999775,-3.552713678800501e-15,0.0,62.61120000000035,-6.965359919999997,-72.56639999999942,55.64584008000075,-16.920559919997768
15,1.0658141036401504e-14,2.131628207280301e-14,-1.0658141036401504e-14,0.0,0.0,0.0,-29.61139999999999,-40.05710000000072,-1.0658141036401504e-14,-2.273736754432321e-13,58.78239999999978,-6.780157920000002,-69.66850000000159,52.00224208000037,-17.666257920003034
16,1.0658141036401504e-14,1.0658141036401504e-14,9.947598300641404e-14,0.0,0.0,0.0,-33.83950000000005,-40.62720000000003,-1.4210854715202004e-14,5.684341886080803e-14,67.7568000000001,-6.983993520000002,-74.46670000000024,60.77280648000041,-13.693893520000728
17,1.5987211554602254e-14,-2.8421709430404014e-14,-4.973799150320702e-14,0.0,0.0,0.0,-33.317800000000055,-44.06619999999961,0.0,-8.526512829121202e-13,60.74710000000046,-6.469403039999988,-77.38399999999814,54.2776969600003,-23.10630303999969
18,1.77635683940025e-14,4.973799150320702e-14,-4.618527782440651e-14,0.0,0.0,0.0,-35.460599999999964,-42.51950000000086,4.973799150320702e-14,-3.9790393202565615e-13,63.609000000000975,-6.855190559999998,-77.98010000000127,56.753809440000715,-21.226290560001477
19,2.3092638912203256e-14,3.5527136788005016e-14,-8.526512829121202e-14,0.0,0.0,0.0,-37.83650000000001,-41.66289999999936,-1.0658141036401504e-14,5.6843418860808e-13,67.38440000000017,-6.977317679999998,-79.49939999999769,60.40708232000072,-19.09231767999697
20,1.7763568394002505e-15,-5.684341886080803e-14,-7.460698725481053e-14,0.0,0.0,0.0,-37.043200000000056,-34.00899999999963,1.0658141036401504e-14,2.273736754432321e-13,60.16479999999972,-7.188994800000002,-71.05219999999906,52.975805199999705,-18.07639479999844
21,2.486899575160351e-14,1.1368683772161605e-13,-1.7053025658242404e-13,0.0,0.0,0.0,-29.815599999999982,-39.84179999999861,0.00010000000002463594,5.6843418860808e-13,57.56750000000035,-6.686902080000002,-69.65729999999837,50.880597920000504,-18.776702080000575
22,4.618527782440651e-14,-1.4921397450962106e-13,-1.172395514004165e-13,0.0,0.0,0.0,-34.87929999999989,-53.08239999999995,-3.1974423109204515e-14,0.0,78.12080000000034,-7.327597680000001,-87.96170000000096,70.79320232000049,-17.16849767999861
