GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
28,385.7747,1033.2309,784.3514,0.0,0.0,0.0,-1005.5768,-9050.6473,470.5401,5472.7153,-1748.1602,53.56424232,-1909.6117000000004,-1694.59595768,-3604.2076576800005
29,381.4944,1020.3689,773.8502,0.0,0.0,0.0,-1031.3252,-8843.4482,471.9486,5427.0757,-1819.9397,53.33992632,-1800.035600000001,-1766.59977368,-3566.635373680001
30,426.7903,1064.266,790.4583,0.0,0.0,0.0,-1028.1487,-8861.4098,472.2042,5446.3623,-1872.4233,52.779236399999995,-1689.4773999999989,-1819.6440636,-3509.1214635999986
31,399.3184,1089.365,798.4594,0.0,0.0,0.0,-1014.5571,-9021.301,488.8766,5436.0985,-1725.6316,54.15185376,-1823.7402000000002,-1671.47974624,-3495.21994624
32,401.7722,1091.726,787.3179,0.0,0.0,0.0,-1013.9021,-8948.0879,467.8845,5432.5165,-1799.4113,52.11028944,-1780.7729000000008,-1747.30101056,-3528.0739105600005
33,403.2903,1047.9003,789.7072,0.0,0.0,0.0,-1007.6744,-8997.4391,486.4984,5433.5157,-1716.9492,53.0418312,-1844.2015999999994,-1663.9073688,-3508.1089687999993
34,385.8665,1044.7646,786.0405,0.0,0.0,0.0,-997.2955,-8989.5175,470.6036,5420.6073,-1743.9394,53.20541016,-1878.9304999999995,-1690.73398984,-3569.6644898399995
35,406.2375,1039.2762,803.0927,0.0,0.0,0.0,-1000.8078,-8930.5378,491.9416,5412.1118,-1802.8995,55.6439796,-1778.6858000000002,-1747.2555204,-3525.9413204
36,384.4553,1076.4413,782.5976,0.0,0.0,0.0,-1002.729,-8952.6103,486.5877,5462.4511,-1808.7431,56.60532288,-1762.8063000000002,-1752.13777712,-3514.9440771199997
37,362.4694,1037.7771,789.3192,0.0,0.0,0.0,-994.819,-9000.4537,479.2413,5479.7978,-1775.4206,54.69110136,-1846.6679000000004,-1720.72949864,-3567.39739864
38,404.4644,1070.3574,773.8816,0.0,0.0,0.0,-984.1644,-9052.9459,476.5399,5459.1497,-1717.85,54.60649272,-1852.7173000000003,-1663.24350728,-3515.96080728
39,383.483,1073.2337,760.0263,0.0,0.0,0.0,-991.7634,-9084.0068,463.7243,5431.161,-1685.3316,53.6020776,-1964.1418999999996,-1631.7295224,-3595.8714223999996
40,404.0035,1018.4239,790.7833,0.0,0.0,0.0,-1012.3309,-9018.1998,465.8068,5442.2438,-1718.7991,52.23723696,-1909.2693999999992,-1666.56186304,-3575.8312630399996
41,392.0549,1048.1979,771.1959,0.0,0.0,0.0,-1001.72,-9072.869,467.6587,5441.8074,-1689.5321,53.6822388,-1953.6742000000013,-1635.8498611999999,-3589.524061200001
42,388.2877,1039.1672,808.5965,0.0,0.0,0.0,-998.929,-9040.3083,465.954,5426.1531,-1737.9426,52.574813279999994,-1911.0788000000002,-1685.3677867200001,-3596.4465867200006
43,419.9029,1086.8287,796.3445,0.0,0.0,0.0,-1025.1026,-8944.6291,473.201,5408.9898,-1749.2076,52.77923712,-1784.4647999999997,-1696.42836288,-3480.8931628799996
44,412.2816,1022.6976,790.6873,0.0,0.0,0.0,-1006.6564,-8969.6311,477.9388,5427.2062,-1763.9146,53.080536959999996,-1845.4760000000006,-1710.83406304,-3556.310063040001
45,414.5708,1057.3518,799.185,0.0,0.0,0.0,-1006.7465,-9085.6308,480.6549,5454.3883,-1679.4508,53.8147116,-1886.2265000000016,-1625.6360884,-3511.8625884000016
46,399.1651,1082.3787,786.5296,0.0,0.0,0.0,-1004.355,-9006.855,456.169,5432.5461,-1733.1853,55.16276616,-1854.4215000000004,-1678.02253384,-3532.4440338400004
47,387.0013,1059.7946,796.1347,0.0,0.0,0.0,-1015.9408,-8966.2284,483.79,5420.46,-1738.0757,52.858734479999995,-1834.9885999999997,-1685.21696552,-3520.20556552
48,383.9313,1025.1295,816.4564,0.0,0.0,0.0,-1018.1793,-9023.0262,477.8314,5451.4725,-1724.8454,54.15526944,-1886.3844,-1670.69013056,-3557.07453056
49,393.9442,1012.3637,795.8092,0.0,0.0,0.0,-989.9396,-9086.6176,480.9101,5438.4477,-1652.2338,51.995831759999994,-1955.0823,-1600.2379682399999,-3555.32026824
50,399.7579,1077.8659,780.9116,0.0,0.0,0.0,-1009.8724,-8993.7561,476.9407,5419.6304,-1749.1452,52.88464224,-1848.522,-1696.26055776,-3544.7825577599997
51,382.079,1037.1532,776.8399,0.0,0.0,0.0,-1021.7512,-8884.1021,491.7152,5404.4725,-1795.0449,54.07215768,-1813.5935000000009,-1740.9727423200002,-3554.5662423200006
52,400.3051,1065.1105,798.3543,0.0,0.0,0.0,-1000.9047,-9037.984,462.3673,5414.332,-1675.1138,55.223345519999995,-1898.4195,-1619.89045448,-3518.30995448
53,416.9547,1024.4841,782.4193,0.0,0.0,0.0,-1013.5121,-8982.8909,470.6153,5394.8246,-1713.8267,52.63891992,-1907.1050000000005,-1661.18778008,-3568.2927800800007
54,383.2707,1052.5652,765.7927,0.0,0.0,0.0,-1002.689,-9052.4332,477.5913,5405.6668,-1656.456,52.71313104,-1970.2354999999998,-1603.74286896,-3573.97836896
55,366.6187,1061.3462,785.5312,0.0,0.0,0.0,-992.451,-9248.0901,477.707,5487.5786,-1561.2688,53.77446576,-2061.7594,-1507.4943342400002,-3569.2537342399996
56,405.8146,1082.7437,761.1384,0.0,0.0,0.0,-980.3058,-9089.9643,476.4502,5450.3442,-1675.9553,52.46713296,-1893.7789999999995,-1623.48816704,-3517.2671670399995
