Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,DELTA G gas,DELTA G solv,DELTA TOTAL
17,-0.00010000000001353371,6.217248937900877e-14,-1.2434497875801753e-14,0.0,0.0,0.0,-25.772800000000046,-20.862799999999424,1.2434497875801753e-14,-3.694822225952521e-13,31.299700000000122,-20.8966000000001,32.47519999999999,-46.63569999999974,42.878299999999896,-3.757399999999379
18,-3.952393967665557e-14,0.000100000000079703,-1.5631940186722204e-13,0.0,0.0,0.0,-26.267800000000022,-12.375599999999988,0.00010000000003618226,-9.947598300641403e-14,21.0179999999998,-20.896500000000024,29.256199999999946,-38.64320000000036,29.377699999999724,-9.265500000000642
19,-1.4210854715202004e-14,-5.861977570020827e-14,0.00010000000002285958,0.0,0.0,0.0,-26.089699999999976,-10.868800000000753,-1.4210854715202004e-14,0.0,21.14270000000011,-19.63019999999998,30.41050000000006,-36.958400000000225,31.923000000000073,-5.035399999999697
20,-8.881784197001252e-16,-2.398081733190338e-14,2.007283228522283e-13,0.0,0.0,0.0,-24.92039999999997,-15.069500000000112,5.329070518200751e-15,-5.115907697472721e-13,24.813799999999993,-20.62239999999983,30.278500000000015,-39.98990000000149,34.46990000000007,-5.520000000001424
21,-0.00010000000000509601,7.37188088351104e-14,-0.00010000000003884679,0.0,0.0,0.0,-26.467000000000084,-22.793399999998663,-9.999999999354969e-05,-1.4210854715202004e-13,28.815500000000164,-20.84930000000002,31.642500000000013,-49.260699999998735,39.60870000000004,-9.651999999998253
22,-4.085620730620576e-14,-0.00010000000003174137,5.062616992290714e-14,0.0,0.0,0.0,-21.357899999999972,-21.61529999999867,-7.993605777301127e-15,-9.947598300641403e-14,32.523299999999935,-20.367300000000085,30.460899999999956,-42.97329999999991,42.61690000000003,-0.3563999999998799
23,9.999999997134523e-05,0.00010000000002818865,-5.861977570020827e-14,0.0,0.0,0.0,-19.81899999999996,-17.272700000000214,9.999999999088516e-05,-0.0001000000003017476,28.087899999999998,-20.60359999999997,29.745599999999982,-37.09150000000094,37.229899999999894,0.1383999999989527
24,-2.353672812205332e-14,-3.552713678800501e-14,1.4477308241112041e-13,0.0,0.0,0.0,-20.95500000000003,-27.575200000000606,3.375077994860476e-14,1.7053025658242404e-13,32.253299999999875,-19.016000000000133,29.482099999999996,-48.53020000000126,42.719399999999624,-5.810800000001635
25,1.6431300764452317e-14,7.904787935331115e-14,2.3092638912203256e-14,0.0,0.0,0.0,-24.627100000000084,-20.248999999998492,2.6645352591003757e-14,0.00010000000054333213,32.18339999999991,-19.077400000000065,31.068,-44.875999999998115,44.17399999999996,-0.701999999998165
26,0.0001000000000015433,1.0125233984581428e-13,2.2293278334473143e-13,0.0,0.0,0.0,-23.687600000000096,-22.442099999999716,0.0001000000000139778,6.110667527536862e-13,28.577900000000096,-19.819200000000027,29.191699999999997,-46.12949999999897,37.950400000000066,-8.179099999999352
27,-0.00010000000002818865,0.000100000000054834,1.9539925233402755e-14,0.0,0.0,0.0,-23.849300000000017,-22.90200000000155,7.105427357601002e-15,-5.684341886080802e-14,31.280199999999795,-20.981600000000117,30.32280000000009,-46.75130000000157,40.62139999999988,-6.129900000001697
28,-1.8207657603852567e-14,9.999999999799059e-05,0.00010000000009657839,0.0,0.0,0.0,-23.87479999999997,-24.8073999999994,-3.552713678800501e-15,1.7053025658242404e-13,35.34359999999991,-20.570499999999942,30.538699999999942,-48.68199999999855,45.31180000000013,-3.3701999999984196
29,0.0,-9.999999999177334e-05,1.7053025658242404e-13,0.0,0.0,0.0,-25.556099999999947,-23.38419999999875,-5.329070518200751e-15,-7.105427357601002e-14,31.589300000000193,-19.970500000000126,31.27350000000007,-48.94039999999871,42.89230000000025,-6.0480999999991525
30,-2.1316282072803006e-14,1.865174681370263e-14,-3.552713678800501e-14,0.0,0.0,0.0,-21.762999999999955,-18.74439999999994,-7.105427357601002e-15,-9.999999969068085e-05,34.60120000000007,-19.549900000000008,30.35099999999997,-40.507499999999006,45.402300000000146,4.894800000000686
31,-0.00010000000001575415,1.9539925233402755e-14,1.3677947663381929e-13,0.0,0.0,0.0,-19.60310000000004,-18.891800000000877,2.4868995751603507e-14,1.5631940186722204e-13,27.846799999999945,-20.159299999999995,29.953600000000037,-38.495000000001056,37.6411000000001,-0.8539000000011825
32,-2.220446049250313e-14,-2.042810365310288e-13,-2.0961010704922955e-13,0.0,0.0,0.0,-24.255600000000065,-18.502299999998574,-1.7763568394002505e-15,0.00010000000008858478,29.426500000000118,-19.753099999999904,29.730599999999892,-42.7577999999987,39.40400000000011,-3.3537999999986
33,1.865174681370263e-14,7.016609515630989e-14,9.999999992515995e-05,0.0,0.0,0.0,-20.491100000000042,-27.00130000000057,-7.105427357601002e-15,3.268496584496461e-13,27.820099999999996,-18.628400000000003,29.287399999999995,-47.49230000000113,38.47909999999999,-9.013200000000921
34,-6.217248937900877e-15,3.375077994860476e-14,-7.993605777301127e-14,0.0,0.0,0.0,-20.236200000000046,-27.781399999998655,-2.7533531010703882e-14,6.679101716144942e-13,33.143800000000205,-20.13569999999993,29.530999999999967,-48.017599999998566,42.53910000000036,-5.478499999997979
35,0.00010000000001220144,-5.5067062021407764e-14,-5.1514348342607263e-14,0.0,0.0,0.0,-19.012700000000006,-26.005100000000514,9.99999999811152e-05,-1.8474111129762605e-13,27.439900000000065,-19.351399999999884,29.211399999999937,-45.017600000000364,37.299900000000235,-7.717699999999908
36,-4.440892098500626e-16,-9.769962616701378e-14,0.00010000000011345378,0.0,0.0,0.0,-22.761400000000037,-29.927099999999246,1.0658141036401503e-14,-4.263256414560601e-13,38.504999999999924,-20.301099999999973,29.50529999999997,-52.68839999999918,47.709199999999925,-4.979199999999707
37,-6.217248937900877e-15,3.8191672047105385e-14,6.750155989720952e-14,0.0,0.0,0.0,-19.476099999999956,-25.1801000000005,1.4210854715202004e-14,-9.999999942067461e-05,31.551000000000023,-20.310600000000004,30.385599999999922,-44.6562999999997,41.62599999999994,-3.03030000000021
38,1.687538997430238e-14,1.6342482922482304e-13,-2.3092638912203256e-14,0.0,0.0,0.0,-22.43990000000004,-14.067499999998798,9.999999999354969e-05,-0.00010000000020227162,27.20199999999992,-18.954499999999964,31.505599999999983,-36.50739999999867,39.75309999999994,3.245700000001733
39,-9.999999997312159e-05,0.00010000000003529408,-1.127986593019159e-13,0.0,0.0,0.0,-21.898199999999903,-17.78350000000063,3.552713678800501e-15,-9.999999966225914e-05,29.039299999999933,-20.343700000000048,29.11210000000007,-39.68179999999978,37.80770000000007,-1.8740999999992596
40,-8.881784197001252e-15,-0.00010000000004772858,0.0001000000001454282,0.0,0.0,0.0,-21.417199999999966,-24.336199999999053,3.4638958368304884e-14,6.679101716144942e-13,31.53920000000008,-20.419200000000007,29.493200000000076,-45.75339999999714,40.61320000000015,-5.1401999999969945
41,-4.884981308350689e-15,5.1514348342607263e-14,-0.00010000000001930687,0.0,0.0,0.0,-20.930400000000002,-23.577400000000186,-2.6645352591003757e-14,-2.5579538487363607e-13,31.325499999999884,-20.083799999999897,30.051000000000016,-44.50790000000096,41.29270000000012,-3.2152000000008485
42,3.019806626980426e-14,3.2862601528904634e-14,8.970602038971265e-14,0.0,0.0,0.0,-19.828400000000016,-26.668299999999356,-7.993605777301127e-15,7.105427357601002e-14,31.796200000000006,-18.85520000000011,29.997400000000024,-46.49669999999972,42.93839999999992,-3.5582999999998037
43,-2.842170943040401e-14,-9.999999986831654e-05,-1.4921397450962104e-13,0.0,0.0,0.0,-22.688699999999958,-25.554700000000032,-5.329070518200751e-15,3.979039320256561e-13,37.62180000000006,-20.56570000000016,30.823100000000014,-48.24349999999993,47.879200000000026,-0.3642999999999148
44,-9.999999999266151e-05,-4.529709940470639e-14,6.750155989720952e-14,0.0,0.0,0.0,-21.405699999999968,-28.830500000000328,1.3322676295501878e-14,4.547473508864641e-13,32.90390000000003,-20.24440000000002,30.0387000000001,-50.23629999999952,42.69819999999999,-7.538099999999531
45,-0.00010000000004062315,-7.016609515630989e-14,1.2789769243681803e-13,0.0,0.0,0.0,-21.573499999999964,-19.90319999999994,-3.730349362740526e-14,-1.1368683772161603e-13,31.82200000000001,-20.52790000000001,30.358500000000035,-41.47680000000027,41.65259999999992,0.17579999999965423
46,7.993605777301127e-15,7.283063041541027e-14,1.687538997430238e-13,0.0,0.0,0.0,-23.42019999999998,-21.843699999999107,3.552713678800501e-15,-3.126388037344441e-13,28.15620000000006,-19.70110000000003,30.963799999999935,-45.26389999999983,39.418899999999965,-5.844999999999857
47,9.999999996601616e-05,-9.999999999177334e-05,-1.6697754290362354e-13,0.0,0.0,0.0,-23.887999999999934,-19.131299999999698,1.7763568394002505e-15,1.5631940186722204e-13,30.281300000000023,-20.211299999999905,30.327799999999918,-43.019300000000634,40.39779999999992,-2.6215000000004807
48,2.7533531010703882e-14,2.886579864025407e-14,0.0,0.0,0.0,0.0,-23.811699999999956,-28.46939999999949,1.9539925233402755e-14,7.247535904753022e-13,33.47889999999984,-20.29639999999993,30.25340000000004,-52.281099999998474,43.43589999999995,-8.845199999998528
49,-4.085620730620576e-14,2.6645352591003757e-14,9.999999987542196e-05,0.0,0.0,0.0,-23.621399999999944,-24.362700000000856,-2.220446049250313e-14,3.268496584496461e-13,28.93690000000016,-19.200200000000002,29.014000000000078,-47.98400000000052,38.75070000000012,-9.233299999999943
50,-4.884981308350689e-15,-0.00010000000002463594,-1.4832579608992091e-13,0.0,0.0,0.0,-24.239600000000078,-25.948600000000333,2.7533531010703882e-14,2.7000623958883807e-13,28.431299999999936,-19.422399999999925,29.71170000000003,-50.1883000000012,38.720599999999926,-11.467700000001258
51,-2.7533531010703882e-14,9.99999999642398e-05,2.6645352591003757e-14,0.0,0.0,0.0,-24.897500000000008,-20.926899999999826,1.2434497875801753e-14,-1.1368683772161603e-13,26.714199999999863,-19.176599999999986,29.809500000000043,-45.824300000000655,37.34710000000015,-8.477200000000508
52,7.105427357601002e-15,0.0,0.00010000000007259757,0.0,0.0,0.0,-22.944300000000023,-23.408899999999626,9.999999996157527e-05,-2.5579538487363607e-13,29.795000000000076,-20.32470000000007,31.022799999999954,-46.352999999998666,40.493099999999956,-5.859899999999158
53,2.6645352591003757e-15,0.00010000000010634835,5.240252676230739e-14,0.0,0.0,0.0,-23.560200000000034,-18.741399999999466,1.7763568394002505e-15,-4.263256414560601e-14,30.56110000000006,-20.603499999999993,30.165599999999994,-42.301499999999436,40.12319999999995,-2.1782999999994814
54,1.0658141036401503e-14,1.4210854715202004e-14,-2.4868995751603507e-14,0.0,0.0,0.0,-24.381100000000064,-23.225200000000928,1.1546319456101628e-14,6.394884621840902e-13,35.576699999999995,-20.54689999999999,29.982900000000047,-47.60630000000079,45.01269999999994,-2.5936000000010893
55,-0.00010000000001708642,-9.999999999976694e-05,1.5187850976872141e-13,0.0,0.0,0.0,-20.136199999999995,-19.642999999999155,-0.00010000000001486598,-6.252776074688882e-13,28.733999999999966,-18.68520000000001,29.70349999999999,-39.77949999999903,39.752299999999835,-0.027199999999197644
56,8.881784197001252e-16,-4.263256414560601e-14,7.993605777301127e-15,0.0,0.0,0.0,-21.8392000000001,-20.26000000000108,3.8191672047105385e-14,-2.7000623958883807e-13,32.33410000000006,-19.96569999999989,31.04959999999999,-42.09920000000299,43.418000000000276,1.3187999999970685
57,-3.419486915845482e-14,4.263256414560601e-14,-2.842170943040401e-14,0.0,0.0,0.0,-21.94889999999994,-25.2672999999993,0.00010000000003707044,4.547473508864641e-13,34.96439999999986,-19.861800000000084,28.753300000000014,-47.21609999999894,43.85589999999979,-3.3601999999998355
58,-9.103828801926284e-15,-9.99999999482526e-05,-6.394884621840902e-14,0.0,0.0,0.0,-21.941200000000027,-22.37359999999867,-4.440892098500626e-14,-1.9895196601282805e-13,34.02320000000003,-20.343600000000023,30.122200000000007,-44.31489999999953,43.8017999999999,-0.513099999999632
59,2.6201263381153694e-14,7.993605777301127e-15,1.3944401189291966e-13,0.0,0.0,0.0,-21.05020000000002,-14.7751000000004,4.440892098500626e-15,1.4210854715202004e-14,26.972500000000174,-21.12799999999991,29.152600000000053,-35.82530000000017,34.99710000000043,-0.8281999999997538
60,-1.687538997430238e-14,-0.00010000000007615029,8.704148513061227e-14,0.0,0.0,0.0,-23.794100000000025,-22.405399999999627,1.0658141036401503e-14,9.947598300641403e-14,33.12660000000009,-19.554600000000192,30.6259,-46.19960000000057,44.197899999999784,-2.0017000000010228
61,4.04121180963557e-14,1.4210854715202004e-14,-9.237055564881302e-14,0.0,0.0,0.0,-22.191900000000018,-19.662899999999254,-7.105427357601002e-15,-9.947598300641403e-14,35.04570000000015,-20.277599999999968,30.87449999999997,-41.85480000000004,45.64260000000016,3.787800000000118
62,2.6645352591003757e-15,3.552713678800501e-15,3.197442310920451e-14,0.0,0.0,0.0,-26.36699999999997,-18.09380000000047,0.00010000000003262954,2.842170943040401e-14,28.39410000000013,-20.698100000000004,30.590700000000027,-44.460699999999825,38.28670000000038,-6.1739999999999
63,-1.509903313490213e-14,0.00010000000016319177,-2.6645352591003757e-14,0.0,0.0,0.0,-21.688300000000076,-28.27679999999881,-2.842170943040401e-14,-9.999999961962658e-05,37.33559999999988,-20.78310000000004,30.26369999999998,-49.96509999999694,46.81619999999982,-3.14889999999712
64,2.398081733190338e-14,-0.00010000000003262954,3.197442310920451e-14,0.0,0.0,0.0,-25.992800000000095,-20.896000000000377,4.440892098500626e-14,-3.126388037344441e-13,30.464099999999966,-20.34839999999991,29.727899999999945,-46.88890000000026,39.843600000000116,-7.045300000000367
65,2.042810365310288e-14,-2.842170943040401e-14,3.2862601528904634e-14,0.0,0.0,0.0,-26.357800000000005,-16.737200000000357,-5.329070518200751e-15,9.947598300641403e-14,28.250700000000066,-19.256900000000023,32.23429999999996,-43.09500000000024,41.2280999999999,-1.8669000000001148
66,0.00010000000001753051,0.00010000000002818865,9.99999998985146e-05,0.0,0.0,0.0,-21.498900000000024,-20.149099999999727,-9.999999998822062e-05,7.105427357601002e-14,26.49830000000003,-19.086800000000032,29.431499999999964,-41.647800000001205,36.84299999999985,-4.804800000000682
67,9.999999998022702e-05,6.217248937900877e-14,6.394884621840902e-14,0.0,0.0,0.0,-18.56090000000009,-19.647899999999446,-2.220446049250313e-14,-0.00010000000010279564,33.94640000000015,-20.490100000000037,29.77009999999996,-38.20879999999955,43.226399999999956,5.017600000001082
68,1.3322676295501878e-14,-1.865174681370263e-14,-9.99999999891088e-05,0.0,0.0,0.0,-22.26179999999998,-20.10859999999918,9.999999999354969e-05,-9.999999988963282e-05,27.300700000000106,-20.13580000000013,28.815400000000057,-42.370499999998366,35.980299999999914,-6.390199999998671
69,7.993605777301127e-15,-9.999999996068709e-05,-6.217248937900877e-15,0.0,0.0,0.0,-25.253800000000023,-19.78730000000143,3.2862601528904634e-14,9.999999979015683e-05,26.673199999999873,-20.551499999999933,31.6815,-45.04110000000199,37.80320000000017,-7.237900000002284
70,-3.863576125695545e-14,-1.4210854715202004e-14,-1.1191048088221578e-13,0.0,0.0,0.0,-26.28620000000009,-22.09900000000014,2.6645352591003757e-14,-9.999999961962658e-05,29.595400000000012,-20.244499999999878,31.224500000000003,-48.385300000000726,40.57539999999991,-7.809900000000354
71,1.9984014443252818e-14,7.105427357601002e-15,3.730349362740526e-14,0.0,0.0,0.0,-23.48689999999998,-32.895099999998955,9.769962616701378e-15,4.121147867408581e-13,42.6128,-19.6774,29.795500000000022,-56.381999999997994,52.73090000000014,-3.651099999998081
72,-5.062616992290714e-14,-4.085620730620576e-14,-0.00010000000017207356,0.0,0.0,0.0,-21.50520000000006,-17.48180000000035,0.00010000000000331966,-0.00010000000037280188,32.75750000000001,-19.71990000000009,30.537499999999987,-38.98709999999923,43.575099999999786,4.588000000000562
73,4.440892098500626e-15,9.592326932761353e-14,-9.999999993937081e-05,0.0,0.0,0.0,-21.442299999999946,-23.089700000000903,-9.999999998289155e-05,9.999999937804205e-05,32.56010000000002,-20.664999999999825,29.538199999999936,-44.532100000001634,41.43330000000002,-3.0988000000018445
74,-9.999999996557207e-05,-9.999999988430375e-05,-1.270095140171179e-13,0.0,0.0,0.0,-23.8173,-26.047399999999893,1.9539925233402755e-14,2.7000623958883807e-13,34.62299999999995,-19.767099999999974,31.550399999999968,-49.86489999999969,46.406299999999824,-3.4585999999996346
75,1.2878587085651816e-14,1.1457501614131615e-13,9.999999995713438e-05,0.0,0.0,0.0,-24.373799999999914,-24.064499999998908,7.105427357601002e-15,8.810729923425242e-13,33.53969999999993,-20.47120000000001,29.758100000000013,-48.43819999999762,42.826599999999935,-5.6115999999976935
