Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
31,362.626,1009.5004,1704.5837,0.0,0.0,0.0,-958.9364,-8917.314,467.7101,5392.6604,-1978.5179,1095.6733,-684.7855,-939.1698000000006,-1567.6301,-2506.7999000000004
32,373.1637,993.8205,1677.7686,0.0,0.0,0.0,-972.6947,-8986.4117,452.5878,5362.9505,-1846.9564,1083.823,-671.1805,-1098.8153000000002,-1434.3139,-2533.1292000000003
33,388.5711,1010.844,1666.164,0.0,0.0,0.0,-978.2687,-9035.5393,468.5369,5356.1905,-1811.8884,1080.1564,-673.1052,-1123.5015000000003,-1404.8372,-2528.3387000000002
34,383.4641,993.3842,1640.8745,0.0,0.0,0.0,-981.9432,-8990.4056,475.0711,5398.2534,-1842.3898,1089.408,-671.7444,-1081.3015000000005,-1424.7262,-2506.0277000000006
35,380.1688,1029.3787,1694.2086,0.0,0.0,0.0,-975.6832,-9006.7761,484.0598,5391.9151,-1833.7622,1086.9888,-672.5596,-1002.7282999999998,-1419.3329999999999,-2422.0613
36,401.9818,1002.7899,1692.3443,0.0,0.0,0.0,-984.1371,-9033.0101,477.1729,5387.3003,-1824.932,1077.9782,-668.351,-1055.558,-1415.3048,-2470.8628
37,417.506,1006.6022,1706.805,0.0,0.0,0.0,-968.3172,-9023.7243,473.1788,5388.6053,-1820.264,1086.8092,-672.6469,-999.3442000000005,-1406.1017,-2405.4459000000006
38,372.9878,1011.3209,1696.6916,0.0,0.0,0.0,-971.1702,-9102.9626,485.4782,5430.789,-1793.9813,1085.5477,-676.668,-1076.8653000000004,-1385.1016,-2461.9669000000004
39,386.3657,1052.343,1706.4335,0.0,0.0,0.0,-972.3931,-8952.9707,464.424,5360.5145,-1870.5971,1093.3392,-673.7434,-955.2830999999996,-1451.0013,-2406.2843999999996
40,403.0122,1054.2033,1661.4314,0.0,0.0,0.0,-981.2347,-9015.9074,484.5565,5342.2105,-1799.0929,1084.4751,-670.4274,-1051.7282000000005,-1385.0452,-2436.7734000000005
41,389.6025,1014.4439,1694.0597,0.0,0.0,0.0,-969.4475,-8967.8225,479.2592,5371.7187,-1858.865,1090.7263,-682.5562,-988.1859999999997,-1450.6949,-2438.880899999999
42,358.8921,1019.3808,1685.7623,0.0,0.0,0.0,-961.6156,-8961.0932,479.9085,5352.3716,-1862.735,1093.0037,-682.5931,-1026.3934999999983,-1452.3244,-2478.717899999998
43,404.1568,1026.8829,1665.0131,0.0,0.0,0.0,-965.0914,-8944.4844,482.5788,5325.4687,-1884.8019,1090.4569,-676.3633,-1005.4754999999986,-1470.7083,-2476.183799999999
44,386.6911,1030.4017,1682.6375,0.0,0.0,0.0,-958.1387,-8964.2507,482.6027,5378.7876,-1887.0906,1090.7924,-675.5652,-961.2688000000007,-1471.8634,-2433.132200000001
45,385.7159,1046.277,1651.4394,0.0,0.0,0.0,-959.4798,-9057.734,466.6844,5386.0779,-1803.7627,1082.8261,-670.0424,-1081.0192000000006,-1390.979,-2471.998200000001
46,390.0156,1025.8223,1670.1634,0.0,0.0,0.0,-978.3216,-8906.3741,470.5076,5343.3108,-1886.8351,1090.2916,-672.4306,-984.8760000000011,-1468.9741,-2453.8501000000015
47,372.3059,1027.9365,1689.0887,0.0,0.0,0.0,-950.5294,-9066.6864,478.4832,5410.0434,-1825.9001,1095.9899,-680.0631,-1039.3581000000013,-1409.9733,-2449.331400000001
48,415.6433,1025.8219,1709.4626,0.0,0.0,0.0,-952.3194,-8999.9215,462.1973,5370.3017,-1898.6475,1094.7992,-684.0108,-968.8141000000005,-1487.8591000000001,-2456.6732000000006
49,397.0489,1019.003,1693.1421,0.0,0.0,0.0,-975.033,-9008.9929,480.2311,5409.3157,-1869.025,1089.6064,-668.8437,-985.2850999999991,-1448.2623000000003,-2433.5473999999995
50,385.2459,1007.1596,1690.9896,0.0,0.0,0.0,-967.4565,-9103.3352,477.8035,5402.5062,-1807.1495,1081.2196,-665.1421,-1107.0869000000002,-1391.0720000000001,-2498.1589000000004
51,382.6446,1039.3939,1706.1379,0.0,0.0,0.0,-985.4693,-9068.5504,482.8992,5404.7649,-1837.2712,1076.3623,-659.956,-1038.1791999999996,-1420.8649,-2459.0440999999996
52,353.3767,988.4891,1719.0604,0.0,0.0,0.0,-969.9135,-9113.3871,474.0674,5395.9753,-1764.7809,1088.3779,-677.5908,-1152.3317000000006,-1353.9938,-2506.3255000000004
53,361.5013,1028.1984,1679.0708,0.0,0.0,0.0,-966.8969,-9034.9673,470.0287,5356.9338,-1800.8134,1090.1593,-673.9575,-1106.1312000000007,-1384.6116,-2490.742800000001
54,391.6661,1010.4357,1673.0138,0.0,0.0,0.0,-956.887,-8991.1554,473.054,5414.3563,-1852.0731,1096.7648,-680.1024,-985.5164999999988,-1435.4107000000001,-2420.927199999999
