,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,398.0413,1050.1585,1728.7075,0.0,0.0,0.0,-1002.5054,-10891.3944,475.9917,5244.3603,-8059.4724,52.92797544,-2996.6404999999995,-8006.544424559998,-11003.18492456
1,409.4153,1009.7857,1695.9508,0.0,0.0,0.0,-975.7345,-10857.9014,495.4206,5330.6544,-8138.9905,54.01823832,-2892.409100000001,-8084.97226168,-10977.38136168
2,393.5993,1079.8541,1714.2244,0.0,0.0,0.0,-981.2422,-10981.7041,474.139,5277.3172,-7994.1473,54.76042872,-3023.8123000000005,-7939.386871279998,-10963.19917128
3,381.4232,1027.621,1717.1341,0.0,0.0,0.0,-975.0539,-10624.1667,474.4963,5246.1623,-8358.7877,56.23451711999999,-2752.3836999999994,-8302.553182880001,-11054.93688288
4,408.6371,1033.3957,1667.3478,0.0,0.0,0.0,-980.3244,-10778.6041,478.7699,5313.8847,-8257.6786,56.71475208,-2856.893300000001,-8200.963847919998,-11057.85714792
5,414.4501,1018.4444,1703.1559,0.0,0.0,0.0,-939.7462,-10688.3775,482.4973,5275.1524,-8333.5931,56.09120616,-2734.4236,-8277.50189384,-11011.92549384
6,386.9959,1013.5239,1691.6028,0.0,0.0,0.0,-967.4231,-10448.4309,484.5607,5304.4292,-8579.9861,57.79098144,-2534.741500000001,-8522.195118560001,-11056.93661856
7,389.4298,1044.7692,1694.0677,0.0,0.0,0.0,-950.6819,-10652.0248,482.6592,5306.7204,-8364.7646,56.36808072,-2685.0603999999985,-8308.39651928,-10993.45691928
8,387.6289,1037.6933,1693.7598,0.0,0.0,0.0,-931.4958,-10431.9199,488.9399,5295.2589,-8553.8481,57.43595808,-2460.134900000001,-8496.41214192,-10956.54704192
9,389.2409,1005.3645,1680.604,0.0,0.0,0.0,-1001.6858,-10560.358,484.87800000000004,5279.6547,-8410.777,54.27230544,-2722.3017,-8356.50469456,-11078.80639456
10,407.7573,1026.4529,1704.2443,0.0,0.0,0.0,-969.5449,-10680.038999999999,485.1007,5286.5888,-8309.1913,55.08973944,-2739.4399000000008,-8254.10156056,-10993.541460560002
11,395.4324,1061.2293,1711.7102,0.0,0.0,0.0,-967.9533,-10626.9159,480.9054,5285.2738,-8350.9441,56.63506536,-2660.3180999999995,-8294.30903464,-10954.62713464
12,370.2387,1063.5044,1688.1764,0.0,0.0,0.0,-979.7166,-10436.4336,495.9495,5278.3349,-8577.4047,56.31558264,-2519.9463000000005,-8521.08911736,-11041.03541736
13,426.5821,1050.1182,1707.6188,0.0,0.0,0.0,-969.0033,-10656.0485,472.8818,5280.3078,-8337.7968,55.49851440000001,-2687.543100000001,-8282.2982856,-10969.8413856
14,388.17900000000003,1044.7111,1682.026,0.0,0.0,0.0,-960.6882,-11025.6599,471.3252,5313.7827,-7982.2303,55.10848896,-3086.324100000001,-7927.12181104,-11013.44591104
15,412.4221,1039.5553,1695.9945,0.0,0.0,0.0,-965.3004,-10726.8029,476.4445,5311.5735,-8280.152,55.80678744,-2756.1134,-8224.34521256,-10980.45861256
16,418.151,1005.1333,1724.7827,0.0,0.0,0.0,-947.8171,-10639.6314,477.9235,5321.1913,-8433.164,56.30165279999999,-2640.266699999999,-8376.8623472,-11017.1290472
17,381.0893,997.4839999999999,1708.1024,0.0,0.0,0.0,-949.2573,-10679.2471,485.2182,5273.7234,-8302.5425,56.81724912,-2782.8871000000013,-8245.72525088,-11028.61235088
18,390.9806,1058.9915,1700.1018,0.0,0.0,0.0,-995.5433,-10933.5115,485.4931,5322.7852,-8116.1717,57.97153944,-2970.7026000000005,-8058.20016056,-11028.90276056
19,433.7437,1069.2609,1732.5353,0.0,0.0,0.0,-972.2895,-10616.5687,470.4267,5303.5905,-8415.0149,55.78055856,-2579.301099999999,-8359.23434144,-10938.53544144
20,407.2745,1016.2582,1712.3882,0.0,0.0,0.0,-963.2728,-10640.1922,486.8977,5320.3079,-8381.3924,55.66128048,-2660.3385,-8325.73111952,-10986.06961952
21,393.5381,976.5918,1691.4288,0.0,0.0,0.0,-968.7205,-10559.8874,480.8648,5342.7418,-8416.7161,55.89996695999999,-2643.4425999999994,-8360.81613304,-11004.25873304
22,402.8745,1017.6233,1685.8004,0.0,0.0,0.0,-939.6886,-10965.4732,455.8096,5327.6444,-8083.4076,55.45874304,-3015.4096,-8027.94885696,-11043.35845696
23,395.8342,1021.4824,1720.7553,0.0,0.0,0.0,-984.2101,-10829.1011,482.5713,5344.8541,-8196.4512,55.64886048,-2847.813900000002,-8140.80233952,-10988.61623952
24,388.3647,1027.7854,1695.3936,0.0,0.0,0.0,-926.8276,-10805.8778,495.9463,5313.879,-8229.553,54.966438000000004,-2811.336400000001,-8174.586561999998,-10985.922962
25,401.7103,1059.0061,1683.9762,0.0,0.0,0.0,-945.7854,-10606.3661,486.7046,5288.7902,-8374.6927,57.029364,-2631.964099999997,-8317.663336,-10949.627435999997
26,400.7285,1061.7143,1693.1635,0.0,0.0,0.0,-962.3174,-10634.9608,488.6105,5294.2763,-8351.9509,57.23212320000001,-2658.785100000001,-8294.7187768,-10953.5038768
27,409.083,1085.0622,1689.0868,0.0,0.0,0.0,-943.5662,-10293.3795,490.0348,5283.6715,-8681.5584,55.8627948,-2280.0073999999986,-8625.6956052,-10905.703005200001
28,379.3324,1006.308,1688.9887,0.0,0.0,0.0,-938.6756,-10756.6016,498.5011,5304.0137,-8264.9489,54.91524528,-2818.1332999999995,-8210.033654719999,-11028.166954719998
29,408.8075,1017.3455,1708.1772,0.0,0.0,0.0,-947.7707,-10763.3462,474.4583,5285.8421,-8191.3104,55.72942128,-2816.4863000000005,-8135.58097872,-10952.06727872
30,390.9327,1008.1784,1696.7637,0.0,0.0,0.0,-939.5269999999999,-10939.8141,483.111,5331.6295,-8107.9605,58.81910832,-2968.7257999999993,-8049.14139168,-11017.86719168
31,385.23900000000003,1008.9598,1677.6746,0.0,0.0,0.0,-936.7337,-11022.0606,471.5323,5275.4007,-7972.3533,55.77573024,-3139.9879,-7916.57756976,-11056.565469759998
32,412.7738,1046.1,1692.0176,0.0,0.0,0.0,-967.5128,-11129.9111,489.5882,5306.2635,-7869.1366,56.3584824,-3150.6807999999987,-7812.7781176,-10963.4589176
33,374.1273,997.8554,1695.5682,0.0,0.0,0.0,-944.6785,-10742.8911,491.2719,5336.564,-8273.4086,56.83195944,-2792.1828000000005,-8216.57664056,-11008.75944056
34,385.671,1053.6476,1713.1413,0.0,0.0,0.0,-947.3209,-10804.9082,465.7045,5330.8221,-8211.8013,55.729116000000005,-2803.2426000000005,-8156.072183999999,-10959.314784
35,381.9501,1026.1703,1711.0891,0.0,0.0,0.0,-914.0098,-11078.1913,490.9851,5327.869000000001,-7959.7905,58.82178024,-3054.137500000001,-7900.96871976,-10955.106219760002
36,393.67400000000004,1013.3462,1703.8657,0.0,0.0,0.0,-950.0269999999999,-10770.7125,499.57199999999995,5355.2693,-8265.4219,56.73990816,-2755.012299999999,-8208.68199184,-10963.694291839998
37,369.8539,1051.7169999999999,1685.5214,0.0,0.0,0.0,-951.3891,-10904.1449,477.9776,5289.7461,-8115.9165,54.27321479999999,-2980.717999999999,-8061.643285200002,-11042.3612852
38,386.3422,1068.363,1713.0799,0.0,0.0,0.0,-928.7218,-10870.0275,468.6603,5308.0502,-8189.9317,57.43023408,-2854.253700000001,-8132.50146592,-10986.755165920002
39,392.721,1000.143,1695.6993,0.0,0.0,0.0,-952.7681,-10626.4978,485.8047,5309.1921,-8357.0049,54.1155096,-2695.705800000001,-8302.8893904,-10998.5951904
40,372.2387,1017.7501,1700.3013,0.0,0.0,0.0,-970.7093,-10724.6767,480.295,5254.9817,-8261.5896,58.37900688,-2869.8192,-8203.210593119999,-11073.029793119998
41,392.1935,1017.9202,1697.2543,0.0,0.0,0.0,-933.3647,-11162.2378,494.4409,5299.7612,-7858.8924,54.57220056,-3194.0324000000014,-7804.32019944,-10998.35259944
42,396.2224,1030.8199,1678.5822,0.0,0.0,0.0,-968.2972,-10852.4971,479.1662,5247.4027,-8092.1589,57.30110568,-2988.600900000001,-8034.857794320002,-11023.45869432
43,384.5012,1045.113,1691.2603,0.0,0.0,0.0,-938.0169999999999,-10692.7627,482.3918,5271.1917,-8267.3022,54.37079928,-2756.3216999999986,-8212.931400720001,-10969.25310072
44,384.6124,1024.444,1690.5164,0.0,0.0,0.0,-954.6024,-10754.0329,492.9187,5280.0757,-8263.6074,55.2381228,-2836.0680999999995,-8208.369277200001,-11044.437377200002
