POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
31,396.443,1037.0444,794.7608,0.0,0.0,0.0,-925.1735,-9758.1488,478.8812,5286.0961,-2104.1684,1187.8675,-654.1494,-2690.096800000002,-1570.4503,-4260.547100000002
32,405.0625,1084.3067,804.4648,0.0,0.0,0.0,-926.467,-9741.928,485.8625,5301.241,-2093.3474,1204.8964,-656.037,-2587.4574999999995,-1544.488,-4131.945499999999
33,413.9623,1057.6826,807.0979,0.0,0.0,0.0,-956.2798,-9704.542,477.1804,5228.1712,-2087.1175,1195.2102,-654.9893,-2676.7273999999998,-1546.8965999999998,-4223.624
34,416.0786,1058.4633,810.7064,0.0,0.0,0.0,-949.651,-9719.4073,480.7357,5270.2069,-2100.0569,1194.3691,-649.024,-2632.867400000001,-1554.7118,-4187.579200000001
35,406.7983,1120.1981,816.8959,0.0,0.0,0.0,-926.6199,-9864.7636,489.5951,5308.6179,-2031.6934,1189.1527,-656.914,-2649.2781999999997,-1499.4547,-4148.7329
36,404.9854,1085.1546,814.7745,0.0,0.0,0.0,-944.4675,-9981.8473,487.8872,5298.6283,-1932.071,1191.2837,-654.2409,-2834.884799999999,-1395.0282,-4229.912999999999
37,389.0055,1060.1061,819.3439,0.0,0.0,0.0,-932.6818,-10002.2519,467.141,5335.5762,-1922.8595,1195.0873,-650.1356,-2863.7609999999995,-1377.9078,-4241.668799999999
38,430.7091,1064.8698,803.1168,0.0,0.0,0.0,-941.0775,-10022.4954,472.432,5312.792,-1879.4218,1178.5546,-643.942,-2879.653199999998,-1344.8092000000001,-4224.4623999999985
39,407.1706,1066.1586,798.2848,0.0,0.0,0.0,-911.9561,-9921.0837,468.5875,5282.9239,-1969.1503,1181.7439,-641.9167,-2809.9143999999997,-1429.3231,-4239.2375
40,430.6269,1014.0344,805.3795,0.0,0.0,0.0,-877.2923,-9929.6713,460.2738,5256.1665,-1964.813,1200.4691,-653.0103,-2840.4825,-1417.3542000000002,-4257.8367
41,419.5085,1043.6021,816.9597,0.0,0.0,0.0,-940.3339,-9884.3794,465.9537,5298.5057,-1997.3427,1182.0085,-644.745,-2780.1836000000003,-1460.0792000000001,-4240.2628
42,376.5687,1041.1833,810.2174,0.0,0.0,0.0,-949.4452,-9842.3788,462.76,5302.6277,-2010.159,1188.5479,-653.082,-2798.4669000000004,-1474.6931,-4273.160000000001
43,376.2954,1059.2946,791.103,0.0,0.0,0.0,-906.3094,-9845.8845,479.223,5279.004,-2021.6793,1189.9891,-654.3456,-2767.273900000001,-1486.0358,-4253.309700000001
44,389.6735,1057.8485,796.306,0.0,0.0,0.0,-926.4204,-9882.7964,475.5856,5283.2509,-1987.9706,1185.6657,-649.7092,-2806.5522999999985,-1452.0141,-4258.566399999998
45,396.9197,1093.2495,826.7662,0.0,0.0,0.0,-916.868,-9879.207,464.3686,5272.2869,-2014.7507,1182.2401,-644.902,-2742.4841000000006,-1477.4126,-4219.8967
46,408.0347,1011.9507,821.6844,0.0,0.0,0.0,-923.5289,-9925.5098,489.5281,5294.3053,-1960.7013,1183.856,-647.5929,-2823.5355,-1424.4382,-4247.9737
47,384.2228,1143.4519,795.3487,0.0,0.0,0.0,-928.0154,-10001.1522,473.1245,5297.8624,-1891.4212,1193.0698,-648.6505,-2835.1573000000008,-1347.0019,-4182.1592
48,412.1729,1081.4472,797.349,0.0,0.0,0.0,-940.8587,-9710.2156,459.7207,5304.5887,-2118.3985,1198.4563,-660.2051,-2595.7958,-1580.1472999999996,-4175.9430999999995
49,392.6923,1079.8611,823.5064,0.0,0.0,0.0,-909.9778,-9869.7795,474.4392,5269.9719,-2017.4034,1188.6188,-651.6254,-2739.286400000001,-1480.4099999999999,-4219.696400000001
50,403.8217,1023.4162,791.6738,0.0,0.0,0.0,-946.2627,-9796.9916,478.0832,5294.3703,-1995.9443,1180.8226,-646.1062,-2751.8891000000003,-1461.2279,-4213.117
51,377.889,1088.5583,800.9274,0.0,0.0,0.0,-960.015,-9897.5236,476.2537,5284.0645,-1928.5471,1170.8812,-631.9256,-2829.845699999999,-1389.5915,-4219.4371999999985
52,406.8511,1061.3058,798.0492,0.0,0.0,0.0,-906.075,-9818.3072,479.3384,5270.9222,-2011.6705,1191.9216,-654.5255,-2707.915499999999,-1474.2744,-4182.189899999999
53,404.525,1047.0019,816.4691,0.0,0.0,0.0,-938.5538,-9688.5433,485.0755,5285.4803,-2149.5339,1193.2351,-659.8195,-2588.5452999999998,-1616.1182999999996,-4204.6636
54,372.9011,1065.815,803.4867,0.0,0.0,0.0,-930.3545,-9860.4628,490.7068,5266.8346,-1954.7204,1179.1121,-641.9779,-2791.0730999999996,-1417.5861999999997,-4208.659299999999
55,385.0394,1033.9457,794.1926,0.0,0.0,0.0,-926.6175,-9889.0345,480.1274,5336.2314,-2010.6085,1192.5925,-652.6435,-2786.1155,-1470.6595000000002,-4256.775000000001
56,371.7279,1042.0528,769.9232,0.0,0.0,0.0,-931.2902,-9886.5647,483.5522,5320.5706,-1977.1065,1200.6628,-653.7632,-2830.0282000000016,-1430.2069000000001,-4260.235100000002
57,387.873,1053.9559,817.3671,0.0,0.0,0.0,-925.9047,-9854.6374,494.1403,5291.5838,-2006.178,1185.798,-650.3,-2735.6219999999985,-1470.68,-4206.301999999999
58,380.4315,1062.7261,800.984,0.0,0.0,0.0,-950.9221,-9756.1339,475.2117,5274.2227,-2057.6832,1192.8335,-654.2556,-2713.4800000000014,-1519.1053,-4232.585300000001
59,392.3125,1090.0347,792.6923,0.0,0.0,0.0,-958.5215,-9756.2858,477.4188,5261.295,-2032.4228,1173.0688,-638.8972,-2701.053999999999,-1498.2512000000002,-4199.3052
60,428.3843,1086.68,779.8489,0.0,0.0,0.0,-922.2598,-9882.6732,463.9272,5268.4785,-1981.5799,1185.3538,-651.2036,-2777.6141,-1447.4297,-4225.0437999999995
61,393.0967,1114.2094,820.0225,0.0,0.0,0.0,-916.7084,-9809.3077,469.3963,5275.6848,-2007.088,1187.6644,-650.3517,-2653.6063999999997,-1469.7753000000002,-4123.3817
62,382.6471,1046.6266,793.4438,0.0,0.0,0.0,-937.2024,-9863.3938,485.9142,5322.6974,-2021.0067,1183.7851,-645.3334,-2769.267099999999,-1482.5549999999998,-4251.822099999999
63,395.7708,1072.5064,783.5538,0.0,0.0,0.0,-926.3559,-9761.804,472.738,5319.1364,-2092.0269,1189.9418,-652.8197,-2644.4545,-1554.9047999999998,-4199.3593
64,419.0449,1076.8865,816.4042,0.0,0.0,0.0,-922.041,-9883.8618,469.0858,5268.9772,-2014.3258,1181.1486,-651.8449,-2755.504200000001,-1485.0221000000001,-4240.526300000001
65,387.9665,1042.334,827.6356,0.0,0.0,0.0,-929.5373,-9898.6747,491.4492,5321.6296,-2038.4191,1180.9265,-647.8412,-2757.1971000000003,-1505.3337999999999,-4262.530900000001
66,400.2633,1063.2016,805.2303,0.0,0.0,0.0,-960.5541,-9750.2124,477.3528,5295.0036,-2049.5846,1188.1369,-648.8794,-2669.7149,-1510.3271000000002,-4180.042
67,397.7931,1080.9037,786.3357,0.0,0.0,0.0,-911.1137,-9850.0154,471.2916,5258.7247,-2038.9101,1184.9758,-651.0636,-2766.0803000000005,-1504.9979,-4271.0782
