Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,DELTA G gas,DELTA G solv,DELTA TOTAL
0,-9.999999998733244e-05,-4.263256414560601e-14,-9.99999999891088e-05,0.0,0.0,0.0,-28.246999999999936,-24.53859999999939,-9.999999999443787e-05,8.526512829121202e-14,43.75869999999993,-34.70769999999988,47.07490000000002,-52.78589999999875,56.12590000000007,3.340000000001318
1,-9.999999999976694e-05,-9.999999987542196e-05,1.4210854715202004e-14,0.0,0.0,0.0,-37.32030000000001,-17.741799999999387,1.7763568394002505e-15,3.055333763768431e-13,35.212299999999985,-34.339100000000016,47.9083,-55.062299999999055,48.781499999999966,-6.28079999999909
2,-0.0001000000000139778,6.394884621840902e-14,-4.263256414560601e-14,0.0,0.0,0.0,-31.550600000000088,-6.80449999999955,-4.263256414560601e-14,-9.999999951304517e-05,25.846099999999865,-31.551200000000208,44.443699999999986,-38.355300000000085,38.73859999999964,0.3832999999993305
3,-3.9968028886505635e-14,7.105427357601002e-14,-4.263256414560601e-14,0.0,0.0,0.0,-30.996899999999926,-16.599400000000088,3.907985046680551e-14,-3.836930773104541e-13,37.98869999999985,-33.7627,43.909199999999956,-47.59630000000037,48.13519999999993,0.5388999999986339
4,9.999999997489795e-05,-4.973799150320701e-14,7.105427357601002e-15,0.0,0.0,0.0,-31.619099999999975,-13.276100000000909,-3.552713678800501e-15,4.263256414560601e-13,27.85150000000001,-32.94049999999994,46.21370000000007,-44.89510000000054,41.12470000000036,-3.7704000000001727
5,-4.440892098500626e-15,9.947598300641403e-14,9.999999990384367e-05,0.0,0.0,0.0,-30.201600000000052,-20.27829999999885,-9.99999999891088e-05,4.263256414560601e-13,43.168700000000044,-32.085299999999954,44.659300000000016,-50.47989999999909,55.742699999999985,5.262800000001349
6,0.00010000000002818865,9.999999994647624e-05,-6.394884621840902e-14,0.0,0.0,0.0,-31.655600000000007,-5.887499999999761,0.0001000000000423995,4.263256414560601e-14,26.464799999999997,-31.910400000000024,44.398700000000005,-37.54280000000027,38.953099999999864,1.4102999999995944
7,7.105427357601002e-15,-8.526512829121202e-14,-0.00010000000009569021,0.0,0.0,0.0,-34.751500000000036,-28.328699999999984,-1.0658141036401503e-14,-1.2079226507921703e-13,45.40049999999988,-32.9546,45.27779999999999,-63.08029999999994,57.723699999999766,-5.356599999999496
8,-9.999999996779252e-05,-1.2789769243681803e-13,7.815970093361102e-14,0.0,0.0,0.0,-39.66729999999997,-8.654000000001133,-9.999999999443787e-05,-7.105427357601002e-15,35.92999999999998,-36.41810000000003,49.45290000000002,-48.32150000000061,48.96480000000008,0.6432999999994635
9,-1.9539925233402755e-14,-7.815970093361102e-14,3.552713678800501e-14,0.0,0.0,0.0,-25.509699999999935,-14.566700000001177,4.440892098500626e-14,3.268496584496461e-13,34.924300000000045,-30.941800000000136,43.955200000000026,-40.07640000000035,47.93770000000016,7.861299999999808
10,1.9539925233402755e-14,1.0658141036401503e-13,7.105427357601002e-15,0.0,0.0,0.0,-34.4773,-26.530700000000493,3.552713678800501e-15,3.694822225952521e-13,40.505699999999884,-34.75480000000015,47.71859999999999,-61.00800000000106,53.469499999999606,-7.538500000001456
11,-0.00010000000003707044,-4.973799150320701e-14,6.750155989720952e-14,0.0,0.0,0.0,-29.96410000000001,-17.126700000000895,-1.5987211554602254e-14,-4.760636329592671e-13,37.753200000000106,-33.701199999999965,43.30699999999998,-47.09090000000083,47.35900000000001,0.26809999999917267
12,-1.0658141036401503e-14,-9.999999986121111e-05,6.039613253960852e-14,0.0,0.0,0.0,-30.589700000000033,-9.406800000000402,3.730349362740526e-14,9.999999974752427e-05,24.644200000000023,-30.691500000000126,40.3292999999999,-39.99650000000105,34.2819999999998,-5.714500000001699
13,-1.0658141036401503e-14,9.999999993226538e-05,-0.00010000000000331966,0.0,0.0,0.0,-25.692699999999952,-2.5870999999992392,-1.2434497875801753e-14,9.999999949883431e-05,25.14990000000001,-32.349900000000154,41.806799999999946,-28.279699999999735,34.6067999999998,6.327099999999611
