Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,401.0568,1065.9596,800.738,0.0,0.0,0.0,-1026.9215,-8980.4324,474.835,5331.1911,-1749.5034,1055.284,-641.4729,-1933.5734000000002,-1335.6923,-3269.2657
1,384.2103,1035.1148,795.4517,0.0,0.0,0.0,-1006.4606,-8985.0044,460.6049,5336.3674,-1763.937,1056.3472,-643.2957,-1979.7158999999992,-1350.8854999999999,-3330.601399999999
2,386.4292,1061.093,798.9454,0.0,0.0,0.0,-1039.2616,-9047.9028,466.7814,5328.6813,-1692.0268,1054.4808,-644.8009,-2045.2340999999997,-1282.3469,-3327.581
3,388.3881,1054.0631,811.5882,0.0,0.0,0.0,-1010.1682,-9017.542,491.0957,5399.5959,-1775.8477,1061.4927,-652.8718,-1882.9791999999998,-1367.2268,-3250.206
4,397.3383,1065.7773,781.1804,0.0,0.0,0.0,-1008.0876,-9049.6815,464.5426,5339.4196,-1684.5104,1075.6488,-659.3747,-2009.5109000000002,-1268.2363,-3277.7472000000002
5,411.786,1047.5346,806.2158,0.0,0.0,0.0,-1009.7505,-9035.9594,468.5546,5338.5052,-1700.0537,1067.4651,-653.9962,-1973.1136999999999,-1286.5848,-3259.6985
6,376.6417,1119.8119,783.161,0.0,0.0,0.0,-981.9047,-9115.0755,478.4357,5338.8751,-1644.886,1064.0867,-652.9099,-2000.0548000000008,-1233.7091999999998,-3233.7640000000006
7,435.47,1053.7855,793.8408,0.0,0.0,0.0,-989.5971,-8979.2528,471.6743,5305.5732,-1756.832,1074.1273,-662.2225,-1908.5061000000005,-1344.9272,-3253.4333000000006
8,432.9083,1020.2587,795.0271,0.0,0.0,0.0,-1002.889,-8973.5721,480.3119,5342.9093,-1755.384,1070.9238,-653.8346,-1905.0457999999999,-1338.2948000000001,-3243.3406
9,400.6282,1081.1361,787.7058,0.0,0.0,0.0,-1009.0612,-8903.2313,471.9993,5331.3343,-1832.6787,1072.2184,-668.0049,-1839.4887999999992,-1428.4652,-3267.953999999999
10,395.3207,1032.3069,773.7883,0.0,0.0,0.0,-1005.8867,-8915.87,471.495,5324.5819,-1835.1232,1069.7945,-660.9454,-1924.2639000000008,-1426.2741,-3350.538000000001
11,378.6891,995.5248,774.1908,0.0,0.0,0.0,-996.1219,-8917.6655,473.2327,5321.1139,-1808.4911,1077.3687,-670.0892,-1971.0360999999994,-1401.2116,-3372.2476999999994
12,392.6065,1030.5137,774.4179,0.0,0.0,0.0,-971.1661,-8947.3942,469.721,5332.9327,-1819.4808,1075.7433,-672.8287,-1918.3685000000014,-1416.5662,-3334.9347000000016
