,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,DELTA G gas,DELTA G solv,DELTA TOTAL
0,2.3092638912203256e-14,7.460698725481053e-14,1.172395514004165e-13,0.0,0.0,0.0,-42.79540000000002,-33.13960000000065,-4.973799150320702e-14,-3.410605131648481e-13,49.13089999999998,-34.088700000000074,56.638100000000065,-75.9350000000003,71.68029999999986,-4.254700000000213
1,-4.263256414560601e-14,8.881784197001252e-14,-4.263256414560601e-14,0.0,0.0,0.0,-45.29900000000006,-21.215899999999376,4.973799150320702e-14,-9.999999940646376e-05,46.23610000000002,-34.891900000000035,55.84769999999993,-66.51499999999903,67.19190000000003,0.6769000000010124
2,3.3750779948604765e-14,-0.00010000000004950492,-1.9895196601282808e-13,0.0,0.0,0.0,-45.44809999999998,-37.43880000000093,-1.0658141036401504e-14,2.273736754432321e-13,48.86049999999996,-35.35500000000001,55.36490000000008,-82.88700000000101,68.87040000000015,-14.016600000001802
3,3.5527136788005016e-14,6.039613253960853e-14,-0.00010000000012055921,0.0,0.0,0.0,-40.401,-41.37490000000057,1.0658141036401504e-14,0.0001000000004296453,45.06440000000011,-34.707600000000056,54.66699999999993,-81.77590000000197,65.02380000000001,-16.752100000002088
4,-9.999999996779252e-05,-7.105427357601002e-15,1.4210854715202004e-14,0.0,0.0,0.0,-45.08060000000005,-36.9693000000006,-3.1974423109204515e-14,9.999999986121112e-05,43.7991,-35.364399999999925,55.452300000000065,-82.04990000000225,63.88700000000014,-18.162900000002566
5,3.0198066269804264e-14,-9.237055564881302e-14,-2.486899575160351e-14,0.0,0.0,0.0,-34.697599999999966,-50.77619999999936,0.0,-7.389644451905042e-13,49.23760000000009,-35.38330000000005,54.61089999999993,-85.47380000000237,68.46520000000021,-17.00860000000216
6,2.131628207280301e-14,1.0302869668521453e-13,6.927791673660977e-14,0.0,0.0,0.0,-41.88650000000003,-39.007200000001006,-1.4210854715202004e-14,5.6843418860808e-13,51.22130000000002,-35.699899999999964,54.756700000000066,-80.89369999999924,70.27810000000011,-10.615599999999231
7,4.085620730620577e-14,-7.460698725481053e-14,-0.00010000000005305765,0.0,0.0,0.0,-41.2298000000001,-36.50059999999985,3.1974423109204515e-14,1.1368683772161605e-13,47.47159999999999,-35.40689999999991,54.31950000000001,-77.73049999999968,66.38419999999998,-11.3462999999999
8,-5.3290705182007506e-15,-9.999999995713438e-05,3.907985046680551e-14,0.0,0.0,0.0,-39.02640000000001,-36.23950000000042,4.618527782440651e-14,-1.1368683772161605e-13,45.03029999999997,-33.951600000000035,55.20039999999995,-75.26599999999995,66.2791,-8.986899999998826
9,-3.552713678800501e-15,-7.460698725481053e-14,3.907985046680551e-14,0.0,0.0,0.0,-39.13090000000005,-45.99130000000039,0.0001000000000015433,0.00010000000054333212,48.67050000000015,-35.17069999999998,55.040999999999954,-85.1220000000005,68.54080000000012,-16.581200000000166
10,-1.9539925233402755e-14,0.0,1.9895196601282808e-13,0.0,0.0,0.0,-41.72949999999997,-33.77799999999993,1.77635683940025e-14,-0.00010000000025911504,45.395599999999895,-34.31549999999998,54.92490000000002,-75.50759999999877,66.00499999999982,-9.502599999998722
11,-1.4210854715202004e-14,-5.684341886080803e-14,-1.7408297026122455e-13,0.0,0.0,0.0,-41.45450000000004,-47.657899999999806,2.486899575160351e-14,0.0,48.5525000000001,-35.435199999999924,55.44640000000001,-89.11240000000086,68.56370000000011,-20.54870000000011
12,-7.105427357601002e-15,-1.1368683772161605e-13,6.217248937900878e-14,0.0,0.0,0.0,-36.997100000000046,-44.97610000000029,-9.999999999266153e-05,2.842170943040401e-13,48.3126,-34.154799999999945,54.79799999999996,-81.97330000000073,68.95579999999991,-13.017500000001291
13,-4.440892098500625e-15,9.99999999393708e-05,-1.882938249764265e-13,0.0,0.0,0.0,-45.14370000000004,-39.86309999999924,0.00010000000001042508,-9.999999980436768e-05,46.42279999999995,-35.0762,56.818400000000075,-85.00669999999897,68.16500000000002,-16.841699999998472
14,0.0,-9.99999999393708e-05,0.00010000000008503208,0.0,0.0,0.0,-39.94669999999992,-44.883400000001046,-3.5527136788005016e-14,2.273736754432321e-13,51.00360000000003,-35.680999999999905,53.88129999999993,-84.83009999999966,69.20390000000008,-15.62619999999822
15,-2.6645352591003757e-14,-2.8421709430404014e-14,-2.8421709430404014e-14,0.0,0.0,0.0,-42.15630000000002,-43.99949999999888,-9.99999999482526e-05,-2.273736754432321e-13,51.22020000000001,-35.269900000000035,55.42429999999998,-86.15589999999882,71.37459999999984,-14.781299999998966
