,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
34,5.3046,8.9736,7.4505,0.0,0.0,0.0,-1.4108,6.9879999999999995,7.4324,-84.6467,-12.7352,22.399,-23.1527,-49.9084,-13.4889,-63.3973
35,2.4917,8.4898,11.5935,0.0,0.0,0.0,-1.7341,7.624,7.6911,-85.8054,-12.6648,22.2667,-23.3674,-49.64940000000001,-13.7655,-63.4149
36,2.0856,5.8301,7.6797,0.0,0.0,0.0,-1.7457,7.6433,7.9087,-84.01100000000001,-13.0038,22.2856,-23.2896,-54.60929999999999,-14.0078,-68.6171
37,5.5897,5.8676,10.0106,0.0,0.0,0.0,-1.2777,6.7455,6.2941,-84.3935,-12.5665,22.2762,-23.4641,-51.16370000000001,-13.7544,-64.91810000000001
38,2.3541,7.0854,9.1885,0.0,0.0,0.0,-1.5142,7.2484,7.2223,-85.5,-12.4544,22.2904,-23.5318,-53.9155,-13.695799999999998,-67.6113
39,7.2278,8.8965,7.774,0.0,0.0,0.0,-1.6280000000000001,6.9572,8.4402,-84.85,-12.5019,22.2053,-23.2179,-47.1823,-13.514499999999998,-60.6968
40,6.1547,4.6973,8.4341,0.0,0.0,0.0,-1.3112,7.1105,6.1466,-83.9583,-13.380999999999998,22.4935,-23.4138,-52.7263,-14.301299999999998,-67.02759999999999
41,3.2002,8.9776,6.4413,0.0,0.0,0.0,-1.7195,7.5872,6.5266,-82.7825,-13.1321,22.366,-23.3305,-51.7691,-14.0966,-65.86569999999999
42,5.9992,6.5986,7.3366,0.0,0.0,0.0,-1.6258,7.6929,7.3739,-84.0773,-13.1667,22.3801,-23.2022,-50.7019,-13.988800000000005,-64.69069999999999
43,3.4512,10.0195,7.8765,0.0,0.0,0.0,-1.7381,8.0331,6.3988,-85.0695,-12.7751,22.4368,-23.3055,-51.0285,-13.643799999999995,-64.67229999999999
44,4.2075,7.9019,6.651,0.0,0.0,0.0,-1.3331,8.1896,7.5124,-85.4647,-12.6368,22.3423,-23.3122,-52.33539999999999,-13.606699999999998,-65.94209999999998
45,9.498,7.3001,6.9542,0.0,0.0,0.0,-1.3877,7.9392,6.4535,-84.5086,-12.8465,22.21,-23.0937,-47.7513,-13.730199999999998,-61.4815
46,2.4463,6.3498,10.089,0.0,0.0,0.0,-1.4825,6.2713,8.5138,-83.5667,-12.5731,22.1061,-23.3159,-51.379,-13.782899999999998,-65.1619
47,1.2797,4.6613,7.3186,0.0,0.0,0.0,-1.5081,7.3185,8.649,-85.5867,-12.5169,22.1439,-23.2446,-57.86769999999999,-13.6176,-71.4853
48,2.8724,3.8459,6.6404,0.0,0.0,0.0,-1.7392,7.9112,7.7463,-83.8,-13.0308,22.2762,-23.6204,-56.523,-14.375,-70.898
49,6.0099,8.1575,8.4234,0.0,0.0,0.0,-1.7348,7.8942,6.1466,-83.6136,-13.0091,22.3234,-23.1461,-48.716800000000006,-13.8318,-62.54860000000001
50,2.0555,8.8598,6.5957,0.0,0.0,0.0,-1.6591,8.3684,7.9349,-84.1451,-13.4084,22.2337,-23.311,-51.9899,-14.4857,-66.47560000000001
