,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,DELTA G gas,DELTA G solv,DELTA TOTAL
0,-0.00010000000000065512,-9.99999999891088e-05,-1.2256862191861728e-13,0.0,0.0,0.0,-46.8121,-42.145699999998605,0.0001000000000423995,2.273736754432321e-13,52.95400000000002,-39.07349999999993,63.071199999999955,-88.95789999999926,76.9516999999998,-12.006200000000375
1,-3.552713678800501e-15,6.394884621840903e-14,-9.99999999393708e-05,0.0,0.0,0.0,-40.79330000000003,-42.94260000000102,-2.8421709430404014e-14,0.0,50.96269999999974,-38.68609999999999,61.85469999999993,-83.73600000000215,74.13130000000005,-9.604699999998443
2,-1.7763568394002505e-15,0.00010000000002108321,1.4921397450962106e-13,0.0,0.0,0.0,-46.03210000000002,-42.87849999999982,0.00010000000001042508,1.7053025658242404e-13,53.28009999999996,-39.456300000000134,61.73239999999996,-88.91039999999997,75.55620000000081,-13.354200000000048
3,2.6645352591003757e-14,-9.237055564881302e-14,-3.907985046680551e-14,0.0,0.0,0.0,-42.1702,-49.28609999999996,3.552713678800501e-15,-9.999999997489796e-05,59.072799999999894,-39.215299999999864,63.158199999999994,-91.45639999999918,83.01570000000024,-8.440699999998941
4,4.085620730620577e-14,-1.1013412404281553e-13,-5.3290705182007514e-14,0.0,0.0,0.0,-46.70379999999998,-43.746599999999475,7.105427357601002e-15,3.9790393202565615e-13,54.33689999999985,-39.31920000000007,62.29439999999993,-90.45039999999992,77.31209999999857,-13.138299999998653
5,9.999999999976694e-05,1.0302869668521453e-13,-0.00010000000001042508,0.0,0.0,0.0,-42.415799999999926,-42.644199999998996,4.618527782440651e-14,2.273736754432321e-13,54.16199999999986,-39.05940000000011,61.91549999999999,-85.0600000000001,77.01809999999973,-8.04190000000034
6,9.999999996423979e-05,0.00010000000007792663,1.3855583347321954e-13,0.0,0.0,0.0,-46.76330000000004,-42.936099999999634,1.4210854715202004e-14,-2.273736754432321e-13,57.740199999999355,-38.506499999999825,63.270100000000035,-89.69919999999723,82.50380000000024,-7.195399999996995
7,-1.2434497875801752e-14,2.131628207280301e-14,2.486899575160351e-14,0.0,0.0,0.0,-43.82899999999999,-42.3793000000003,-2.8421709430404014e-14,3.9790393202565615e-13,55.37780000000059,-39.4373,62.44360000000001,-86.2083000000016,78.38410000000059,-7.824200000003714
8,9.999999999976694e-05,-5.684341886080803e-14,1.2079226507921706e-13,0.0,0.0,0.0,-51.57130000000005,-32.1048,2.486899575160351e-14,-0.00010000000048648872,50.88099999999945,-37.9065,62.6371000000001,-83.67610000000101,75.61159999999944,-8.064500000002509
9,-9.999999995358166e-05,0.00010000000004595222,9.237055564881302e-14,0.0,0.0,0.0,-43.97739999999999,-47.47210000000007,1.9539925233402755e-14,4.547473508864641e-13,62.61590000000024,-38.80420000000017,61.62900000000002,-91.44950000000094,85.4406999999993,-6.008799999998928
