Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,DELTA G gas,DELTA G solv,DELTA TOTAL
0,-2.842170943040401e-14,-9.237055564881302e-14,1.4210854715202004e-14,0.0,0.0,0.0,-41.83839999999992,-15.737800000000297,-3.197442310920451e-14,-9.999999979637408e-05,37.56889999999989,-31.660099999999872,45.82580000000006,-57.57629999999969,51.734599999999965,-5.841699999999733
1,9.999999999621423e-05,-8.526512829121202e-14,1.4210854715202004e-14,0.0,0.0,0.0,-40.5356000000001,-17.542399999999084,-9.999999998555609e-05,-2.531308496145357e-13,41.938199999999995,-32.00959999999995,46.880900000000025,-58.077999999998724,56.80949999999996,-1.2684999999992215
2,-8.881784197001252e-15,-8.526512829121202e-14,-0.00010000000002463594,0.0,0.0,0.0,-42.95459999999998,-11.19030000000178,0.00010000000001930687,-3.8813396940895473e-13,38.616599999999956,-32.2979000000001,47.39090000000001,-54.14490000000191,53.70959999999998,-0.4353000000010141
3,-4.618527782440651e-14,3.552713678800501e-14,-5.684341886080802e-14,0.0,0.0,0.0,-36.59550000000003,-15.719499999999577,-7.105427357601002e-15,-9.999999963028472e-05,40.982300000000095,-31.83959999999994,47.95130000000002,-52.31509999999898,57.094000000000165,4.778900000000746
4,3.019806626980426e-14,-3.552713678800501e-14,7.105427357601002e-15,0.0,0.0,0.0,-40.987300000000005,-13.246199999999813,1.2434497875801753e-14,6.767919558114954e-13,38.27790000000001,-31.447400000000073,48.36410000000005,-54.23349999999742,55.19459999999987,0.9611000000029009
5,2.6645352591003757e-15,-2.4868995751603507e-14,-2.4868995751603507e-14,0.0,0.0,0.0,-38.55579999999996,-18.283400000001038,9.999999997134523e-05,-4.192202140984591e-13,44.3577000000001,-31.32460000000006,48.52930000000007,-56.83910000000075,61.56240000000011,4.72329999999959
6,2.1316282072803006e-14,-0.00010000000003884679,-8.881784197001252e-14,0.0,0.0,0.0,-41.73769999999993,-19.30219999999938,1.0658141036401503e-14,-0.0001000000000672685,44.42410000000004,-32.63810000000018,47.88350000000004,-61.040099999999256,59.66950000000001,-1.3705999999992429
7,-9.999999999266151e-05,-8.526512829121202e-14,3.552713678800501e-14,0.0,0.0,0.0,-38.947199999999974,-19.431700000001207,-7.105427357601002e-15,-2.930988785010413e-14,43.506199999999936,-31.84899999999987,48.69940000000005,-58.37900000000033,60.356600000000114,1.9776000000002512
8,-8.881784197001252e-15,-2.842170943040401e-14,1.4210854715202004e-14,0.0,0.0,0.0,-42.72559999999992,-15.173599999999718,-2.842170943040401e-14,6.24389429049188e-13,39.59910000000018,-32.59090000000007,46.77790000000006,-57.89920000000028,53.78610000000017,-4.113099999999875
9,4.263256414560601e-14,0.0,-1.7763568394002505e-14,0.0,0.0,0.0,-44.789800000000064,-15.859000000000567,-9.99999999891088e-05,-0.0001000000002733259,38.27320000000011,-32.06640000000011,48.705,-60.649000000001266,54.9118,-5.7372000000014935
10,-4.618527782440651e-14,8.526512829121202e-14,-9.999999996068709e-05,0.0,0.0,0.0,-41.936699999999874,-11.518699999999473,1.4210854715202004e-14,3.019806626980426e-14,35.5737,-31.712100000000056,47.43720000000001,-53.45549999999905,51.29879999999996,-2.156699999998871
