GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,420.2102,1006.9535,801.9503,0.0,0.0,0.0,-1004.6178,-9046.3705,471.7221,5435.9408,-1603.8234,50.976060479999994,-1914.211400000001,-1552.84733952,-3467.0587395200014
1,392.3031,1012.5476,784.3805,0.0,0.0,0.0,-1024.1938,-9091.534,487.3476,5476.0727,-1569.8472,50.33213712,-1963.0762999999997,-1519.51506288,-3482.59136288
2,397.1966,1040.1472,811.1905,0.0,0.0,0.0,-1007.6131,-9106.5633,474.2586,5481.6123,-1595.7564,51.8676264,-1909.7711999999992,-1543.8887736,-3453.6599735999994
3,375.3485,1056.0621,805.7542,0.0,0.0,0.0,-1014.5167,-9014.739,488.1649,5408.2042,-1622.3058,51.12523584,-1895.7217999999993,-1571.1805641600001,-3466.9023641599993
4,414.6456,1055.765,783.1211,0.0,0.0,0.0,-1006.2912,-9137.8682,479.0169,5446.0706,-1552.8422,50.641111439999996,-1965.5402000000013,-1502.20108856,-3467.7412885600015
5,402.4669,1074.4767,787.0572,0.0,0.0,0.0,-1015.4715,-9007.7048,486.8631,5430.1204,-1644.2634,50.62525416,-1842.192,-1593.63814584,-3435.8301458399997
6,374.1794,1051.7582,772.3639,0.0,0.0,0.0,-1008.6451,-8883.9417,468.478,5440.8695,-1751.6665,51.644185199999995,-1784.9377999999997,-1700.0223148,-3484.9601148
7,375.5872,1037.9519,792.2871,0.0,0.0,0.0,-1004.9514,-9085.503,485.1789,5485.1192,-1593.6384,49.96387872,-1914.330100000001,-1543.6745212800001,-3458.0046212800007
8,402.2626,1097.6526,798.1835,0.0,0.0,0.0,-988.8342,-9044.8021,477.5777,5420.04,-1566.8943,50.112794879999996,-1837.9199000000008,-1516.78150512,-3354.701405120001
9,412.8861,1061.1795,796.5975,0.0,0.0,0.0,-1026.8877,-8988.3906,470.7586,5437.6644,-1610.986,49.98403296,-1836.1922000000013,-1561.0019670400002,-3397.194167040001
10,422.5688,1026.6759,822.6934,0.0,0.0,0.0,-1011.369,-9053.1088,479.6243,5466.4878,-1596.8676,49.61997144,-1846.4276,-1547.24762856,-3393.67522856
