Frame #,Translational,Rotational,Vibrational,Total
0,12.84102235,10.198220749999999,18.2694394,41.3086825
1,12.84102235,10.198220749999999,18.268843099999998,41.3080862
2,12.84102235,10.198220749999999,18.26973755,41.30898064999999
3,12.84102235,10.20060595,18.112910649999996,41.154538949999996
4,12.84102235,10.198220749999999,18.2694394,41.30898064999999
5,12.84102235,10.198220749999999,18.2694394,41.30898064999999
6,12.84102235,10.198220749999999,18.268246799999996,41.30778804999999
7,12.84102235,10.20060595,18.1120162,41.15364449999999
8,12.84102235,10.20060595,18.1126125,41.1542408
9,12.84102235,10.198220749999999,18.267352349999996,41.3068936
10,12.84102235,10.198220749999999,18.269141249999997,41.30838435
11,12.84102235,10.20060595,18.1120162,41.15364449999999
12,12.84102235,10.198220749999999,18.267948649999997,41.307191749999994
13,12.84102235,10.198220749999999,18.267054199999997,41.30659545
14,12.84102235,10.20060595,18.11171805,41.15334634999999
15,12.84102235,10.198220749999999,18.268246799999996,41.30778804999999
16,12.84102235,10.20060595,18.11112175,41.152750049999995
17,12.84102235,10.198220749999999,18.2676505,41.3068936
18,12.84102235,10.20060595,18.112910649999996,41.154538949999996
19,12.84102235,10.198220749999999,18.268843099999998,41.30838435
20,12.84102235,10.198220749999999,18.2694394,41.3086825
21,12.84102235,10.20060595,18.1120162,41.15364449999999
22,12.84102235,10.198220749999999,18.26675605,41.3062973
23,12.84102235,10.198220749999999,18.268843099999998,41.3080862
24,12.84102235,10.198220749999999,18.267948649999997,41.30748989999999
25,12.84102235,10.198220749999999,18.2676505,41.3068936
26,12.84102235,10.198220749999999,18.269141249999997,41.30838435
27,12.84102235,10.198220749999999,18.269141249999997,41.30838435
28,12.84102235,10.198220749999999,18.267948649999997,41.307191749999994
29,12.84102235,10.198220749999999,18.268246799999996,41.30748989999999
30,12.84102235,10.20060595,18.11112175,41.152750049999995
31,12.84102235,10.20060595,18.1114199,41.1530482
32,12.84102235,10.198220749999999,18.269141249999997,41.3086825
33,12.84102235,10.198220749999999,18.268246799999996,41.30748989999999
34,12.84102235,10.198220749999999,18.267948649999997,41.307191749999994
35,12.84102235,10.20060595,18.112910649999996,41.154538949999996
36,12.84102235,10.20060595,18.1126125,41.1542408
37,12.84102235,10.20060595,18.112314350000002,41.15394265
38,12.84102235,10.20060595,18.1120162,41.15364449999999
39,12.84102235,10.20060595,18.1120162,41.15364449999999
40,12.84102235,10.20060595,18.112314350000002,41.15394265
41,12.84102235,10.20060595,18.1120162,41.15364449999999
42,12.84102235,10.20060595,18.1114199,41.1530482
43,12.84102235,10.20060595,18.1120162,41.15364449999999
44,12.84102235,10.198220749999999,18.267352349999996,41.30659545
45,12.84102235,10.20060595,18.112314350000002,41.15394265
46,12.84102235,10.20060595,18.1120162,41.15364449999999
47,12.84102235,10.20060595,18.112314350000002,41.15394265
48,12.84102235,10.20060595,18.112314350000002,41.1542408
49,12.84102235,10.20060595,18.112314350000002,41.15394265
50,12.84102235,10.20060595,18.112314350000002,41.15394265
51,12.84102235,10.20060595,18.112910649999996,41.154538949999996
52,12.84102235,10.20060595,18.1120162,41.15364449999999
53,12.84102235,10.20060595,18.112314350000002,41.15394265
54,12.84102235,10.198220749999999,18.2694394,41.3086825
55,12.84102235,10.20060595,18.11171805,41.15334634999999
56,12.84102235,10.20060595,18.112314350000002,41.15394265
57,12.84102235,10.20060595,18.112910649999996,41.154538949999996
58,12.84102235,10.198220749999999,18.268246799999996,41.30748989999999
59,12.84102235,10.20060595,18.112314350000002,41.15394265
60,12.84102235,10.20060595,18.1120162,41.15364449999999
61,12.84102235,10.198220749999999,18.269141249999997,41.30838435
62,12.84102235,10.198220749999999,18.26973755,41.309278799999994
63,12.84102235,10.20060595,18.1126125,41.1542408
64,12.84102235,10.20060595,18.1126125,41.1542408
65,12.84102235,10.20060595,18.1120162,41.15364449999999
66,12.84102235,10.20060595,18.112314350000002,41.15394265
67,12.84102235,10.198220749999999,18.269141249999997,41.30838435
68,12.84102235,10.20060595,18.1132088,41.154837099999995
69,12.84102235,10.20060595,18.1120162,41.15364449999999
70,12.84102235,10.20060595,18.112314350000002,41.15394265
71,12.84102235,10.20060595,18.1126125,41.1542408
72,12.84102235,10.198220749999999,18.268843099999998,41.30838435
73,12.84102235,10.198220749999999,18.26854495,41.3080862
74,12.84102235,10.198220749999999,18.268843099999998,41.3080862
75,12.84102235,10.20060595,18.112910649999996,41.154538949999996
76,12.84102235,10.20060595,18.1126125,41.1542408
77,12.84102235,10.20060595,18.1120162,41.15394265
78,12.84102235,10.198220749999999,18.269141249999997,41.3086825
79,12.84102235,10.198220749999999,18.268843099999998,41.30838435
80,12.84102235,10.198220749999999,18.267948649999997,41.307191749999994
81,12.84102235,10.20060595,18.1126125,41.1542408
82,12.84102235,10.20060595,18.112314350000002,41.15394265
83,12.84102235,10.198220749999999,18.2694394,41.30898064999999
84,12.84102235,10.20060595,18.1120162,41.15364449999999
85,12.84102235,10.198220749999999,18.268843099999998,41.3080862
86,12.84102235,10.20060595,18.112314350000002,41.15394265
87,12.84102235,10.20060595,18.1126125,41.15394265
88,12.84102235,10.198220749999999,18.2694394,41.3086825
89,12.84102235,10.20060595,18.1132088,41.154837099999995
90,12.84102235,10.198220749999999,18.269141249999997,41.30838435
91,12.84102235,10.20060595,18.1126125,41.1542408
92,12.84102235,10.20060595,18.1120162,41.15364449999999
93,12.84102235,10.20060595,18.112910649999996,41.154538949999996
94,12.84102235,10.198220749999999,18.269141249999997,41.30838435
95,12.84102235,10.198220749999999,18.269141249999997,41.30838435
