NMODE entropy results
Complex Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.2718344,16.34428485,1429.1453525499999,1461.76176995
1,16.2718344,16.350546,1437.2416158,1469.8639962
2,16.2718344,16.347266349999998,1433.7601182499998,1466.37951715
3,16.2718344,16.360086799999998,1442.5069448,1475.138866
4,16.2718344,16.3481608,1431.9327568999997,1464.5527521
5,16.2718344,16.34070705,1431.35345145,1463.9662910499999
6,16.2718344,16.3577016,1433.03680635,1465.66634235
7,16.2718344,16.3630683,1433.3892196499999,1466.0244204999997
8,16.2718344,16.35144045,1434.8099043999998,1467.4331792499997
9,16.2718344,16.352633049999998,1434.1954172499998,1466.8198847
10,16.2718344,16.34905525,1437.4595634499997,1470.0804530999999
11,16.2718344,16.3553164,1437.7976655499997,1470.4251144999998
12,16.2718344,16.358297899999997,1441.3071891999998,1473.9373214999998
13,16.2718344,16.3553164,1426.2750625,1458.9022132999996
14,16.2718344,16.362472,1435.6000018999998,1468.2343082999998
15,16.2718344,16.34965155,1435.3197409,1467.941525
16,16.2718344,16.358894199999998,1426.9482851999999,1459.5790137999998
17,16.2718344,16.3499497,1425.64328265,1458.26506675
18,16.2718344,16.352633049999998,1435.03441135,1467.6588788
19,16.2718344,16.342197799999997,1428.3794051999998,1460.9934374
20,16.2718344,16.354123799999996,1430.3647860499998,1462.99074425
21,16.2718344,16.3278866,1433.0824232999998,1465.6824424499998
22,16.2718344,16.345477449999997,1433.6858788999998,1466.3034889
23,16.2718344,16.348458949999998,1434.1375761499999,1466.75816765
24,16.2718344,16.36098125,1439.7860279,1472.4188435499998
25,16.2718344,16.354720099999998,1443.34742965,1475.9742823
26,16.2718344,16.35024785,1431.7183870499998,1464.34076745
27,16.2718344,16.35322935,1438.38084695,1471.0059107
28,16.2718344,16.3469682,1439.2266984999997,1471.8455011
29,16.2718344,16.354123799999996,1434.6369774,1467.2629356
30,16.2718344,16.351738599999997,1438.9807247499998,1471.6045958999998
31,16.2718344,16.3290792,1437.40947425,1470.0103878500001
32,16.2718344,16.35978865,1439.5952119,1472.2271330999997
33,16.2718344,16.3511423,1445.6709125999998,1478.2938892999998
34,16.2718344,16.35621085,1444.3897620499997,1477.0178073
35,16.2718344,16.3535275,1431.73746865,1464.3631286999998
36,16.2718344,16.346371899999998,1434.21569145,1466.8338977499998
37,16.2718344,16.35024785,1436.87817095,1469.5002531999999
38,16.2718344,16.33414775,1434.4503354999997,1467.0563176499998
39,16.2718344,16.3457756,1439.6041564,1472.2217663999998
40,16.2718344,16.33414775,1424.1900995499998,1456.79637985
41,16.2718344,16.35919235,1445.5477766499996,1478.17910155
42,16.2718344,16.3457756,1446.6691187999998,1479.28702695
43,16.2718344,16.357999749999998,1437.6584295,1470.2882636499999
44,16.2718344,16.352633049999998,1437.8802531,1470.5050187
45,16.2718344,16.35084415,1426.0350517499999,1458.6577303
46,16.2718344,16.35859605,1437.6530628,1470.2837913999997
47,16.2718344,16.3529312,1440.8593679,1473.4841335
48,16.2718344,16.3481608,1442.86144515,1475.4817385
49,16.2718344,16.354123799999996,1432.9715114999997,1465.5977678499999
50,16.2718344,16.34786265,1436.74459975,1469.3645949499999
51,16.2718344,16.3320607,1434.1462224999998,1466.7501175999998
52,16.2718344,16.350546,1430.21809625,1462.8404766499998
53,16.2718344,16.345179299999998,1429.6405796999998,1462.2578915499998
54,16.2718344,16.35561455,1439.34029365,1471.9677425999998
55,16.2718344,16.353825649999997,1431.69393875,1464.3195987999998
56,16.2718344,16.354720099999998,1429.0037312999998,1461.6305839499998
57,16.2718344,16.34249595,1431.06245705,1463.67708555
58,16.2718344,16.35084415,1440.7058206499999,1473.3284992
59,16.2718344,16.354123799999996,1440.1348633999999,1472.7611197499998
60,16.2718344,16.34070705,1439.1727333499998,1471.78557295
61,16.2718344,16.35322935,1439.820017,1472.4450807499998
62,16.2718344,16.351738599999997,1436.6008914499998,1469.22446445
63,16.2718344,16.35561455,1430.0514303999998,1462.6788793499998
64,16.2718344,16.352633049999998,1437.6143033,1470.2390689
65,16.2718344,16.35084415,1442.7329424999998,1475.3556210499999
66,16.2718344,16.35144045,1430.3203617,1462.9439346999998
67,16.2718344,16.355018249999997,1437.1199706,1469.7471213999997
68,16.2718344,16.35561455,1425.18651685,1457.81426395
69,16.2718344,16.348458949999998,1435.4226026499998,1468.042896
70,16.2718344,16.3493534,1435.5636276,1468.1848153999997
71,16.2718344,16.35322935,1434.4169426999997,1467.0423045999999
72,16.2718344,16.35978865,1437.5683881999996,1470.2000112499998
73,16.2718344,16.34786265,1434.9846203,1467.6046155
74,16.2718344,16.3636646,1445.0480772499998,1477.6838744000001
75,16.2718344,16.35322935,1436.6140100499997,1469.2390738
76,16.2718344,16.35561455,1437.4500226499997,1470.07776975
77,16.2718344,16.36157755,1440.4911526499998,1473.1245646
78,16.2718344,16.3636646,1449.0602817999998,1481.6957807999997
79,16.2718344,16.3606831,1441.7958570499998,1474.4286726999997
80,16.2718344,16.36396275,1448.042994,1480.6787911499998
81,16.2718344,16.354123799999996,1440.5322973500001,1473.1585536999999
82,16.2718344,16.352633049999998,1435.5099605999999,1468.1344280499998
83,16.2718344,16.338918149999998,1432.1817121499998,1464.7924647
84,16.2718344,16.35740345,1450.7668923999997,1483.39613025
85,16.2718344,16.3481608,1435.8725109999998,1468.4925062
86,16.2718344,16.3577016,1444.0707415499999,1476.70027755
87,16.2718344,16.3594905,1443.25917725,1475.8905021499997
88,16.2718344,16.3469682,1435.3847375999999,1468.0038383499998
