,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,392.0748,1048.2193,1713.1523,0.0,0.0,0.0,-979.9647,-10145.4026,492.0519,5309.4452,-8304.3386,52.2425268,-2170.4237999999987,-8252.096073199999,-10422.519873199997
1,434.7197,1077.1356,1745.9982,0.0,0.0,0.0,-1013.7299,-10195.4934,486.3286,5276.094,-8205.5179,52.16688504,-2188.9472,-8153.3510149600015,-10342.29821496
2,405.0323,1080.4576,1736.5689,0.0,0.0,0.0,-1008.4593,-10266.7845,494.1266,5265.0588,-8119.5915,51.65057088,-2293.9996,-8067.940929120001,-10361.940529120002
3,386.6844,1065.1262,1743.9856,0.0,0.0,0.0,-997.3992,-9942.3332,484.5819,5281.9844,-8476.0378,51.31248048,-1977.3698999999988,-8424.72531952,-10402.09521952
4,443.49699999999996,1022.2327,1706.9304,0.0,0.0,0.0,-1018.3972,-10325.9747,481.8492,5291.3328,-8057.4811,52.7350032,-2398.5298000000007,-8004.7460968,-10403.275896800002
5,400.8947,1063.7281,1728.8377,0.0,0.0,0.0,-1004.6456,-10434.6994,496.4541,5282.5893,-7970.3395,52.50190032,-2466.841100000001,-7917.83759968,-10384.67869968
6,403.8459,1062.9323,1754.4836,0.0,0.0,0.0,-1009.7563,-10273.4147,477.3235,5283.7053,-8104.5002,53.10643968,-2300.880399999999,-8051.39376032,-10352.27416032
7,399.1495,1058.6716,1727.1015,0.0,0.0,0.0,-1002.9774,-10270.7038,488.9918,5310.5081,-8121.5254,53.65126512,-2289.2586999999994,-8067.87413488,-10357.132834880002
8,401.9814,1082.4053,1725.7491,0.0,0.0,0.0,-993.3102,-10029.7682,497.246,5256.4731,-8340.7597,54.01395864,-2059.2235,-8286.74574136,-10345.96924136
9,405.194,1078.2944,1723.9867,0.0,0.0,0.0,-987.8161,-10547.6489,476.2415,5283.0088,-7866.325,53.70478919999999,-2568.739600000001,-7812.6202108,-10381.359810800002
10,417.7128,1043.8547,1748.9935,0.0,0.0,0.0,-983.6278,-10418.5893,478.6569,5298.8554,-8024.5882,51.81242544,-2414.143799999999,-7972.77577456,-10386.91957456
11,430.8147,1095.8219,1739.1109,0.0,0.0,0.0,-977.5687,-10521.1205,489.694,5339.2788,-7946.4766,51.74659296,-2403.9689000000008,-7894.73000704,-10298.69890704
12,412.9603,1084.8544,1734.3357,0.0,0.0,0.0,-1005.7912,-10089.8106,484.45,5288.6695,-8304.2847,52.73349336,-2090.331900000001,-8251.55120664,-10341.883106640002
13,395.3137,1044.7802,1741.5379,0.0,0.0,0.0,-1008.0161,-9840.8269,476.7743,5262.8359,-8512.6106,53.59429224,-1927.601,-8459.01630776,-10386.617307759998
14,379.1839,1079.4175,1712.0273,0.0,0.0,0.0,-1006.9766,-10133.7493,479.1578,5271.7536,-8251.0957,54.39815279999999,-2219.1857999999993,-8196.6975472,-10415.8833472
15,407.4593,1017.0692,1727.017,0.0,0.0,0.0,-1015.3015,-9849.2951,480.3863,5270.6148,-8516.6069,54.75011832,-1962.0499999999984,-8461.85678168,-10423.906781679998
16,411.2783,1039.0945,1741.3761,0.0,0.0,0.0,-1004.3676,-10123.96,495.80699999999996,5314.688,-8312.2169,54.43435079999999,-2126.0837,-8257.7825492,-10383.866249199997
17,383.9293,1031.6191,1696.7213,0.0,0.0,0.0,-991.8654,-10140.6554,492.0999,5330.6872,-8323.6524,55.60546247999999,-2197.463999999999,-8268.046937520001,-10465.51093752
18,378.026,1043.7193,1716.3469,0.0,0.0,0.0,-1008.7033,-10119.004,490.2838,5321.6633,-8304.6153,52.96055544,-2177.6680000000006,-8251.654744559999,-10429.32274456
19,409.5404,1065.1566,1734.3755,0.0,0.0,0.0,-1020.6571,-10341.9637,464.2062,5322.773,-8102.6501,53.67751056,-2366.569100000001,-8048.97258944,-10415.54168944
20,383.5061,1055.4607,1733.842,0.0,0.0,0.0,-1001.1309,-10157.5511,485.6652,5328.3058,-8279.893,54.99573264,-2171.9021999999995,-8224.89726736,-10396.79946736
21,387.8284,1036.2521,1738.6491,0.0,0.0,0.0,-1000.3909,-9923.3924,514.4596,5369.4547,-8543.9201,52.68208824,-1877.1394,-8491.238011759999,-10368.37741176
22,435.6275,1044.5517,1729.9417,0.0,0.0,0.0,-983.4155,-10059.4009,476.4705,5311.1908,-8374.9498,53.74103256,-2045.0342,-8321.20876744,-10366.24296744
23,401.2203,1076.8091,1720.9252,0.0,0.0,0.0,-984.8927,-10101.2349,485.1357,5348.1844,-8351.9031,54.6189588,-2053.852899999999,-8297.2841412,-10351.137041199998
24,417.0277,1014.6007,1763.1739,0.0,0.0,0.0,-984.4587,-10097.7841,472.7051,5331.9269,-8358.6624,54.52903944,-2082.8085,-8304.13336056,-10386.94186056
25,411.1325,1042.8492,1742.1962,0.0,0.0,0.0,-1010.2608,-9925.9349,482.2444,5335.2474,-8500.9613,53.57227608,-1922.526,-8447.38902392,-10369.91502392
26,417.8527,1043.1129,1731.342,0.0,0.0,0.0,-996.5312,-10023.0929,491.9253,5285.6255,-8377.8927,51.87313224,-2049.765699999999,-8326.01956776,-10375.78526776
27,424.7288,1059.4841,1736.2998,0.0,0.0,0.0,-996.9312,-10082.2963,485.608,5282.210999999999,-8309.3235,52.20439776,-2090.8957999999993,-8257.11910224,-10348.01490224
28,440.074,1049.0319,1710.5897,0.0,0.0,0.0,-946.0616,-10524.4226,471.5002,5285.1739,-7906.6023,53.77173768,-2514.1145,-7852.8305623199985,-10366.94506232
29,409.8547,1040.9975,1701.2874,0.0,0.0,0.0,-988.1715,-10145.0891,508.7766,5285.0093,-8243.0685,52.75550736,-2187.3350999999993,-8190.31299264,-10377.648092639998
30,399.6343,1028.8695,1736.2528,0.0,0.0,0.0,-976.2377,-10526.8398,487.1498,5288.8985,-7904.4077,52.6863744,-2562.2726,-7851.7213256,-10413.9939256
31,389.7868,1063.0196,1726.0357,0.0,0.0,0.0,-986.5467,-10090.757,490.3578,5269.4273,-8311.548,54.71135568,-2138.6765,-8256.836644320001,-10395.51314432
32,383.329,1080.1136,1733.1838,0.0,0.0,0.0,-997.6549,-10041.9327,474.6759,5281.0629,-8354.72,55.60681752,-2087.2224,-8299.11318248,-10386.33558248
33,398.0298,1115.6876,1743.4145,0.0,0.0,0.0,-1008.9278,-10232.7132,502.1501,5293.3318,-8173.4369,54.978019200000006,-2189.0271999999995,-8118.4588808,-10307.4860808
34,393.9794,1033.3445,1708.6515,0.0,0.0,0.0,-1015.6062,-10515.571000000002,486.1257,5282.8545,-7895.6699,55.50392448,-2626.221599999999,-7840.16597552,-10466.38757552
35,380.5143,1039.9773,1713.0689,0.0,0.0,0.0,-995.5007,-10191.3686,483.9237,5261.8499,-8184.3641,54.66734136,-2307.5351999999993,-8129.69675864,-10437.23195864
36,389.7032,1050.2748,1706.6595,0.0,0.0,0.0,-971.4499,-9989.9947,509.0103,5274.6822,-8397.8584,53.929764,-2031.1146,-8343.928635999999,-10375.043235999998
37,372.1934,1088.6693,1717.1255,0.0,0.0,0.0,-1011.0671,-10064.1621,488.7545,5286.5469,-8320.2134,54.58133952,-2121.9395999999992,-8265.63206048,-10387.571660479998
38,396.0787,1049.8236,1715.3862,0.0,0.0,0.0,-998.1091,-10024.0773,475.5067,5262.6004,-8329.7882,54.31905576,-2122.7908000000016,-8275.469144240002,-10398.259944240002
39,402.0823,1058.9189999999999,1712.2979,0.0,0.0,0.0,-1012.4871,-9947.6781,483.1568,5286.1991,-8411.6115,54.59193792,-2017.5100999999993,-8357.01956208,-10374.52966208
40,392.7765,1063.8557,1706.4679,0.0,0.0,0.0,-974.4755,-10354.4815,485.0402,5285.4686,-8015.6128,55.22291712,-2395.3480999999992,-7960.38988288,-10355.73798288
41,392.4765,1047.6317,1736.0998,0.0,0.0,0.0,-977.7718,-10529.336000000001,479.7149,5259.2917,-7842.974,54.30541968,-2591.8931999999995,-7788.66858032,-10380.56178032
42,380.5306,1089.6768,1712.559,0.0,0.0,0.0,-968.8672,-10368.7079,484.1442,5304.5784,-8043.8994,54.06922727999999,-2366.0860999999995,-7989.83017272,-10355.916272719998
43,427.0074,1101.5981,1747.1507,0.0,0.0,0.0,-1006.2137,-10641.0019,481.9496,5273.4832,-7760.8451,54.40825584,-2616.0266,-7706.43684416,-10322.46344416
44,414.5386,1110.5587,1724.9129,0.0,0.0,0.0,-1016.7869,-10284.9446,483.5148,5259.8141,-8072.7125,53.97899184,-2308.392400000001,-8018.733508159998,-10327.125908160002
45,398.0425,1110.7073,1714.2841,0.0,0.0,0.0,-985.0858,-10224.7512,475.778,5268.2224,-8145.3291,53.96527584,-2242.8027,-8091.36382416,-10334.16652416
46,425.6269,1035.8682,1720.5844,0.0,0.0,0.0,-1007.1227,-10554.338,493.9533,5280.6053,-7857.7487,52.6370688,-2604.8225999999995,-7805.1116311999995,-10409.9342312
47,403.465,1029.922,1734.6377,0.0,0.0,0.0,-988.5614,-10093.4772,494.6545,5294.0365,-8296.135,54.75411431999999,-2125.3229,-8241.38088568,-10366.703785680002
48,414.2352,1089.2859,1737.0469,0.0,0.0,0.0,-1004.4912,-10098.9401,481.7731,5250.5331,-8268.6284,53.86226184,-2130.557099999999,-8214.76613816,-10345.32323816
49,375.0745,1015.8723,1741.6470000000002,0.0,0.0,0.0,-973.8347,-10233.0202,500.1253,5290.1094,-8188.8058,55.20224088,-2284.0264000000016,-8133.60355912,-10417.62995912
50,376.9939,1070.4971,1705.8970000000002,0.0,0.0,0.0,-981.4639,-10280.9909,490.3997,5261.201,-8084.3372,53.3025288,-2357.466100000001,-8031.0346712,-10388.5007712
51,392.8952,1027.6514,1758.3312,0.0,0.0,0.0,-970.0458,-10395.6391,492.1884,5307.2771,-8027.5432,53.40897288,-2387.3416,-7974.13422712,-10361.47582712
52,390.3255,1072.675,1756.9664,0.0,0.0,0.0,-994.9173,-10402.2795,497.235,5274.6772,-7982.8591,53.13472272,-2405.3177000000005,-7929.724377279998,-10335.04207728
53,416.2238,1086.4814,1705.0584,0.0,0.0,0.0,-972.1001,-10506.4499,481.0468,5276.7739,-7913.4643,54.36771048,-2512.965700000001,-7859.09658952,-10372.06228952
54,394.1242,1137.2192,1734.979,0.0,0.0,0.0,-1002.8289,-10674.4666,479.1905,5264.5681,-7740.7390000000005,53.41119048,-2667.214499999999,-7687.3278095199985,-10354.54230952
