Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,DELTA G gas,DELTA G solv,DELTA TOTAL
19,-9.999999998377973e-05,-5.684341886080802e-14,2.842170943040401e-14,0.0,0.0,0.0,-31.293100000000145,-33.59059999999923,-8.881784197001252e-15,5.684341886080801e-13,47.957899999999924,-5.285347199999999,-64.8837999999995,42.67255279999992,-22.211247199999576
20,9.99999999811152e-05,-9.99999999109491e-05,9.592326932761353e-14,0.0,0.0,0.0,-26.746400000000055,-30.101099999999832,2.1316282072803006e-14,-1.7053025658242404e-13,42.09999999999992,-5.234114880000003,-56.84749999999974,36.86588512,-19.981614880000194
21,-3.2862601528904634e-14,-2.4868995751603507e-14,-7.815970093361102e-14,0.0,0.0,0.0,-27.330399999999994,-28.429400000000484,-3.552713678800501e-15,0.00010000000025911504,41.52649999999994,-5.653692720000002,-55.75969999999927,35.87280727999995,-19.886892719999338
22,2.842170943040401e-14,-7.105427357601002e-14,9.999999992515995e-05,0.0,0.0,0.0,-29.02219999999998,-31.105999999998758,5.5067062021407764e-14,1.7053025658242404e-13,50.71789999999999,-5.656293360000004,-60.12809999999726,45.06160663999995,-15.066493359997324
23,0.00010000000000331966,5.684341886080802e-14,0.00010000000002818865,0.0,0.0,0.0,-28.953899999999926,-27.17740000000026,-3.552713678800501e-15,3.410605131648481e-13,41.9149,-5.6509855200000025,-56.131100000000316,36.26391447999988,-19.86718552000019
24,9.999999997489795e-05,1.4921397450962104e-13,8.881784197001252e-14,0.0,0.0,0.0,-31.372399999999985,-35.71440000000136,3.730349362740526e-14,-6.252776074688882e-13,53.0225000000001,-5.514127919999998,-67.08670000000129,47.50837208000001,-19.5783279200015
25,-4.085620730620576e-14,1.0658141036401503e-13,-9.99999999358181e-05,0.0,0.0,0.0,-29.63249999999998,-36.359399999998885,2.842170943040401e-14,2.2737367544323206e-13,52.92329999999987,-5.784621840000004,-65.991999999999,47.138678159999785,-18.853321839998983
26,-1.5987211554602254e-14,-8.526512829121202e-14,0.00010000000000331966,0.0,0.0,0.0,-28.039300000000054,-35.79320000000067,-4.263256414560601e-14,-0.0001000000001454282,50.91339999999984,-5.872161600000002,-63.832500000000266,45.04123839999992,-18.791261600000553
27,-9.999999999266151e-05,0.00010000000002108322,7.105427357601002e-15,0.0,0.0,0.0,-30.595100000000038,-32.846899999998996,5.1514348342607263e-14,1.7053025658242404e-13,45.15410000000011,-5.878630799999998,-63.441999999998416,39.27546919999995,-24.16653079999847
28,0.00010000000001042508,1.1013412404281553e-13,-1.0658141036401503e-14,0.0,0.0,0.0,-34.18720000000001,-28.882499999999638,9.999999998022702e-05,-0.00010000000025911504,48.30410000000012,-5.812051680000007,-63.06960000000015,42.49204831999993,-20.577551680000226
29,2.1316282072803006e-14,7.105427357601002e-14,6.750155989720952e-14,0.0,0.0,0.0,-28.608900000000027,-41.36070000000069,-1.9539925233402755e-14,-2.8421709430404007e-13,55.588300000000146,-5.895324000000005,-69.96960000000047,49.692976000000144,-20.27662400000034
30,-7.105427357601002e-15,-9.999999997134523e-05,7.105427357601002e-15,0.0,0.0,0.0,-27.58489999999999,-41.3075000000006,1.7763568394002505e-14,2.8421709430404007e-13,54.38419999999992,-5.655600719999996,-68.89250000000075,48.7285992799999,-20.16390072000084
31,1.7763568394002505e-15,0.0,2.842170943040401e-14,0.0,0.0,0.0,-28.947400000000016,-34.120699999999786,0.00010000000000331966,4.547473508864641e-13,49.01339999999999,-5.8523745599999994,-63.06800000000001,43.16102543999997,-19.906974560000265
32,-4.618527782440651e-14,9.999999996068709e-05,3.907985046680551e-14,0.0,0.0,0.0,-27.60239999999999,-30.61620000000009,-5.5067062021407764e-14,1.1368683772161603e-13,44.75699999999996,-5.286222720000006,-58.218500000000176,39.470777279999965,-18.747722720000468
