Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
30,6.0614,32.0369,28.2612,0.0,0.0,0.0,-3.0139,120.9747,14.4421,-300.2611,-25.8562,3.7572854399999995,-101.49869999999999,-22.09891456,-123.59761455999998
31,13.3356,27.2799,22.0782,0.0,0.0,0.0,-1.9474,119.0363,15.6309,-299.9004,-24.8809,3.72379536,-104.48689999999999,-21.15710464,-125.64400463999999
32,12.4716,22.8051,23.8725,0.0,0.0,0.0,-1.9143,120.4329,13.9442,-297.391,-24.1831,3.71776248,-105.77900000000002,-20.46533752,-126.24433752000002
33,13.7366,21.5641,20.2697,0.0,0.0,0.0,-1.4073,125.2839,14.3884,-305.3607,-25.6805,3.7601690400000005,-111.52530000000002,-21.920330959999998,-133.44563096000002
34,14.3592,20.596,20.8736,0.0,0.0,0.0,-0.0999,124.6353,12.6223,-296.4081,-28.4186,3.7561845600000003,-103.42159999999998,-24.66241544,-128.08401543999997
35,13.891,19.7541,23.3363,0.0,0.0,0.0,-2.846,125.2155,13.2902,-302.3916,-28.3391,3.74780808,-109.75049999999996,-24.59129192,-134.34179191999996
36,12.5394,22.015,26.2401,0.0,0.0,0.0,-3.1198,117.3793,13.4889,-299.4959,-25.5834,3.7451131199999996,-110.953,-21.838286880000002,-132.79128688
37,8.2041,26.7275,22.9967,0.0,0.0,0.0,-3.2084,122.2745,12.4289,-299.0544,-26.3001,3.7173132,-109.63109999999998,-22.5827868,-132.21388679999998
38,10.4051,24.5466,22.83,0.0,0.0,0.0,-1.86,125.7664,15.2244,-301.5545,-28.2921,3.62028744,-104.642,-24.671812560000003,-129.31381256
39,9.918,21.3838,25.3008,0.0,0.0,0.0,-2.9195,123.7029,11.7257,-296.4048,-29.0975,3.7656072,-107.29310000000004,-25.3318928,-132.62499280000003
40,7.1777,21.1834,20.2346,0.0,0.0,0.0,-1.5585,122.0659,13.1058,-297.8977,-27.1361,3.7048154399999995,-115.68880000000001,-23.431284559999998,-139.12008456
41,8.7671,23.6428,22.8553,0.0,0.0,0.0,-2.4729,127.9353,15.001,-304.5065,-28.3652,3.7280210400000002,-108.77790000000002,-24.63717896,-133.41507896000002
42,11.3568,23.6243,27.1352,0.0,0.0,0.0,-0.983,128.5253,12.9002,-307.4708,-26.777,3.806244,-104.912,-22.970756,-127.88275600000001
43,10.0382,23.5594,23.5853,0.0,0.0,0.0,-1.0652,121.0311,14.4641,-299.6617,-25.0227,3.73861224,-108.0488,-21.28408776,-129.33288776
44,8.0774,26.5747,19.4814,0.0,0.0,0.0,-0.3325,123.2304,15.1792,-302.7458,-25.4055,3.75324192,-110.53519999999995,-21.65225808,-132.18745807999994
45,6.136,24.4033,25.9082,0.0,0.0,0.0,-2.0838,117.7656,13.9039,-295.9352,-25.5746,3.72214296,-109.90200000000002,-21.85245704,-131.75445704
46,5.25,18.3754,24.1212,0.0,0.0,0.0,-2.7987,118.6957,14.8239,-295.5653,-25.2882,3.71533608,-117.09779999999998,-21.57286392,-138.67066391999998
47,9.3598,17.6215,30.021,0.0,0.0,0.0,-1.2896,126.0159,14.3567,-300.4178,-28.7802,3.72937104,-104.33250000000001,-25.05082896,-129.38332896000003
48,7.8998,22.6684,19.8075,0.0,0.0,0.0,-3.0053,121.8568,13.6656,-298.6284,-26.8262,3.7539208799999995,-115.73559999999998,-23.07227912,-138.80787911999997
49,15.6981,25.1207,21.4652,0.0,0.0,0.0,-2.4112,127.6015,11.916,-303.7801,-28.0994,3.8293884,-104.38980000000001,-24.2700116,-128.6598116
50,16.2538,24.9914,23.6845,0.0,0.0,0.0,-1.4953,126.2527,12.3649,-300.2421,-29.2844,3.7727387999999995,-98.1901,-25.511661200000002,-123.7017612
