Frame #,Translational,Rotational,Vibrational,Total
0,16.2485787,16.3052272,1400.2912900000001,1432.8450959
1,16.2485787,16.30671795,1396.46274585,1429.0180424999996
2,16.2485787,16.301351249999996,1394.4731909,1427.0228227
3,16.2485787,16.307612399999996,1401.0927172,1433.6486101499997
4,16.2485787,16.310295749999998,1404.0622912,1436.6208675
5,16.2485787,16.296580849999998,1402.4057698,1434.9509293499998
6,16.2485787,16.3183458,1394.22960235,1426.7965268499997
7,16.2485787,16.3183458,1411.2960065,1443.862931
8,16.2485787,16.315662449999998,1397.1553483,1429.7195894499998
9,16.2485787,16.318047649999997,1390.14494735,1422.7112755499998
10,16.2485787,16.29836975,1400.7748892999998,1433.32183775
11,16.2485787,16.326097700000002,1406.8016933999997,1439.3763698
12,16.2485787,16.317749499999998,1396.04891365,1428.6152418499998
13,16.2485787,16.30969945,1403.1934821,1435.7517602499997
14,16.2485787,16.312382799999998,1402.9132210999999,1435.47388445
15,16.2485787,16.318047649999997,1403.8681955499999,1436.4348218999999
16,16.2485787,16.302842,1387.98395615,1420.53537685
17,16.2485787,16.30671795,1390.3122094999999,1422.867208
18,16.2485787,16.3278866,1405.2984210999998,1437.8748864
19,16.2485787,16.3034383,1397.2978640000001,1429.8495828499997
20,16.2485787,16.32997365,1415.2023677999998,1447.780622
21,16.2485787,16.321327299999997,1410.3410320499997,1442.9109380499997
22,16.2485787,16.3237125,1399.68276585,1432.2547588999998
23,16.2485787,16.3129791,1398.6896282,1431.2511859999997
24,16.2485787,16.305525349999996,1393.9308560499999,1426.4849600999999
25,16.2485787,16.3374274,1398.6938022999998,1431.2798084
26,16.2485787,16.29896605,1392.0340257499997,1424.5815705
27,16.2485787,16.311786499999997,1399.6449008,1432.2052660000002
28,16.2485787,16.324308799999997,1394.2212541499998,1426.7938434999996
29,16.2485787,16.312382799999998,1397.98569605,1430.5469557000001
30,16.2485787,16.30969945,1403.65054605,1436.2088242
31,16.2485787,16.315960599999997,1397.98331085,1430.547552
32,16.2485787,16.31148835,1405.4227496499998,1437.98311485
33,16.2485787,16.302245699999997,1402.4054716499998,1434.95629605
34,16.2485787,16.308805,1399.5542631999997,1432.11134875
35,16.2485787,16.32162545,1409.6186146,1442.1888187499999
36,16.2485787,16.304034599999998,1393.1717661499997,1425.7243794499998
37,16.2485787,16.308805,1398.7754953999997,1431.3328791
38,16.2485787,16.318942099999997,1414.0333216499998,1446.6008424499998
39,16.2485787,16.30671795,1394.7504703999998,1427.3054689
40,16.2485787,16.3111902,1401.3968302,1433.9563009499998
41,16.2485787,16.310295749999998,1390.1685011999998,1422.7273756499999
42,16.2485787,16.3183458,1396.73942905,1429.3060553999999
43,16.2485787,16.326097700000002,1398.7999436999999,1431.37432195
44,16.2485787,16.3016494,1393.0027151,1425.5529432
45,16.2485787,16.3129791,1399.1112122999998,1431.6727701
46,16.2485787,16.318942099999997,1400.2996381999997,1432.8671589999997
47,16.2485787,16.29061785,1395.19262685,1427.7318234000002
48,16.2485787,16.2962827,1390.6831080999998,1423.2279695
49,16.2485787,16.31268095,1392.2251399000002,1424.7863995499997
50,16.2485787,16.296878999999997,1393.0021187999998,1425.54727835
51,16.2485787,16.308208699999998,1410.5545074499998,1443.11129485
52,16.2485787,16.294493799999998,1390.26539995,1422.8081743
53,16.2485787,16.30015865,1405.3178008499997,1437.8665382
54,16.2485787,16.305525349999996,1397.88611395,1430.440218
55,16.2485787,16.3135754,1411.6060825,1444.1682366
56,16.2485787,16.3141717,1408.8276226499997,1441.3900749
57,16.2485787,16.315960599999997,1405.94510845,1438.5096477499997
58,16.2485787,16.305525349999996,1401.76921955,1434.3233235999999
59,16.2485787,16.32162545,1407.8458147,1440.4160188499998
60,16.2485787,16.32162545,1403.8046895999998,1436.3748937499997
61,16.2485787,16.298667899999998,1397.989572,1430.5368185999998
62,16.2485787,16.3278866,1402.6755955499998,1435.25206085
63,16.2485787,16.3034383,1388.1887851999998,1420.7408022
64,16.2485787,16.3105939,1404.8827999999999,1437.4419725999996
65,16.2485787,16.3171532,1407.84193875,1440.4076706499998
66,16.2485787,16.3225199,1404.1547177,1436.7258163
67,16.2485787,16.332358850000002,1414.1144184499997,1446.6956541499999
68,16.2485787,16.2933012,1377.5692785,1410.1108602499999
69,16.2485787,16.321029149999998,1392.8476771,1425.4172849499998
70,16.2485787,16.29061785,1391.4016496,1423.9411443
71,16.2485787,16.33862,1409.8672717,1442.45417225
72,16.2485787,16.308506849999997,1399.6985677999999,1432.25565335
73,16.2485787,16.323116199999998,1400.5044672499998,1433.0761621499998
74,16.2485787,16.3195384,1405.0903124,1437.6581313499998
75,16.2485787,16.330569949999997,1411.6910552499999,1444.2705020499998
76,16.2485787,16.314767999999997,1406.7349078,1439.2982545
77,16.2485787,16.31089205,1406.9209534,1439.4804241499999
78,16.2485787,16.30791055,1399.60584315,1432.1623324
79,16.2485787,16.30492905,1400.01967535,1432.5731830999998
80,16.2485787,16.3308681,1410.9435932,1443.5227418499999
81,16.2485787,16.301947549999998,1396.4725848,1429.0231110499997
82,16.2485787,16.308506849999997,1403.5464917,1436.10357725
83,16.2485787,16.30910315,1402.1278939999997,1434.6855758499999
84,16.2485787,16.30015865,1400.1279037999998,1432.6766411499998
85,16.2485787,16.3129791,1401.4749454999999,1434.0365033
86,16.2485787,16.3290792,1404.6162539,1437.1939117999998
87,16.2485787,16.3135754,1403.0402329999997,1435.6023870999998
88,16.2485787,16.329377349999998,1408.0682345999999,1440.6458925
89,16.2485787,16.33772555,1409.08105015,1441.6673543999998
90,16.2485787,16.308805,1407.37980625,1439.93718995
91,16.2485787,16.307612399999996,1395.70842635,1428.2646174499998
92,16.2485787,16.30969945,1401.4418508499998,1434.000129
93,16.2485787,16.3064198,1406.5095063999997,1439.0645048999997
94,16.2485787,16.32281805,1403.93557745,1436.50667605
95,16.2485787,16.31208465,1400.3846109499996,1432.9452743
96,16.2485787,16.299860499999998,1399.5781152,1432.1265544
97,16.2485787,16.316855049999997,1410.3115151999998,1442.8769489499998
98,16.2485787,16.31089205,1402.5596151999998,1435.1193841

